timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-19T21:54:57+08:00,RPA-app,15.91%,32MiB / 2GiB,1.56%,277MB / 367MB,2.44MB / 5.23MB,20
2026-06-19T21:54:57+08:00,RPA-alloy,4.91%,145.3MiB / 15.4GiB,0.92%,2.09MB / 169MB,305MB / 38.5MB,26
2026-06-19T21:54:57+08:00,RPA-grafana,8.71%,119.4MiB / 15.4GiB,0.76%,68.7MB / 267MB,99.8MB / 36.6MB,29
2026-06-19T21:54:57+08:00,rmqbroker,4.95%,1.053GiB / 15.4GiB,6.84%,2.31MB / 2.91MB,1.45GB / 1.79GB,327
2026-06-19T21:54:57+08:00,RPA-pgdb,8.35%,74.86MiB / 15.4GiB,0.47%,183MB / 374MB,65.7MB / 1.29GB,19
2026-06-19T21:54:57+08:00,RPA-loki,1.27%,252.8MiB / 15.4GiB,1.60%,176MB / 98.4MB,163MB / 1.28GB,26
2026-06-19T21:54:57+08:00,rmqdashboard,0.06%,414.2MiB / 15.4GiB,2.63%,2.6MB / 1.13MB,579MB / 726MB,67
2026-06-19T21:54:57+08:00,RPA-prometheus,3.60%,272.1MiB / 15.4GiB,1.73%,358MB / 35.1MB,352MB / 186MB,26
2026-06-19T21:54:57+08:00,RPA-redis,0.22%,6.789MiB / 15.4GiB,0.04%,16.3MB / 48.2MB,19.7MB / 5.46MB,7
2026-06-19T21:54:57+08:00,RPA-minio,0.11%,313.2MiB / 15.4GiB,1.99%,143MB / 33.3MB,197MB / 506MB,34
2026-06-19T21:54:57+08:00,rmqnamesrv,0.12%,162.9MiB / 15.4GiB,1.03%,3.45MB / 2.19MB,196MB / 407MB,81
2026-06-19T21:54:57+08:00,RPA-cadvisor,4.05%,280.9MiB / 15.4GiB,1.78%,5.35MB / 320MB,176MB / 23.4MB,29
2026-06-19T21:54:57+08:00,script-k6-run-2783ec98ed75,19.40%,49.56MiB / 15.4GiB,0.31%,443kB / 199kB,0B / 0B,25
2026-06-19T21:55:00+08:00,script-k6-run-2783ec98ed75,14.34%,57.23MiB / 15.4GiB,0.36%,1.13MB / 489kB,0B / 0B,25
2026-06-19T21:55:00+08:00,RPA-app,15.81%,32.63MiB / 2GiB,1.59%,278MB / 369MB,2.44MB / 5.23MB,20
2026-06-19T21:55:00+08:00,RPA-alloy,5.13%,145.6MiB / 15.4GiB,0.92%,2.09MB / 169MB,305MB / 38.6MB,26
2026-06-19T21:55:00+08:00,RPA-grafana,0.19%,119.1MiB / 15.4GiB,0.76%,68.7MB / 267MB,99.8MB / 36.6MB,29
2026-06-19T21:55:00+08:00,rmqbroker,4.73%,1.053GiB / 15.4GiB,6.84%,2.31MB / 2.91MB,1.45GB / 1.79GB,327
2026-06-19T21:55:00+08:00,RPA-pgdb,8.43%,75.05MiB / 15.4GiB,0.48%,184MB / 375MB,65.7MB / 1.29GB,19
2026-06-19T21:55:00+08:00,RPA-loki,0.90%,251.8MiB / 15.4GiB,1.60%,176MB / 98.4MB,163MB / 1.28GB,26
2026-06-19T21:55:00+08:00,rmqdashboard,0.07%,414.2MiB / 15.4GiB,2.63%,2.6MB / 1.14MB,579MB / 726MB,67
2026-06-19T21:55:00+08:00,RPA-prometheus,0.13%,273.8MiB / 15.4GiB,1.74%,358MB / 35.1MB,352MB / 186MB,26
2026-06-19T21:55:00+08:00,RPA-redis,0.15%,7.039MiB / 15.4GiB,0.04%,16.3MB / 48.2MB,19.7MB / 5.46MB,7
2026-06-19T21:55:00+08:00,RPA-minio,0.00%,312.5MiB / 15.4GiB,1.98%,143MB / 33.3MB,197MB / 506MB,34
2026-06-19T21:55:00+08:00,rmqnamesrv,0.11%,162.5MiB / 15.4GiB,1.03%,3.45MB / 2.2MB,196MB / 407MB,81
2026-06-19T21:55:00+08:00,RPA-cadvisor,2.67%,281.3MiB / 15.4GiB,1.78%,5.35MB / 320MB,176MB / 23.4MB,29
2026-06-19T21:55:03+08:00,script-k6-run-2783ec98ed75,12.15%,59.04MiB / 15.4GiB,0.37%,1.81MB / 776kB,0B / 0B,25
2026-06-19T21:55:03+08:00,RPA-app,13.13%,32.43MiB / 2GiB,1.58%,279MB / 370MB,2.44MB / 5.23MB,20
2026-06-19T21:55:03+08:00,RPA-alloy,5.49%,147.3MiB / 15.4GiB,0.93%,2.09MB / 169MB,305MB / 38.6MB,26
2026-06-19T21:55:03+08:00,RPA-grafana,0.20%,119.1MiB / 15.4GiB,0.76%,68.7MB / 267MB,99.8MB / 36.6MB,29
2026-06-19T21:55:03+08:00,rmqbroker,4.77%,1.053GiB / 15.4GiB,6.84%,2.31MB / 2.92MB,1.45GB / 1.79GB,327
2026-06-19T21:55:03+08:00,RPA-pgdb,6.99%,74.79MiB / 15.4GiB,0.47%,184MB / 376MB,65.7MB / 1.29GB,19
2026-06-19T21:55:03+08:00,RPA-loki,0.93%,251.6MiB / 15.4GiB,1.60%,176MB / 98.4MB,163MB / 1.28GB,26
