timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-19T21:48:41+08:00,RPA-app,154.30%,110.5MiB / 2GiB,5.40%,3.05MB / 4.71MB,1.75MB / 0B,8
2026-06-19T21:48:41+08:00,RPA-alloy,1.74%,108.6MiB / 15.4GiB,0.69%,2MB / 161MB,296MB / 37.4MB,26
2026-06-19T21:48:41+08:00,RPA-grafana,0.20%,113.8MiB / 15.4GiB,0.72%,63.9MB / 259MB,94.3MB / 36.1MB,29
2026-06-19T21:48:41+08:00,rmqbroker,5.81%,1011MiB / 15.4GiB,6.42%,2.26MB / 2.82MB,1.39GB / 1.78GB,327
2026-06-19T21:48:41+08:00,RPA-pgdb,1.20%,51.5MiB / 15.4GiB,0.33%,120MB / 155MB,64.5MB / 732MB,16
2026-06-19T21:48:41+08:00,RPA-loki,0.67%,181.5MiB / 15.4GiB,1.15%,168MB / 94.2MB,159MB / 1.23GB,26
2026-06-19T21:48:41+08:00,rmqdashboard,0.08%,412.3MiB / 15.4GiB,2.62%,2.54MB / 1.1MB,577MB / 724MB,67
2026-06-19T21:48:41+08:00,RPA-prometheus,28.01%,252.9MiB / 15.4GiB,1.60%,345MB / 34.1MB,349MB / 183MB,26
2026-06-19T21:48:41+08:00,RPA-redis,0.65%,6.785MiB / 15.4GiB,0.04%,15.7MB / 48MB,19.7MB / 4.77MB,7
2026-06-19T21:48:41+08:00,RPA-minio,0.03%,102.3MiB / 15.4GiB,0.65%,116MB / 16.8MB,190MB / 389MB,27
2026-06-19T21:48:41+08:00,rmqnamesrv,0.13%,154MiB / 15.4GiB,0.98%,3.37MB / 2.13MB,191MB / 406MB,81
2026-06-19T21:48:41+08:00,RPA-cadvisor,48.44%,284MiB / 15.4GiB,1.80%,5.21MB / 311MB,176MB / 23.4MB,29
2026-06-19T21:48:41+08:00,script-k6-run-0d0ff4bc90bc,6.76%,38.6MiB / 15.4GiB,0.24%,59.2kB / 28.3kB,0B / 0B,26
2026-06-19T21:48:44+08:00,script-k6-run-0d0ff4bc90bc,4.13%,47.11MiB / 15.4GiB,0.30%,220kB / 98.8kB,0B / 0B,26
2026-06-19T21:48:44+08:00,RPA-app,145.53%,111.4MiB / 2GiB,5.44%,3.21MB / 4.94MB,1.75MB / 0B,8
2026-06-19T21:48:44+08:00,RPA-alloy,2.54%,108.9MiB / 15.4GiB,0.69%,2MB / 161MB,296MB / 37.4MB,26
2026-06-19T21:48:44+08:00,RPA-grafana,0.20%,113.8MiB / 15.4GiB,0.72%,63.9MB / 259MB,94.3MB / 36.1MB,29
2026-06-19T21:48:44+08:00,rmqbroker,6.42%,1012MiB / 15.4GiB,6.42%,2.26MB / 2.82MB,1.39GB / 1.78GB,327
2026-06-19T21:48:44+08:00,RPA-pgdb,1.03%,50.56MiB / 15.4GiB,0.32%,120MB / 155MB,64.5MB / 732MB,16
2026-06-19T21:48:44+08:00,RPA-loki,0.68%,181.3MiB / 15.4GiB,1.15%,168MB / 94.2MB,159MB / 1.23GB,26
2026-06-19T21:48:44+08:00,rmqdashboard,0.09%,412.3MiB / 15.4GiB,2.62%,2.54MB / 1.1MB,577MB / 724MB,67
2026-06-19T21:48:44+08:00,RPA-prometheus,0.00%,252.1MiB / 15.4GiB,1.60%,345MB / 34.1MB,349MB / 183MB,26
2026-06-19T21:48:44+08:00,RPA-redis,0.62%,7.039MiB / 15.4GiB,0.04%,15.8MB / 48MB,19.7MB / 4.77MB,7
2026-06-19T21:48:44+08:00,RPA-minio,0.02%,102.3MiB / 15.4GiB,0.65%,116MB / 16.8MB,190MB / 389MB,27
2026-06-19T21:48:44+08:00,rmqnamesrv,0.19%,154.3MiB / 15.4GiB,0.98%,3.37MB / 2.13MB,191MB / 406MB,81
2026-06-19T21:48:44+08:00,RPA-cadvisor,4.08%,283.9MiB / 15.4GiB,1.80%,5.21MB / 311MB,176MB / 23.4MB,29
2026-06-19T21:48:47+08:00,script-k6-run-0d0ff4bc90bc,4.17%,50.23MiB / 15.4GiB,0.32%,369kB / 159kB,0B / 0B,26
2026-06-19T21:48:47+08:00,RPA-app,136.79%,112.2MiB / 2GiB,5.48%,3.37MB / 5.15MB,1.75MB / 0B,8
2026-06-19T21:48:47+08:00,RPA-alloy,1.35%,108.9MiB / 15.4GiB,0.69%,2MB / 161MB,296MB / 37.4MB,26
2026-06-19T21:48:47+08:00,RPA-grafana,0.21%,114.1MiB / 15.4GiB,0.72%,63.9MB / 259MB,94.3MB / 36.1MB,29
2026-06-19T21:48:47+08:00,rmqbroker,5.79%,1013MiB / 15.4GiB,6.43%,2.26MB / 2.82MB,1.39GB / 1.78GB,327
2026-06-19T21:48:47+08:00,RPA-pgdb,1.05%,51.02MiB / 15.4GiB,0.32%,120MB / 155MB,64.5MB / 732MB,16
2026-06-19T21:48:47+08:00,RPA-loki,0.65%,181.1MiB / 15.4GiB,1.15%,168MB / 94.2MB,159MB / 1.23GB,26
2026-06-19T21:48:47+08:00,rmqdashboard,0.08%,412.3MiB / 15.4GiB,2.62%,2.54MB / 1.1MB,577MB / 724MB,67
2026-06-19T21:48:47+08:00,RPA-prometheus,0.00%,252.1MiB / 15.4GiB,1.60%,345MB / 34.1MB,349MB / 183MB,26
2026-06-19T21:48:47+08:00,RPA-redis,0.59%,7.039MiB / 15.4GiB,0.04%,15.8MB / 48MB,19.7MB / 4.77MB,7
2026-06-19T21:48:47+08:00,RPA-minio,0.03%,102.3MiB / 15.4GiB,0.65%,116MB / 16.8MB,190MB / 389MB,27
2026-06-19T21:48:47+08:00,rmqnamesrv,0.14%,154.1MiB / 15.4GiB,0.98%,3.37MB / 2.13MB,191MB / 406MB,81
2026-06-19T21:48:47+08:00,RPA-cadvisor,4.78%,285.3MiB / 15.4GiB,1.81%,5.21MB / 311MB,176MB / 23.4MB,29
2026-06-19T21:48:50+08:00,script-k6-run-0d0ff4bc90bc,4.17%,50.32MiB / 15.4GiB,0.32%,466kB / 197kB,0B / 0B,26
2026-06-19T21:48:50+08:00,RPA-app,145.91%,111.6MiB / 2GiB,5.45%,3.52MB / 5.35MB,1.75MB / 0B,8
2026-06-19T21:48:50+08:00,RPA-alloy,1.65%,113.6MiB / 15.4GiB,0.72%,2MB / 161MB,301MB / 37.4MB,26
