timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-19T21:59:08+08:00,RPA-app,11.79%,32.48MiB / 2GiB,1.59%,392MB / 523MB,2.44MB / 5.23MB,20
2026-06-19T21:59:08+08:00,RPA-alloy,4.78%,147.6MiB / 15.4GiB,0.94%,2.15MB / 174MB,306MB / 39.3MB,26
2026-06-19T21:59:08+08:00,RPA-grafana,0.20%,119.8MiB / 15.4GiB,0.76%,71MB / 271MB,100MB / 37MB,29
2026-06-19T21:59:08+08:00,rmqbroker,5.14%,1.065GiB / 15.4GiB,6.92%,2.34MB / 2.97MB,1.47GB / 1.79GB,327
2026-06-19T21:59:08+08:00,RPA-pgdb,2.97%,71.62MiB / 15.4GiB,0.45%,229MB / 465MB,65.7MB / 1.45GB,19
2026-06-19T21:59:08+08:00,RPA-loki,0.56%,211.9MiB / 15.4GiB,1.34%,180MB / 101MB,164MB / 1.31GB,26
2026-06-19T21:59:08+08:00,rmqdashboard,0.17%,415.9MiB / 15.4GiB,2.64%,2.64MB / 1.16MB,581MB / 727MB,67
2026-06-19T21:59:08+08:00,RPA-prometheus,0.04%,279.7MiB / 15.4GiB,1.77%,366MB / 35.6MB,352MB / 187MB,26
2026-06-19T21:59:08+08:00,RPA-redis,0.21%,6.789MiB / 15.4GiB,0.04%,16.3MB / 48.2MB,19.7MB / 5.46MB,7
2026-06-19T21:59:08+08:00,RPA-minio,0.06%,147.5MiB / 15.4GiB,0.94%,146MB / 33.3MB,197MB / 525MB,34
2026-06-19T21:59:08+08:00,rmqnamesrv,0.17%,165.7MiB / 15.4GiB,1.05%,3.51MB / 2.24MB,197MB / 407MB,81
2026-06-19T21:59:08+08:00,RPA-cadvisor,2.85%,311MiB / 15.4GiB,1.97%,5.45MB / 327MB,176MB / 23.4MB,29
2026-06-19T21:59:08+08:00,script-k6-run-613915bb9316,19.03%,54.3MiB / 15.4GiB,0.34%,870kB / 144kB,0B / 0B,26
