timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-19T21:49:44+08:00,RPA-app,17.26%,118.2MiB / 2GiB,5.77%,6.28MB / 9.06MB,1.88MB / 0B,8
2026-06-19T21:49:44+08:00,RPA-alloy,6.80%,116.8MiB / 15.4GiB,0.74%,2.01MB / 161MB,301MB / 37.6MB,26
2026-06-19T21:49:44+08:00,RPA-grafana,0.16%,115.1MiB / 15.4GiB,0.73%,65.4MB / 262MB,95.6MB / 36.2MB,29
2026-06-19T21:49:44+08:00,rmqbroker,5.87%,1.004GiB / 15.4GiB,6.52%,2.27MB / 2.84MB,1.4GB / 1.78GB,327
2026-06-19T21:49:44+08:00,RPA-pgdb,5.68%,51.86MiB / 15.4GiB,0.33%,121MB / 157MB,64.5MB / 732MB,16
2026-06-19T21:49:44+08:00,RPA-loki,0.67%,201.3MiB / 15.4GiB,1.28%,168MB / 94.2MB,159MB / 1.23GB,26
2026-06-19T21:49:44+08:00,rmqdashboard,0.07%,413.9MiB / 15.4GiB,2.63%,2.55MB / 1.11MB,579MB / 724MB,67
2026-06-19T21:49:44+08:00,RPA-prometheus,0.04%,250MiB / 15.4GiB,1.59%,348MB / 34.4MB,350MB / 184MB,26
2026-06-19T21:49:44+08:00,RPA-redis,0.17%,6.789MiB / 15.4GiB,0.04%,16.3MB / 48.2MB,19.7MB / 5.12MB,7
2026-06-19T21:49:44+08:00,RPA-minio,0.02%,102.5MiB / 15.4GiB,0.65%,116MB / 16.8MB,190MB / 391MB,27
2026-06-19T21:49:44+08:00,rmqnamesrv,0.13%,158.8MiB / 15.4GiB,1.01%,3.38MB / 2.14MB,195MB / 406MB,81
2026-06-19T21:49:44+08:00,RPA-cadvisor,3.18%,292.7MiB / 15.4GiB,1.86%,5.23MB / 313MB,176MB / 23.4MB,29
2026-06-19T21:49:44+08:00,script-k6-run-97f109fb8d04,29.19%,47.24MiB / 15.4GiB,0.30%,274kB / 104kB,0B / 0B,25
2026-06-19T21:49:47+08:00,script-k6-run-97f109fb8d04,14.67%,54.05MiB / 15.4GiB,0.34%,1.05MB / 358kB,0B / 0B,25
2026-06-19T21:49:47+08:00,RPA-app,14.04%,136.9MiB / 2GiB,6.69%,7.13MB / 10MB,1.88MB / 0B,8
2026-06-19T21:49:47+08:00,RPA-alloy,5.77%,116.1MiB / 15.4GiB,0.74%,2.01MB / 162MB,301MB / 37.6MB,26
2026-06-19T21:49:47+08:00,RPA-grafana,0.15%,115.1MiB / 15.4GiB,0.73%,65.4MB / 262MB,95.6MB / 36.2MB,29
2026-06-19T21:49:47+08:00,rmqbroker,4.84%,1.004GiB / 15.4GiB,6.52%,2.27MB / 2.84MB,1.4GB / 1.78GB,327
2026-06-19T21:49:47+08:00,RPA-pgdb,4.53%,52.91MiB / 15.4GiB,0.34%,121MB / 157MB,64.5MB / 732MB,16
2026-06-19T21:49:47+08:00,RPA-loki,1.28%,212MiB / 15.4GiB,1.34%,168MB / 94.2MB,159MB / 1.23GB,26
2026-06-19T21:49:47+08:00,rmqdashboard,0.07%,413.9MiB / 15.4GiB,2.63%,2.55MB / 1.11MB,579MB / 724MB,67
2026-06-19T21:49:47+08:00,RPA-prometheus,0.00%,250MiB / 15.4GiB,1.59%,348MB / 34.4MB,350MB / 184MB,26
2026-06-19T21:49:47+08:00,RPA-redis,0.17%,7.039MiB / 15.4GiB,0.04%,16.3MB / 48.2MB,19.7MB / 5.12MB,7
2026-06-19T21:49:47+08:00,RPA-minio,0.03%,102.5MiB / 15.4GiB,0.65%,116MB / 16.8MB,190MB / 391MB,27
2026-06-19T21:49:47+08:00,rmqnamesrv,0.11%,158.8MiB / 15.4GiB,1.01%,3.38MB / 2.14MB,195MB / 406MB,81
2026-06-19T21:49:47+08:00,RPA-cadvisor,2.68%,292.9MiB / 15.4GiB,1.86%,5.23MB / 313MB,176MB / 23.4MB,29
2026-06-19T21:49:50+08:00,script-k6-run-97f109fb8d04,14.71%,58.48MiB / 15.4GiB,0.37%,1.56MB / 530kB,0B / 0B,25
2026-06-19T21:49:50+08:00,RPA-app,14.91%,155.2MiB / 2GiB,7.58%,7.98MB / 11MB,1.88MB / 0B,8
2026-06-19T21:49:50+08:00,RPA-alloy,5.86%,116.1MiB / 15.4GiB,0.74%,2.01MB / 162MB,301MB / 37.6MB,26
2026-06-19T21:49:50+08:00,RPA-grafana,17.46%,116.4MiB / 15.4GiB,0.74%,65.6MB / 262MB,95.6MB / 36.2MB,29
2026-06-19T21:49:50+08:00,rmqbroker,5.77%,1.006GiB / 15.4GiB,6.53%,2.27MB / 2.84MB,1.4GB / 1.78GB,327
2026-06-19T21:49:50+08:00,RPA-pgdb,4.74%,52.36MiB / 15.4GiB,0.33%,121MB / 158MB,64.5MB / 732MB,16
2026-06-19T21:49:50+08:00,RPA-loki,0.79%,220.7MiB / 15.4GiB,1.40%,168MB / 94.2MB,159MB / 1.23GB,26
2026-06-19T21:49:50+08:00,rmqdashboard,0.08%,413.9MiB / 15.4GiB,2.63%,2.55MB / 1.11MB,579MB / 724MB,67
2026-06-19T21:49:50+08:00,RPA-prometheus,12.45%,258.8MiB / 15.4GiB,1.64%,348MB / 34.4MB,350MB / 184MB,26
2026-06-19T21:49:50+08:00,RPA-redis,0.15%,6.789MiB / 15.4GiB,0.04%,16.3MB / 48.2MB,19.7MB / 5.12MB,7
2026-06-19T21:49:50+08:00,RPA-minio,0.01%,102.5MiB / 15.4GiB,0.65%,116MB / 16.8MB,190MB / 391MB,27
2026-06-19T21:49:50+08:00,rmqnamesrv,0.27%,159.6MiB / 15.4GiB,1.01%,3.39MB / 2.14MB,195MB / 406MB,81
2026-06-19T21:49:50+08:00,RPA-cadvisor,3.90%,292.9MiB / 15.4GiB,1.86%,5.23MB / 313MB,176MB / 23.4MB,29
2026-06-19T21:49:53+08:00,script-k6-run-97f109fb8d04,19.82%,59.45MiB / 15.4GiB,0.38%,2.59MB / 870kB,0B / 0B,25
2026-06-19T21:49:53+08:00,RPA-app,13.51%,173.2MiB / 2GiB,8.46%,8.83MB / 12MB,1.88MB / 0B,8
2026-06-19T21:49:53+08:00,RPA-alloy,5.88%,116.1MiB / 15.4GiB,0.74%,2.01MB / 162MB,301MB / 37.6MB,26
