timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-19T21:47:37+08:00,RPA-app,146.50%,117.4MiB / 2GiB,5.73%,68.6kB / 91.3kB,500kB / 0B,8
2026-06-19T21:47:37+08:00,RPA-alloy,0.19%,96.55MiB / 15.4GiB,0.61%,1.99MB / 161MB,285MB / 37.2MB,26
2026-06-19T21:47:37+08:00,RPA-grafana,0.24%,92.42MiB / 15.4GiB,0.59%,62.2MB / 256MB,90.2MB / 36.1MB,29
2026-06-19T21:47:37+08:00,rmqbroker,5.53%,1001MiB / 15.4GiB,6.35%,2.25MB / 2.81MB,1.37GB / 1.78GB,327
2026-06-19T21:47:37+08:00,RPA-pgdb,3.18%,40.63MiB / 15.4GiB,0.26%,116MB / 153MB,64.5MB / 704MB,11
2026-06-19T21:47:37+08:00,RPA-loki,0.47%,170.7MiB / 15.4GiB,1.08%,168MB / 94.2MB,159MB / 1.22GB,26
2026-06-19T21:47:37+08:00,rmqdashboard,0.07%,412.3MiB / 15.4GiB,2.62%,2.53MB / 1.1MB,577MB / 723MB,67
2026-06-19T21:47:37+08:00,RPA-prometheus,0.01%,352.8MiB / 15.4GiB,2.24%,342MB / 33.7MB,347MB / 183MB,26
2026-06-19T21:47:37+08:00,RPA-redis,0.16%,7.035MiB / 15.4GiB,0.04%,15.7MB / 48MB,19.7MB / 4.77MB,7
2026-06-19T21:47:37+08:00,RPA-minio,0.03%,102.3MiB / 15.4GiB,0.65%,116MB / 16.8MB,190MB / 386MB,27
2026-06-19T21:47:37+08:00,rmqnamesrv,0.13%,152.9MiB / 15.4GiB,0.97%,3.36MB / 2.12MB,190MB / 406MB,81
2026-06-19T21:47:37+08:00,RPA-cadvisor,5.56%,249.4MiB / 15.4GiB,1.58%,5.18MB / 309MB,176MB / 23.4MB,29
2026-06-19T21:47:37+08:00,script-k6-run-b9c49b0fb97a,6.32%,41.66MiB / 15.4GiB,0.26%,48.7kB / 57kB,217kB / 0B,25
2026-06-19T21:47:41+08:00,script-k6-run-b9c49b0fb97a,9.01%,48.51MiB / 15.4GiB,0.31%,115kB / 135kB,217kB / 0B,25
2026-06-19T21:47:41+08:00,RPA-app,148.18%,109.2MiB / 2GiB,5.33%,290kB / 424kB,500kB / 0B,8
2026-06-19T21:47:41+08:00,RPA-alloy,0.21%,96.55MiB / 15.4GiB,0.61%,1.99MB / 161MB,285MB / 37.2MB,26
2026-06-19T21:47:41+08:00,RPA-grafana,0.28%,92.42MiB / 15.4GiB,0.59%,62.2MB / 256MB,90.2MB / 36.1MB,29
2026-06-19T21:47:41+08:00,rmqbroker,6.39%,1002MiB / 15.4GiB,6.35%,2.25MB / 2.81MB,1.37GB / 1.78GB,327
