timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-19T22:07:28+08:00,RPA-app,16.02%,31.09MiB / 2GiB,1.52%,1.46GB / 1.68GB,2.44MB / 5.48MB,20
2026-06-19T22:07:28+08:00,RPA-alloy,3.86%,171.1MiB / 15.4GiB,1.09%,2.28MB / 187MB,328MB / 40.9MB,26
2026-06-19T22:07:28+08:00,RPA-grafana,0.22%,121.2MiB / 15.4GiB,0.77%,76.9MB / 283MB,102MB / 37.5MB,29
2026-06-19T22:07:28+08:00,rmqbroker,4.95%,1.142GiB / 15.4GiB,7.42%,2.41MB / 3.09MB,1.55GB / 1.8GB,327
2026-06-19T22:07:28+08:00,RPA-pgdb,7.58%,78.52MiB / 15.4GiB,0.50%,338MB / 1.34GB,65.8MB / 1.5GB,18
2026-06-19T22:07:28+08:00,RPA-loki,0.44%,219.5MiB / 15.4GiB,1.39%,194MB / 109MB,166MB / 1.42GB,26
2026-06-19T22:07:28+08:00,rmqdashboard,0.72%,422MiB / 15.4GiB,2.68%,2.72MB / 1.2MB,587MB / 730MB,67
2026-06-19T22:07:28+08:00,RPA-prometheus,0.03%,263.9MiB / 15.4GiB,1.67%,384MB / 36.7MB,353MB / 194MB,26
2026-06-19T22:07:28+08:00,RPA-redis,1.69%,7.285MiB / 15.4GiB,0.05%,34.5MB / 167MB,19.7MB / 5.8MB,7
2026-06-19T22:07:28+08:00,RPA-minio,0.00%,312.5MiB / 15.4GiB,1.98%,157MB / 35.2MB,198MB / 596MB,34
2026-06-19T22:07:28+08:00,rmqnamesrv,0.40%,171.6MiB / 15.4GiB,1.09%,3.62MB / 2.32MB,198MB / 408MB,81
2026-06-19T22:07:28+08:00,RPA-cadvisor,3.34%,281.9MiB / 15.4GiB,1.79%,5.65MB / 339MB,176MB / 23.4MB,29
2026-06-19T22:07:28+08:00,script-k6-run-cbfeb8d0001b,13.59%,46.84MiB / 15.4GiB,0.30%,339kB / 109kB,0B / 0B,25
2026-06-19T22:07:31+08:00,script-k6-run-cbfeb8d0001b,10.70%,53.46MiB / 15.4GiB,0.34%,1.07MB / 308kB,0B / 0B,26
2026-06-19T22:07:31+08:00,RPA-app,15.05%,31.5MiB / 2GiB,1.54%,1.46GB / 1.68GB,2.44MB / 5.48MB,20
2026-06-19T22:07:31+08:00,RPA-alloy,4.06%,171.1MiB / 15.4GiB,1.09%,2.28MB / 187MB,328MB / 40.9MB,26
2026-06-19T22:07:31+08:00,RPA-grafana,9.29%,122.4MiB / 15.4GiB,0.78%,77MB / 283MB,102MB / 37.5MB,29
2026-06-19T22:07:31+08:00,rmqbroker,4.81%,1.143GiB / 15.4GiB,7.42%,2.41MB / 3.09MB,1.55GB / 1.8GB,327
2026-06-19T22:07:31+08:00,RPA-pgdb,7.24%,79.44MiB / 15.4GiB,0.50%,338MB / 1.34GB,65.8MB / 1.5GB,18
2026-06-19T22:07:31+08:00,RPA-loki,1.07%,222.3MiB / 15.4GiB,1.41%,194MB / 109MB,166MB / 1.42GB,26
2026-06-19T22:07:31+08:00,rmqdashboard,0.07%,421.8MiB / 15.4GiB,2.68%,2.72MB / 1.2MB,587MB / 730MB,67
2026-06-19T22:07:31+08:00,RPA-prometheus,4.07%,264.5MiB / 15.4GiB,1.68%,384MB / 36.8MB,353MB / 194MB,26
2026-06-19T22:07:31+08:00,RPA-redis,2.36%,7.508MiB / 15.4GiB,0.05%,34.8MB / 167MB,19.7MB / 6.15MB,7
2026-06-19T22:07:31+08:00,RPA-minio,0.03%,312.2MiB / 15.4GiB,1.98%,157MB / 35.2MB,198MB / 596MB,34
2026-06-19T22:07:31+08:00,rmqnamesrv,0.14%,171.4MiB / 15.4GiB,1.09%,3.62MB / 2.32MB,198MB / 408MB,81
2026-06-19T22:07:31+08:00,RPA-cadvisor,3.02%,281.6MiB / 15.4GiB,1.79%,5.65MB / 339MB,176MB / 23.4MB,29
