timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-19T22:05:24+08:00,RPA-app,9.78%,29.59MiB / 2GiB,1.44%,1.43GB / 1.65GB,2.44MB / 5.23MB,20
2026-06-19T22:05:24+08:00,RPA-alloy,3.69%,168.3MiB / 15.4GiB,1.07%,2.25MB / 185MB,324MB / 40.5MB,26
2026-06-19T22:05:24+08:00,RPA-grafana,0.18%,121MiB / 15.4GiB,0.77%,75MB / 278MB,102MB / 37.4MB,29
2026-06-19T22:05:24+08:00,rmqbroker,5.10%,1.121GiB / 15.4GiB,7.28%,2.39MB / 3.06MB,1.53GB / 1.8GB,327
2026-06-19T22:05:24+08:00,RPA-pgdb,3.83%,75.9MiB / 15.4GiB,0.48%,330MB / 1.32GB,65.7MB / 1.45GB,19
2026-06-19T22:05:24+08:00,RPA-loki,0.35%,225.8MiB / 15.4GiB,1.43%,192MB / 107MB,165MB / 1.41GB,26
2026-06-19T22:05:24+08:00,rmqdashboard,0.07%,417.7MiB / 15.4GiB,2.65%,2.69MB / 1.19MB,583MB / 730MB,67
2026-06-19T22:05:24+08:00,RPA-prometheus,0.03%,229MiB / 15.4GiB,1.45%,379MB / 36.3MB,353MB / 193MB,26
2026-06-19T22:05:24+08:00,RPA-redis,0.71%,7.293MiB / 15.4GiB,0.05%,33.3MB / 166MB,19.7MB / 5.46MB,7
2026-06-19T22:05:24+08:00,RPA-minio,6.70%,142.4MiB / 15.4GiB,0.90%,151MB / 33.4MB,198MB / 547MB,34
2026-06-19T22:05:24+08:00,rmqnamesrv,0.15%,169.9MiB / 15.4GiB,1.08%,3.59MB / 2.3MB,197MB / 407MB,81
2026-06-19T22:05:24+08:00,RPA-cadvisor,3.89%,249.8MiB / 15.4GiB,1.58%,5.6MB / 336MB,176MB / 23.4MB,29
2026-06-19T22:05:24+08:00,script-k6-run-0e79e0746c71,4.56%,26.19MiB / 15.4GiB,0.17%,39.4kB / 120kB,4.1kB / 0B,25
2026-06-19T22:05:28+08:00,script-k6-run-0e79e0746c71,4.50%,26.66MiB / 15.4GiB,0.17%,96.7kB / 314kB,4.1kB / 0B,25
2026-06-19T22:05:28+08:00,RPA-app,12.91%,28.66MiB / 2GiB,1.40%,1.43GB / 1.65GB,2.44MB / 5.23MB,20
2026-06-19T22:05:28+08:00,RPA-alloy,4.07%,167MiB / 15.4GiB,1.06%,2.25MB / 186MB,324MB / 40.5MB,26
2026-06-19T22:05:28+08:00,RPA-grafana,0.21%,121MiB / 15.4GiB,0.77%,75MB / 278MB,102MB / 37.4MB,29
2026-06-19T22:05:28+08:00,rmqbroker,5.32%,1.121GiB / 15.4GiB,7.28%,2.39MB / 3.06MB,1.53GB / 1.8GB,327
2026-06-19T22:05:28+08:00,RPA-pgdb,4.60%,76.78MiB / 15.4GiB,0.49%,330MB / 1.32GB,65.7MB / 1.46GB,19
2026-06-19T22:05:28+08:00,RPA-loki,0.89%,225.3MiB / 15.4GiB,1.43%,192MB / 108MB,165MB / 1.41GB,26
2026-06-19T22:05:28+08:00,rmqdashboard,0.81%,417.7MiB / 15.4GiB,2.65%,2.7MB / 1.19MB,583MB / 730MB,67
2026-06-19T22:05:28+08:00,RPA-prometheus,0.03%,232.5MiB / 15.4GiB,1.47%,380MB / 36.3MB,353MB / 193MB,26
2026-06-19T22:05:28+08:00,RPA-redis,0.97%,6.797MiB / 15.4GiB,0.04%,33.3MB / 166MB,19.7MB / 5.8MB,7
2026-06-19T22:05:28+08:00,RPA-minio,10.29%,145MiB / 15.4GiB,0.92%,153MB / 33.5MB,198MB / 549MB,34
2026-06-19T22:05:28+08:00,rmqnamesrv,0.39%,171.5MiB / 15.4GiB,1.09%,3.59MB / 2.3MB,197MB / 407MB,81
2026-06-19T22:05:28+08:00,RPA-cadvisor,3.52%,281.6MiB / 15.4GiB,1.79%,5.6MB / 336MB,176MB / 23.4MB,29
2026-06-19T22:05:31+08:00,script-k6-run-0e79e0746c71,4.37%,27.34MiB / 15.4GiB,0.17%,150kB / 510kB,4.1kB / 0B,25
2026-06-19T22:05:31+08:00,RPA-app,13.10%,28.79MiB / 2GiB,1.41%,1.43GB / 1.65GB,2.44MB / 5.23MB,20
2026-06-19T22:05:31+08:00,RPA-alloy,4.09%,167MiB / 15.4GiB,1.06%,2.25MB / 186MB,324MB / 40.5MB,26
2026-06-19T22:05:31+08:00,RPA-grafana,4.80%,123MiB / 15.4GiB,0.78%,75MB / 278MB,102MB / 37.4MB,29
2026-06-19T22:05:31+08:00,rmqbroker,5.57%,1.123GiB / 15.4GiB,7.29%,2.39MB / 3.06MB,1.53GB / 1.8GB,327
2026-06-19T22:05:31+08:00,RPA-pgdb,4.79%,76.11MiB / 15.4GiB,0.48%,331MB / 1.32GB,65.7MB / 1.46GB,19
2026-06-19T22:05:31+08:00,RPA-loki,0.91%,225.6MiB / 15.4GiB,1.43%,192MB / 108MB,165MB / 1.41GB,26
2026-06-19T22:05:31+08:00,rmqdashboard,0.07%,417.7MiB / 15.4GiB,2.65%,2.7MB / 1.19MB,583MB / 730MB,67
2026-06-19T22:05:31+08:00,RPA-prometheus,0.40%,233.5MiB / 15.4GiB,1.48%,380MB / 36.3MB,353MB / 193MB,26
2026-06-19T22:05:31+08:00,RPA-redis,1.01%,6.797MiB / 15.4GiB,0.04%,33.4MB / 166MB,19.7MB / 5.8MB,7
2026-06-19T22:05:31+08:00,RPA-minio,11.24%,166MiB / 15.4GiB,1.05%,153MB / 33.6MB,198MB / 550MB,34
2026-06-19T22:05:31+08:00,rmqnamesrv,0.12%,169.8MiB / 15.4GiB,1.08%,3.59MB / 2.3MB,197MB / 407MB,81
