timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-19T22:08:31+08:00,RPA-app,9.04%,30.6MiB / 2GiB,1.49%,1.48GB / 1.7GB,2.44MB / 5.48MB,20
2026-06-19T22:08:31+08:00,RPA-alloy,1.84%,171.6MiB / 15.4GiB,1.09%,2.29MB / 188MB,328MB / 41.1MB,26
2026-06-19T22:08:31+08:00,RPA-grafana,0.19%,121.4MiB / 15.4GiB,0.77%,77.7MB / 285MB,102MB / 37.5MB,29
2026-06-19T22:08:31+08:00,rmqbroker,4.96%,1.151GiB / 15.4GiB,7.48%,2.41MB / 3.1MB,1.56GB / 1.8GB,327
2026-06-19T22:08:31+08:00,RPA-pgdb,5.75%,79.92MiB / 15.4GiB,0.51%,343MB / 1.35GB,65.8MB / 1.6GB,18
2026-06-19T22:08:31+08:00,RPA-loki,0.65%,223.4MiB / 15.4GiB,1.42%,195MB / 109MB,166MB / 1.43GB,26
2026-06-19T22:08:31+08:00,rmqdashboard,0.08%,421.8MiB / 15.4GiB,2.68%,2.73MB / 1.21MB,587MB / 731MB,67
2026-06-19T22:08:31+08:00,RPA-prometheus,0.00%,278.5MiB / 15.4GiB,1.77%,386MB / 36.9MB,353MB / 194MB,26
2026-06-19T22:08:31+08:00,RPA-redis,0.20%,7.238MiB / 15.4GiB,0.05%,40.7MB / 168MB,19.7MB / 6.15MB,7
2026-06-19T22:08:31+08:00,RPA-minio,0.03%,196.7MiB / 15.4GiB,1.25%,157MB / 35.2MB,198MB / 598MB,34
2026-06-19T22:08:31+08:00,rmqnamesrv,0.11%,171.9MiB / 15.4GiB,1.09%,3.63MB / 2.33MB,198MB / 408MB,81
2026-06-19T22:08:31+08:00,RPA-cadvisor,3.37%,283.7MiB / 15.4GiB,1.80%,5.67MB / 341MB,176MB / 23.4MB,29
2026-06-19T22:08:31+08:00,script-k6-run-41e10b42590d,9.75%,32.01MiB / 15.4GiB,0.20%,127kB / 66.1kB,0B / 0B,26
2026-06-19T22:08:34+08:00,script-k6-run-41e10b42590d,8.08%,36.83MiB / 15.4GiB,0.23%,384kB / 181kB,0B / 0B,26
2026-06-19T22:08:34+08:00,RPA-app,8.33%,28.85MiB / 2GiB,1.41%,1.48GB / 1.7GB,2.44MB / 5.48MB,20
2026-06-19T22:08:34+08:00,RPA-alloy,1.82%,171.3MiB / 15.4GiB,1.09%,2.29MB / 188MB,328MB / 41.1MB,26
2026-06-19T22:08:34+08:00,RPA-grafana,0.14%,121.3MiB / 15.4GiB,0.77%,77.8MB / 285MB,102MB / 37.5MB,29
2026-06-19T22:08:34+08:00,rmqbroker,4.98%,1.151GiB / 15.4GiB,7.48%,2.41MB / 3.1MB,1.56GB / 1.8GB,327
2026-06-19T22:08:34+08:00,RPA-pgdb,5.44%,79.68MiB / 15.4GiB,0.51%,343MB / 1.35GB,65.8MB / 1.6GB,18
2026-06-19T22:08:34+08:00,RPA-loki,0.75%,222.2MiB / 15.4GiB,1.41%,195MB / 109MB,166MB / 1.43GB,26
2026-06-19T22:08:34+08:00,rmqdashboard,0.08%,421.8MiB / 15.4GiB,2.68%,2.73MB / 1.21MB,587MB / 731MB,67
2026-06-19T22:08:34+08:00,RPA-prometheus,0.00%,279.2MiB / 15.4GiB,1.77%,386MB / 37MB,353MB / 194MB,26
2026-06-19T22:08:34+08:00,RPA-redis,0.15%,6.988MiB / 15.4GiB,0.04%,40.7MB / 168MB,19.7MB / 6.49MB,7
2026-06-19T22:08:34+08:00,RPA-minio,0.02%,196.7MiB / 15.4GiB,1.25%,157MB / 35.2MB,198MB / 598MB,34
2026-06-19T22:08:34+08:00,rmqnamesrv,0.15%,172.2MiB / 15.4GiB,1.09%,3.64MB / 2.33MB,198MB / 408MB,81
2026-06-19T22:08:34+08:00,RPA-cadvisor,3.47%,293.7MiB / 15.4GiB,1.86%,5.67MB / 341MB,176MB / 23.4MB,29
2026-06-19T22:08:37+08:00,script-k6-run-41e10b42590d,4.47%,37.46MiB / 15.4GiB,0.24%,551kB / 261kB,0B / 0B,26
2026-06-19T22:08:37+08:00,RPA-app,7.99%,30.94MiB / 2GiB,1.51%,1.48GB / 1.7GB,2.44MB / 5.48MB,20
2026-06-19T22:08:37+08:00,RPA-alloy,1.72%,171.1MiB / 15.4GiB,1.09%,2.29MB / 188MB,328MB / 41.1MB,26
2026-06-19T22:08:37+08:00,RPA-grafana,0.14%,121.3MiB / 15.4GiB,0.77%,77.8MB / 285MB,102MB / 37.5MB,29
2026-06-19T22:08:37+08:00,rmqbroker,5.02%,1.153GiB / 15.4GiB,7.49%,2.41MB / 3.1MB,1.56GB / 1.8GB,327
2026-06-19T22:08:37+08:00,RPA-pgdb,5.23%,79.99MiB / 15.4GiB,0.51%,344MB / 1.35GB,65.8MB / 1.61GB,18
2026-06-19T22:08:37+08:00,RPA-loki,0.74%,222.4MiB / 15.4GiB,1.41%,195MB / 109MB,166MB / 1.43GB,26
2026-06-19T22:08:37+08:00,rmqdashboard,0.07%,421.8MiB / 15.4GiB,2.68%,2.73MB / 1.21MB,587MB / 731MB,67
2026-06-19T22:08:37+08:00,RPA-prometheus,0.00%,279.2MiB / 15.4GiB,1.77%,386MB / 37MB,353MB / 194MB,26
2026-06-19T22:08:37+08:00,RPA-redis,0.16%,6.988MiB / 15.4GiB,0.04%,40.7MB / 168MB,19.7MB / 6.49MB,7
2026-06-19T22:08:37+08:00,RPA-minio,0.03%,196.7MiB / 15.4GiB,1.25%,157MB / 35.2MB,198MB / 599MB,34
2026-06-19T22:08:37+08:00,rmqnamesrv,0.11%,172MiB / 15.4GiB,1.09%,3.64MB / 2.33MB,198MB / 408MB,81
2026-06-19T22:08:37+08:00,RPA-cadvisor,2.81%,306.9MiB / 15.4GiB,1.95%,5.67MB / 341MB,176MB / 23.4MB,29
2026-06-19T22:08:40+08:00,script-k6-run-41e10b42590d,4.91%,38.16MiB / 15.4GiB,0.24%,799kB / 375kB,0B / 0B,26
2026-06-19T22:08:40+08:00,RPA-app,8.87%,29.77MiB / 2GiB,1.45%,1.48GB / 1.7GB,2.44MB / 5.48MB,20
2026-06-19T22:08:40+08:00,RPA-alloy,1.75%,171.1MiB / 15.4GiB,1.09%,2.29MB / 188MB,328MB / 41.1MB,26
2026-06-19T22:08:40+08:00,RPA-grafana,0.20%,121.3MiB / 15.4GiB,0.77%,77.8MB / 285MB,102MB / 37.5MB,29
2026-06-19T22:08:40+08:00,rmqbroker,4.70%,1.153GiB / 15.4GiB,7.49%,2.41MB / 3.1MB,1.56GB / 1.8GB,327
2026-06-19T22:08:40+08:00,RPA-pgdb,5.66%,80.16MiB / 15.4GiB,0.51%,344MB / 1.35GB,65.8MB / 1.61GB,18
2026-06-19T22:08:40+08:00,RPA-loki,0.60%,222.2MiB / 15.4GiB,1.41%,195MB / 109MB,166MB / 1.43GB,26
2026-06-19T22:08:40+08:00,rmqdashboard,0.07%,421.8MiB / 15.4GiB,2.68%,2.73MB / 1.21MB,587MB / 731MB,67
2026-06-19T22:08:40+08:00,RPA-prometheus,14.12%,282.1MiB / 15.4GiB,1.79%,387MB / 37MB,353MB / 194MB,26
2026-06-19T22:08:40+08:00,RPA-redis,0.15%,6.988MiB / 15.4GiB,0.04%,40.7MB / 168MB,19.7MB / 6.49MB,7
2026-06-19T22:08:40+08:00,RPA-minio,0.01%,196.7MiB / 15.4GiB,1.25%,157MB / 35.2MB,198MB / 599MB,34
2026-06-19T22:08:40+08:00,rmqnamesrv,0.12%,172MiB / 15.4GiB,1.09%,3.64MB / 2.33MB,198MB / 408MB,81
2026-06-19T22:08:40+08:00,RPA-cadvisor,64.47%,285.4MiB / 15.4GiB,1.81%,5.68MB / 341MB,176MB / 23.4MB,29
2026-06-19T22:08:43+08:00,script-k6-run-41e10b42590d,5.27%,40.66MiB / 15.4GiB,0.26%,1.13MB / 530kB,0B / 0B,26
2026-06-19T22:08:43+08:00,RPA-app,8.07%,30.48MiB / 2GiB,1.49%,1.48GB / 1.7GB,2.44MB / 5.48MB,20
2026-06-19T22:08:43+08:00,RPA-alloy,1.83%,171.1MiB / 15.4GiB,1.09%,2.29MB / 188MB,328MB / 41.1MB,26
2026-06-19T22:08:43+08:00,RPA-grafana,0.19%,121.4MiB / 15.4GiB,0.77%,77.9MB / 285MB,102MB / 37.5MB,29
2026-06-19T22:08:43+08:00,rmqbroker,5.52%,1.153GiB / 15.4GiB,7.49%,2.42MB / 3.1MB,1.56GB / 1.8GB,327
2026-06-19T22:08:43+08:00,RPA-pgdb,5.49%,80.15MiB / 15.4GiB,0.51%,344MB / 1.35GB,65.8MB / 1.61GB,18
2026-06-19T22:08:43+08:00,RPA-loki,0.73%,222.5MiB / 15.4GiB,1.41%,195MB / 109MB,166MB / 1.43GB,26
2026-06-19T22:08:43+08:00,rmqdashboard,0.48%,422.1MiB / 15.4GiB,2.68%,2.73MB / 1.21MB,587MB / 731MB,67
2026-06-19T22:08:43+08:00,RPA-prometheus,0.04%,280.5MiB / 15.4GiB,1.78%,387MB / 37MB,353MB / 194MB,26
2026-06-19T22:08:43+08:00,RPA-redis,0.15%,7.238MiB / 15.4GiB,0.05%,40.7MB / 168MB,19.7MB / 6.49MB,7
2026-06-19T22:08:43+08:00,RPA-minio,0.03%,196.7MiB / 15.4GiB,1.25%,157MB / 35.2MB,198MB / 599MB,34
2026-06-19T22:08:43+08:00,rmqnamesrv,0.17%,172.3MiB / 15.4GiB,1.09%,3.64MB / 2.33MB,198MB / 408MB,81
2026-06-19T22:08:43+08:00,RPA-cadvisor,3.17%,289MiB / 15.4GiB,1.83%,5.68MB / 341MB,176MB / 23.4MB,29
2026-06-19T22:08:46+08:00,script-k6-run-41e10b42590d,9.04%,39.59MiB / 15.4GiB,0.25%,1.38MB / 647kB,0B / 0B,26
2026-06-19T22:08:46+08:00,RPA-app,9.74%,30.52MiB / 2GiB,1.49%,1.48GB / 1.7GB,2.44MB / 5.48MB,20
2026-06-19T22:08:46+08:00,RPA-alloy,2.08%,172.1MiB / 15.4GiB,1.09%,2.3MB / 188MB,328MB / 41.1MB,26
2026-06-19T22:08:46+08:00,RPA-grafana,9.01%,121.8MiB / 15.4GiB,0.77%,78MB / 286MB,102MB / 37.5MB,29
2026-06-19T22:08:46+08:00,rmqbroker,6.29%,1.153GiB / 15.4GiB,7.49%,2.42MB / 3.1MB,1.56GB / 1.8GB,327
2026-06-19T22:08:46+08:00,RPA-pgdb,6.06%,79.6MiB / 15.4GiB,0.50%,344MB / 1.35GB,65.8MB / 1.61GB,18
2026-06-19T22:08:46+08:00,RPA-loki,0.75%,223.4MiB / 15.4GiB,1.42%,195MB / 109MB,166MB / 1.43GB,26
2026-06-19T22:08:46+08:00,rmqdashboard,0.07%,421.9MiB / 15.4GiB,2.68%,2.73MB / 1.21MB,587MB / 731MB,67
2026-06-19T22:08:46+08:00,RPA-prometheus,11.12%,260.9MiB / 15.4GiB,1.65%,387MB / 37MB,353MB / 194MB,26
2026-06-19T22:08:46+08:00,RPA-redis,0.16%,6.988MiB / 15.4GiB,0.04%,40.7MB / 168MB,19.7MB / 6.49MB,7
2026-06-19T22:08:46+08:00,RPA-minio,0.00%,196.7MiB / 15.4GiB,1.25%,157MB / 35.2MB,198MB / 599MB,34
2026-06-19T22:08:46+08:00,rmqnamesrv,0.12%,172MiB / 15.4GiB,1.09%,3.64MB / 2.33MB,198MB / 408MB,81
2026-06-19T22:08:46+08:00,RPA-cadvisor,3.73%,288.3MiB / 15.4GiB,1.83%,5.68MB / 341MB,176MB / 23.4MB,29
2026-06-19T22:08:49+08:00,script-k6-run-41e10b42590d,5.63%,40.09MiB / 15.4GiB,0.25%,1.63MB / 762kB,0B / 0B,26
2026-06-19T22:08:49+08:00,RPA-app,9.73%,30.02MiB / 2GiB,1.47%,1.48GB / 1.7GB,2.44MB / 5.48MB,20
2026-06-19T22:08:49+08:00,RPA-alloy,2.83%,171.8MiB / 15.4GiB,1.09%,2.3MB / 188MB,328MB / 41.1MB,26
2026-06-19T22:08:49+08:00,RPA-grafana,0.19%,121.8MiB / 15.4GiB,0.77%,78.2MB / 286MB,102MB / 37.5MB,29
2026-06-19T22:08:49+08:00,rmqbroker,6.09%,1.153GiB / 15.4GiB,7.49%,2.42MB / 3.1MB,1.56GB / 1.8GB,327
2026-06-19T22:08:49+08:00,RPA-pgdb,6.11%,80.63MiB / 15.4GiB,0.51%,344MB / 1.35GB,65.8MB / 1.62GB,18
2026-06-19T22:08:49+08:00,RPA-loki,0.74%,222.2MiB / 15.4GiB,1.41%,195MB / 109MB,166MB / 1.43GB,26
2026-06-19T22:08:49+08:00,rmqdashboard,0.14%,421.9MiB / 15.4GiB,2.68%,2.73MB / 1.21MB,587MB / 731MB,67
2026-06-19T22:08:49+08:00,RPA-prometheus,0.00%,277.9MiB / 15.4GiB,1.76%,387MB / 37.1MB,353MB / 194MB,26
2026-06-19T22:08:49+08:00,RPA-redis,0.15%,6.988MiB / 15.4GiB,0.04%,40.7MB / 168MB,19.7MB / 6.49MB,7
2026-06-19T22:08:49+08:00,RPA-minio,0.05%,196.7MiB / 15.4GiB,1.25%,157MB / 35.2MB,198MB / 599MB,34
2026-06-19T22:08:49+08:00,rmqnamesrv,0.19%,172.1MiB / 15.4GiB,1.09%,3.64MB / 2.33MB,198MB / 408MB,81
2026-06-19T22:08:49+08:00,RPA-cadvisor,2.76%,287.5MiB / 15.4GiB,1.82%,5.68MB / 341MB,176MB / 23.4MB,29
2026-06-19T22:08:52+08:00,script-k6-run-41e10b42590d,4.91%,40.31MiB / 15.4GiB,0.26%,1.88MB / 880kB,0B / 0B,26
2026-06-19T22:08:52+08:00,RPA-app,8.68%,29.79MiB / 2GiB,1.45%,1.48GB / 1.71GB,2.44MB / 5.48MB,20
2026-06-19T22:08:52+08:00,RPA-alloy,1.69%,171.1MiB / 15.4GiB,1.09%,2.3MB / 188MB,328MB / 41.1MB,26
2026-06-19T22:08:52+08:00,RPA-grafana,0.47%,121.9MiB / 15.4GiB,0.77%,78.2MB / 286MB,102MB / 37.6MB,29
2026-06-19T22:08:52+08:00,rmqbroker,5.08%,1.155GiB / 15.4GiB,7.50%,2.42MB / 3.11MB,1.56GB / 1.8GB,327
2026-06-19T22:08:52+08:00,RPA-pgdb,5.45%,80.02MiB / 15.4GiB,0.51%,345MB / 1.35GB,65.8MB / 1.62GB,18
2026-06-19T22:08:52+08:00,RPA-loki,0.81%,222.7MiB / 15.4GiB,1.41%,195MB / 109MB,166MB / 1.43GB,26
2026-06-19T22:08:52+08:00,rmqdashboard,0.08%,421.9MiB / 15.4GiB,2.68%,2.73MB / 1.21MB,587MB / 731MB,67
2026-06-19T22:08:52+08:00,RPA-prometheus,0.00%,277.9MiB / 15.4GiB,1.76%,387MB / 37.1MB,353MB / 194MB,26
2026-06-19T22:08:52+08:00,RPA-redis,0.14%,6.738MiB / 15.4GiB,0.04%,40.7MB / 168MB,19.7MB / 6.49MB,7
2026-06-19T22:08:52+08:00,RPA-minio,0.01%,196.7MiB / 15.4GiB,1.25%,157MB / 35.2MB,198MB / 599MB,34
2026-06-19T22:08:52+08:00,rmqnamesrv,0.15%,172.6MiB / 15.4GiB,1.09%,3.64MB / 2.33MB,198MB / 408MB,81
2026-06-19T22:08:52+08:00,RPA-cadvisor,3.49%,245.4MiB / 15.4GiB,1.56%,5.68MB / 341MB,176MB / 23.4MB,29
2026-06-19T22:08:55+08:00,script-k6-run-41e10b42590d,5.51%,40.14MiB / 15.4GiB,0.25%,2.13MB / 997kB,0B / 0B,26
2026-06-19T22:08:55+08:00,RPA-app,9.07%,30.04MiB / 2GiB,1.47%,1.48GB / 1.71GB,2.44MB / 5.48MB,20
2026-06-19T22:08:55+08:00,RPA-alloy,2.02%,171.3MiB / 15.4GiB,1.09%,2.3MB / 188MB,328MB / 41.1MB,26
2026-06-19T22:08:55+08:00,RPA-grafana,0.22%,121.5MiB / 15.4GiB,0.77%,78.2MB / 286MB,102MB / 37.6MB,29
2026-06-19T22:08:55+08:00,rmqbroker,5.78%,1.155GiB / 15.4GiB,7.50%,2.42MB / 3.11MB,1.56GB / 1.8GB,327
