timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-19T22:01:13+08:00,RPA-app,40.96%,30.64MiB / 2GiB,1.50%,876MB / 1.1GB,2.44MB / 5.23MB,20
2026-06-19T22:01:13+08:00,RPA-alloy,6.37%,148.7MiB / 15.4GiB,0.94%,2.18MB / 177MB,306MB / 39.7MB,26
2026-06-19T22:01:13+08:00,RPA-grafana,0.17%,120.4MiB / 15.4GiB,0.76%,72.2MB / 273MB,101MB / 37.1MB,29
2026-06-19T22:01:13+08:00,rmqbroker,5.28%,1.076GiB / 15.4GiB,6.99%,2.36MB / 3MB,1.48GB / 1.79GB,327
2026-06-19T22:01:13+08:00,RPA-pgdb,29.64%,75.55MiB / 15.4GiB,0.48%,250MB / 927MB,65.7MB / 1.45GB,19
2026-06-19T22:01:13+08:00,RPA-loki,0.78%,231.1MiB / 15.4GiB,1.47%,184MB / 103MB,165MB / 1.34GB,26
2026-06-19T22:01:13+08:00,rmqdashboard,0.16%,417.5MiB / 15.4GiB,2.65%,2.66MB / 1.17MB,583MB / 728MB,67
2026-06-19T22:01:13+08:00,RPA-prometheus,0.03%,271.2MiB / 15.4GiB,1.72%,371MB / 35.8MB,352MB / 192MB,26
2026-06-19T22:01:13+08:00,RPA-redis,0.14%,7.039MiB / 15.4GiB,0.04%,16.3MB / 48.2MB,19.7MB / 5.46MB,7
2026-06-19T22:01:13+08:00,RPA-minio,0.02%,144.6MiB / 15.4GiB,0.92%,147MB / 33.3MB,197MB / 533MB,34
2026-06-19T22:01:13+08:00,rmqnamesrv,0.17%,167.1MiB / 15.4GiB,1.06%,3.54MB / 2.26MB,197MB / 407MB,81
2026-06-19T22:01:13+08:00,RPA-cadvisor,3.06%,284.4MiB / 15.4GiB,1.80%,5.5MB / 330MB,176MB / 23.4MB,29
2026-06-19T22:01:13+08:00,script-k6-run-80d568ab59b7,28.18%,54.31MiB / 15.4GiB,0.34%,5.9MB / 238kB,0B / 0B,25
2026-06-19T22:01:16+08:00,script-k6-run-80d568ab59b7,19.04%,62.35MiB / 15.4GiB,0.40%,23.5MB / 893kB,0B / 0B,25
2026-06-19T22:01:16+08:00,RPA-app,40.45%,31.42MiB / 2GiB,1.53%,892MB / 1.12GB,2.44MB / 5.23MB,20
2026-06-19T22:01:16+08:00,RPA-alloy,6.54%,148.4MiB / 15.4GiB,0.94%,2.18MB / 177MB,306MB / 39.7MB,26
2026-06-19T22:01:16+08:00,RPA-grafana,8.63%,120.9MiB / 15.4GiB,0.77%,72.3MB / 273MB,101MB / 37.1MB,29
2026-06-19T22:01:16+08:00,rmqbroker,5.18%,1.076GiB / 15.4GiB,6.99%,2.36MB / 3MB,1.48GB / 1.79GB,327
