timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-19T22:04:21+08:00,RPA-app,35.10%,31.68MiB / 2GiB,1.55%,1.35GB / 1.58GB,2.44MB / 5.23MB,20
2026-06-19T22:04:21+08:00,RPA-alloy,9.38%,157.2MiB / 15.4GiB,1.00%,2.23MB / 183MB,314MB / 40.3MB,26
2026-06-19T22:04:21+08:00,RPA-grafana,0.18%,120.7MiB / 15.4GiB,0.77%,74.2MB / 277MB,102MB / 37.4MB,29
2026-06-19T22:04:21+08:00,rmqbroker,4.73%,1.108GiB / 15.4GiB,7.20%,2.38MB / 3.04MB,1.51GB / 1.8GB,327
2026-06-19T22:04:21+08:00,RPA-pgdb,9.59%,76.91MiB / 15.4GiB,0.49%,308MB / 1.28GB,65.7MB / 1.45GB,19
2026-06-19T22:04:21+08:00,RPA-loki,0.81%,235.1MiB / 15.4GiB,1.49%,190MB / 107MB,165MB / 1.39GB,26
2026-06-19T22:04:21+08:00,rmqdashboard,0.07%,417.6MiB / 15.4GiB,2.65%,2.69MB / 1.18MB,583MB / 729MB,67
2026-06-19T22:04:21+08:00,RPA-prometheus,0.00%,270.2MiB / 15.4GiB,1.71%,377MB / 36.1MB,353MB / 193MB,26
2026-06-19T22:04:21+08:00,RPA-redis,3.20%,7.758MiB / 15.4GiB,0.05%,27.9MB / 128MB,19.7MB / 5.46MB,7
2026-06-19T22:04:21+08:00,RPA-minio,0.02%,196MiB / 15.4GiB,1.24%,151MB / 33.3MB,198MB / 545MB,34
2026-06-19T22:04:21+08:00,rmqnamesrv,0.11%,169.3MiB / 15.4GiB,1.07%,3.58MB / 2.29MB,197MB / 407MB,81
2026-06-19T22:04:21+08:00,RPA-cadvisor,3.00%,301.9MiB / 15.4GiB,1.91%,5.57MB / 334MB,176MB / 23.4MB,29
2026-06-19T22:04:21+08:00,script-k6-run-cdfec52deeb5,33.78%,50.59MiB / 15.4GiB,0.32%,677kB / 209kB,0B / 0B,25
2026-06-19T22:04:24+08:00,script-k6-run-cdfec52deeb5,28.33%,60.25MiB / 15.4GiB,0.38%,2.62MB / 764kB,0B / 0B,25
2026-06-19T22:04:24+08:00,RPA-app,33.11%,31.86MiB / 2GiB,1.56%,1.35GB / 1.58GB,2.44MB / 5.23MB,20
2026-06-19T22:04:24+08:00,RPA-alloy,10.50%,157.3MiB / 15.4GiB,1.00%,2.24MB / 183MB,314MB / 40.3MB,26
2026-06-19T22:04:24+08:00,RPA-grafana,0.18%,120.7MiB / 15.4GiB,0.77%,74.2MB / 277MB,102MB / 37.4MB,29
2026-06-19T22:04:24+08:00,rmqbroker,4.84%,1.11GiB / 15.4GiB,7.21%,2.38MB / 3.04MB,1.52GB / 1.8GB,327
2026-06-19T22:04:24+08:00,RPA-pgdb,9.00%,75.9MiB / 15.4GiB,0.48%,309MB / 1.28GB,65.7MB / 1.45GB,19
2026-06-19T22:04:24+08:00,RPA-loki,1.43%,234.8MiB / 15.4GiB,1.49%,190MB / 107MB,165MB / 1.39GB,26
2026-06-19T22:04:24+08:00,rmqdashboard,0.08%,417.6MiB / 15.4GiB,2.65%,2.69MB / 1.18MB,583MB / 729MB,67
2026-06-19T22:04:24+08:00,RPA-prometheus,0.00%,270.2MiB / 15.4GiB,1.71%,377MB / 36.1MB,353MB / 193MB,26
2026-06-19T22:04:24+08:00,RPA-redis,3.09%,7.062MiB / 15.4GiB,0.04%,28.2MB / 130MB,19.7MB / 5.46MB,7
2026-06-19T22:04:24+08:00,RPA-minio,0.04%,196MiB / 15.4GiB,1.24%,151MB / 33.3MB,198MB / 545MB,34
2026-06-19T22:04:24+08:00,rmqnamesrv,0.16%,169.1MiB / 15.4GiB,1.07%,3.58MB / 2.29MB,197MB / 407MB,81
2026-06-19T22:04:24+08:00,RPA-cadvisor,5.99%,300.9MiB / 15.4GiB,1.91%,5.57MB / 334MB,176MB / 23.4MB,29
2026-06-19T22:04:27+08:00,script-k6-run-cdfec52deeb5,22.33%,66.59MiB / 15.4GiB,0.42%,4.54MB / 1.32MB,0B / 0B,25
2026-06-19T22:04:27+08:00,RPA-app,31.14%,30.57MiB / 2GiB,1.49%,1.35GB / 1.59GB,2.44MB / 5.23MB,20
2026-06-19T22:04:27+08:00,RPA-alloy,9.01%,157.2MiB / 15.4GiB,1.00%,2.24MB / 183MB,314MB / 40.3MB,26
2026-06-19T22:04:27+08:00,RPA-grafana,0.16%,120.9MiB / 15.4GiB,0.77%,74.3MB / 277MB,102MB / 37.4MB,29
2026-06-19T22:04:27+08:00,rmqbroker,3.99%,1.11GiB / 15.4GiB,7.21%,2.38MB / 3.04MB,1.52GB / 1.8GB,327
2026-06-19T22:04:27+08:00,RPA-pgdb,8.33%,76.81MiB / 15.4GiB,0.49%,310MB / 1.29GB,65.7MB / 1.45GB,19
2026-06-19T22:04:27+08:00,RPA-loki,1.64%,235.2MiB / 15.4GiB,1.49%,190MB / 107MB,165MB / 1.39GB,26
2026-06-19T22:04:27+08:00,rmqdashboard,0.06%,417.6MiB / 15.4GiB,2.65%,2.69MB / 1.18MB,583MB / 729MB,67
2026-06-19T22:04:27+08:00,RPA-prometheus,0.69%,274.7MiB / 15.4GiB,1.74%,377MB / 36.2MB,353MB / 193MB,26
