timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-19T22:03:19+08:00,RPA-app,35.76%,30.93MiB / 2GiB,1.51%,1.26GB / 1.52GB,2.44MB / 5.23MB,20
2026-06-19T22:03:19+08:00,RPA-alloy,10.73%,157.2MiB / 15.4GiB,1.00%,2.22MB / 181MB,314MB / 40.1MB,26
2026-06-19T22:03:19+08:00,RPA-grafana,0.13%,120.6MiB / 15.4GiB,0.77%,73.5MB / 276MB,101MB / 37.3MB,29
2026-06-19T22:03:19+08:00,rmqbroker,4.92%,1.097GiB / 15.4GiB,7.12%,2.37MB / 3.03MB,1.5GB / 1.8GB,327
2026-06-19T22:03:19+08:00,RPA-pgdb,9.64%,76.79MiB / 15.4GiB,0.49%,286MB / 1.25GB,65.7MB / 1.45GB,19
2026-06-19T22:03:19+08:00,RPA-loki,0.42%,231.6MiB / 15.4GiB,1.47%,188MB / 105MB,165MB / 1.37GB,26
2026-06-19T22:03:19+08:00,rmqdashboard,0.06%,417.6MiB / 15.4GiB,2.65%,2.68MB / 1.18MB,583MB / 729MB,67
2026-06-19T22:03:19+08:00,RPA-prometheus,0.00%,267.8MiB / 15.4GiB,1.70%,375MB / 36MB,352MB / 193MB,26
2026-06-19T22:03:19+08:00,RPA-redis,3.30%,7.027MiB / 15.4GiB,0.04%,22.2MB / 88.5MB,19.7MB / 5.46MB,7
2026-06-19T22:03:19+08:00,RPA-minio,0.04%,195.5MiB / 15.4GiB,1.24%,150MB / 33.3MB,198MB / 541MB,34
2026-06-19T22:03:19+08:00,rmqnamesrv,0.14%,168.5MiB / 15.4GiB,1.07%,3.56MB / 2.28MB,197MB / 407MB,81
2026-06-19T22:03:19+08:00,RPA-cadvisor,2.26%,289MiB / 15.4GiB,1.83%,5.55MB / 333MB,176MB / 23.4MB,29
2026-06-19T22:03:19+08:00,script-k6-run-a33db0573aea,30.17%,51.24MiB / 15.4GiB,0.32%,943kB / 287kB,0B / 0B,25
2026-06-19T22:03:22+08:00,script-k6-run-a33db0573aea,24.51%,58.57MiB / 15.4GiB,0.37%,2.88MB / 843kB,0B / 0B,25
2026-06-19T22:03:22+08:00,RPA-app,34.67%,31.4MiB / 2GiB,1.53%,1.27GB / 1.52GB,2.44MB / 5.23MB,20
2026-06-19T22:03:22+08:00,RPA-alloy,9.44%,157.2MiB / 15.4GiB,1.00%,2.22MB / 181MB,314MB / 40.1MB,26
2026-06-19T22:03:22+08:00,RPA-grafana,0.32%,120.7MiB / 15.4GiB,0.77%,73.5MB / 276MB,101MB / 37.3MB,29
2026-06-19T22:03:22+08:00,rmqbroker,4.89%,1.098GiB / 15.4GiB,7.13%,2.37MB / 3.03MB,1.5GB / 1.8GB,327
2026-06-19T22:03:22+08:00,RPA-pgdb,9.63%,75.61MiB / 15.4GiB,0.48%,287MB / 1.25GB,65.7MB / 1.45GB,19
2026-06-19T22:03:22+08:00,RPA-loki,1.53%,238.1MiB / 15.4GiB,1.51%,188MB / 105MB,165MB / 1.37GB,26
2026-06-19T22:03:22+08:00,rmqdashboard,0.07%,417.6MiB / 15.4GiB,2.65%,2.68MB / 1.18MB,583MB / 729MB,67
2026-06-19T22:03:22+08:00,RPA-prometheus,0.00%,267.8MiB / 15.4GiB,1.70%,375MB / 36MB,352MB / 193MB,26
