timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-19T22:58:50+08:00,RPA-app,175.32%,1.997GiB / 2GiB,99.85%,1.58GB / 1.74GB,16GB / 169MB,21
2026-06-19T22:58:50+08:00,RPA-alloy,1.62%,129.5MiB / 15.4GiB,0.82%,1.67MB / 40.8MB,79.4GB / 29.1MB,27
2026-06-19T22:58:50+08:00,RPA-grafana,0.24%,71.61MiB / 15.4GiB,0.45%,7.18MB / 15.9MB,86.7GB / 31.6MB,26
2026-06-19T22:58:50+08:00,rmqbroker,6.40%,1.064GiB / 15.4GiB,6.91%,3.38MB / 3.81MB,2.72GB / 2.36GB,327
2026-06-19T22:58:50+08:00,RPA-pgdb,2.41%,91.36MiB / 15.4GiB,0.58%,392MB / 2.89GB,454MB / 1.95GB,32
2026-06-19T22:58:50+08:00,RPA-loki,0.73%,219.7MiB / 15.4GiB,1.39%,237MB / 138MB,5.29GB / 1.72GB,26
2026-06-19T22:58:50+08:00,rmqdashboard,0.13%,368.2MiB / 15.4GiB,2.34%,3.78MB / 1.46MB,1.36GB / 849MB,68
2026-06-19T22:58:50+08:00,RPA-prometheus,0.00%,272.5MiB / 15.4GiB,1.73%,463MB / 40MB,3.3GB / 219MB,26
2026-06-19T22:58:50+08:00,RPA-redis,0.14%,5.344MiB / 15.4GiB,0.03%,41.4MB / 168MB,303MB / 6.98MB,7
2026-06-19T22:58:50+08:00,RPA-minio,19.97%,137.7MiB / 15.4GiB,0.87%,200MB / 52MB,3.6GB / 852MB,38
2026-06-19T22:58:50+08:00,rmqnamesrv,0.18%,134.2MiB / 15.4GiB,0.85%,4.88MB / 2.84MB,473MB / 510MB,81
2026-06-19T22:58:50+08:00,RPA-cadvisor,6.98%,193.1MiB / 15.4GiB,1.23%,7.3MB / 412MB,5.88GB / 26.6MB,50
2026-06-19T22:58:50+08:00,script-k6-run-f4004ca68d73,1.81%,48.57MiB / 15.4GiB,0.31%,77.7kB / 91kB,2.7MB / 0B,25
2026-06-19T22:58:54+08:00,script-k6-run-f4004ca68d73,1.70%,49.2MiB / 15.4GiB,0.31%,86.3kB / 92.4kB,2.7MB / 0B,25
2026-06-19T22:58:54+08:00,RPA-app,199.59%,1.995GiB / 2GiB,99.77%,1.58GB / 1.74GB,27.6GB / 174MB,21
2026-06-19T22:58:54+08:00,RPA-alloy,0.18%,167.4MiB / 15.4GiB,1.06%,1.67MB / 40.9MB,79.4GB / 29.2MB,27
2026-06-19T22:58:54+08:00,RPA-grafana,0.15%,71.75MiB / 15.4GiB,0.46%,7.18MB / 15.9MB,86.7GB / 31.6MB,26
2026-06-19T22:58:54+08:00,rmqbroker,4.89%,1.068GiB / 15.4GiB,6.94%,3.38MB / 3.81MB,2.72GB / 2.36GB,327
2026-06-19T22:58:54+08:00,RPA-pgdb,0.00%,93.29MiB / 15.4GiB,0.59%,392MB / 2.89GB,454MB / 1.95GB,32
2026-06-19T22:58:54+08:00,RPA-loki,0.37%,220.7MiB / 15.4GiB,1.40%,237MB / 138MB,5.29GB / 1.72GB,26
2026-06-19T22:58:54+08:00,rmqdashboard,0.09%,368.2MiB / 15.4GiB,2.34%,3.78MB / 1.46MB,1.36GB / 850MB,68
2026-06-19T22:58:54+08:00,RPA-prometheus,0.04%,269.1MiB / 15.4GiB,1.71%,463MB / 40MB,3.3GB / 219MB,26
2026-06-19T22:58:54+08:00,RPA-redis,0.20%,5.594MiB / 15.4GiB,0.04%,41.4MB / 168MB,303MB / 6.98MB,7
2026-06-19T22:58:54+08:00,RPA-minio,6.65%,141.6MiB / 15.4GiB,0.90%,200MB / 52MB,3.61GB / 862MB,38
2026-06-19T22:58:54+08:00,rmqnamesrv,0.18%,133MiB / 15.4GiB,0.84%,4.88MB / 2.84MB,473MB / 511MB,81
2026-06-19T22:58:54+08:00,RPA-cadvisor,4.09%,197.7MiB / 15.4GiB,1.25%,7.3MB / 412MB,5.88GB / 26.6MB,50
2026-06-19T22:58:57+08:00,script-k6-run-f4004ca68d73,1.69%,50.64MiB / 15.4GiB,0.32%,88.5kB / 94kB,3.78MB / 0B,25
2026-06-19T22:58:57+08:00,RPA-app,197.73%,1.999GiB / 2GiB,99.95%,1.58GB / 1.74GB,35.5GB / 176MB,21
2026-06-19T22:58:57+08:00,RPA-alloy,0.21%,167.4MiB / 15.4GiB,1.06%,1.67MB / 40.9MB,79.4GB / 29.2MB,27
