timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-19T23:01:43+08:00,RPA-app,15.87%,122.9MiB / 2GiB,6.00%,1.71GB / 1.77GB,298GB / 420MB,21
2026-06-19T23:01:43+08:00,RPA-alloy,6.09%,172.6MiB / 15.4GiB,1.09%,1.69MB / 42.1MB,79.6GB / 30.8MB,27
2026-06-19T23:01:43+08:00,RPA-grafana,0.20%,164.5MiB / 15.4GiB,1.04%,7.4MB / 16.3MB,87GB / 32.5MB,26
2026-06-19T23:01:43+08:00,rmqbroker,5.01%,1.09GiB / 15.4GiB,7.08%,3.4MB / 3.85MB,2.75GB / 2.39GB,327
2026-06-19T23:01:43+08:00,RPA-pgdb,10.39%,72.77MiB / 15.4GiB,0.46%,405MB / 3.02GB,457MB / 1.95GB,19
2026-06-19T23:01:43+08:00,RPA-loki,0.71%,195.1MiB / 15.4GiB,1.24%,238MB / 138MB,5.32GB / 1.73GB,26
2026-06-19T23:01:43+08:00,rmqdashboard,0.07%,379.4MiB / 15.4GiB,2.41%,3.8MB / 1.48MB,1.37GB / 867MB,68
2026-06-19T23:01:43+08:00,RPA-prometheus,0.63%,254.2MiB / 15.4GiB,1.61%,468MB / 40.1MB,3.35GB / 237MB,26
2026-06-19T23:01:43+08:00,RPA-redis,0.22%,5.992MiB / 15.4GiB,0.04%,41.4MB / 168MB,303MB / 6.98MB,7
2026-06-19T23:01:43+08:00,RPA-minio,0.00%,147.7MiB / 15.4GiB,0.94%,200MB / 52MB,3.67GB / 868MB,38
2026-06-19T23:01:43+08:00,rmqnamesrv,0.13%,138MiB / 15.4GiB,0.88%,4.92MB / 2.87MB,477MB / 528MB,81
2026-06-19T23:01:43+08:00,RPA-cadvisor,10.32%,304.6MiB / 15.4GiB,1.93%,7.37MB / 416MB,5.96GB / 26.6MB,50
2026-06-19T23:01:43+08:00,script-k6-run-c8506f4e8f18,21.55%,57.77MiB / 15.4GiB,0.37%,177kB / 251kB,5.32MB / 0B,25
2026-06-19T23:01:46+08:00,script-k6-run-c8506f4e8f18,13.52%,62.98MiB / 15.4GiB,0.40%,435kB / 633kB,5.32MB / 0B,25
2026-06-19T23:01:46+08:00,RPA-app,16.43%,120.8MiB / 2GiB,5.90%,1.71GB / 1.77GB,298GB / 420MB,21
2026-06-19T23:01:46+08:00,RPA-alloy,5.34%,173.4MiB / 15.4GiB,1.10%,1.7MB / 42.2MB,79.6GB / 30.8MB,27
2026-06-19T23:01:46+08:00,RPA-grafana,1.88%,166.2MiB / 15.4GiB,1.05%,7.4MB / 16.3MB,87GB / 32.5MB,26
2026-06-19T23:01:46+08:00,rmqbroker,4.76%,1.09GiB / 15.4GiB,7.08%,3.4MB / 3.85MB,2.75GB / 2.39GB,327
2026-06-19T23:01:46+08:00,RPA-pgdb,11.18%,71.77MiB / 15.4GiB,0.46%,405MB / 3.02GB,457MB / 1.97GB,19
2026-06-19T23:01:46+08:00,RPA-loki,0.81%,203.2MiB / 15.4GiB,1.29%,238MB / 138MB,5.32GB / 1.73GB,26
