timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-19T22:56:17+08:00,RPA-app,127.89%,184MiB / 2GiB,8.98%,147MB / 136MB,11.4MB / 6.59MB,21
2026-06-19T22:56:17+08:00,RPA-alloy,0.80%,142.6MiB / 15.4GiB,0.90%,1.57MB / 40.8MB,49.5MB / 21.3MB,25
2026-06-19T22:56:17+08:00,RPA-grafana,5.72%,84.59MiB / 15.4GiB,0.54%,7.07MB / 15.9MB,123MB / 16.1MB,26
2026-06-19T22:56:17+08:00,rmqbroker,5.93%,1.104GiB / 15.4GiB,7.17%,3.26MB / 3.77MB,1.94GB / 2.28GB,327
2026-06-19T22:56:17+08:00,RPA-pgdb,146.24%,289.2MiB / 15.4GiB,1.83%,381MB / 1.47GB,76.6MB / 1.94GB,107
2026-06-19T22:56:17+08:00,RPA-loki,0.61%,257.6MiB / 15.4GiB,1.63%,237MB / 138MB,237MB / 1.72GB,26
2026-06-19T22:56:17+08:00,rmqdashboard,0.08%,372.1MiB / 15.4GiB,2.36%,3.65MB / 1.45MB,607MB / 816MB,67
2026-06-19T22:56:17+08:00,RPA-prometheus,0.00%,294.8MiB / 15.4GiB,1.87%,462MB / 40MB,376MB / 214MB,26
2026-06-19T22:56:17+08:00,RPA-redis,0.16%,6.086MiB / 15.4GiB,0.04%,41.3MB / 168MB,19.7MB / 6.98MB,7
2026-06-19T22:56:17+08:00,RPA-minio,0.00%,322.8MiB / 15.4GiB,2.05%,200MB / 52MB,267MB / 818MB,38
2026-06-19T22:56:17+08:00,rmqnamesrv,0.12%,143.4MiB / 15.4GiB,0.91%,4.75MB / 2.81MB,208MB / 484MB,81
2026-06-19T22:56:17+08:00,RPA-cadvisor,5.39%,320.2MiB / 15.4GiB,2.03%,7.18MB / 410MB,204MB / 23.7MB,29
2026-06-19T22:56:17+08:00,script-k6-run-5dec07ad0c2d,16.54%,162MiB / 15.4GiB,1.03%,69.8MB / 446kB,389kB / 1.88MB,25
2026-06-19T22:56:20+08:00,script-k6-run-5dec07ad0c2d,15.46%,457MiB / 15.4GiB,2.90%,264MB / 1.48MB,1.06MB / 2.27MB,25
2026-06-19T22:56:20+08:00,RPA-app,193.64%,1.252GiB / 2GiB,62.60%,594MB / 359MB,11.4MB / 8.14MB,21
2026-06-19T22:56:20+08:00,RPA-alloy,1.43%,104.1MiB / 15.4GiB,0.66%,1.57MB / 40.8MB,49.6MB / 22.6MB,25
2026-06-19T22:56:20+08:00,RPA-grafana,0.17%,82.66MiB / 15.4GiB,0.52%,7.07MB / 15.9MB,124MB / 16.1MB,26
2026-06-19T22:56:20+08:00,rmqbroker,5.97%,1.06GiB / 15.4GiB,6.88%,3.26MB / 3.77MB,1.94GB / 2.33GB,327
2026-06-19T22:56:20+08:00,RPA-pgdb,96.66%,363.3MiB / 15.4GiB,2.30%,386MB / 1.91GB,76.7MB / 1.95GB,108
2026-06-19T22:56:20+08:00,RPA-loki,0.69%,228.9MiB / 15.4GiB,1.45%,237MB / 138MB,237MB / 1.72GB,26
2026-06-19T22:56:20+08:00,rmqdashboard,0.08%,361.1MiB / 15.4GiB,2.29%,3.65MB / 1.45MB,607MB / 822MB,67
2026-06-19T22:56:20+08:00,RPA-prometheus,0.00%,288.6MiB / 15.4GiB,1.83%,462MB / 40MB,376MB / 217MB,26
2026-06-19T22:56:20+08:00,RPA-redis,0.16%,6.176MiB / 15.4GiB,0.04%,41.3MB / 168MB,19.7MB / 6.98MB,7
