timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-19T22:55:14+08:00,RPA-app,36.28%,31.09MiB / 2GiB,1.52%,40.4MB / 42.6MB,11.2MB / 0B,8
2026-06-19T22:55:14+08:00,RPA-alloy,5.87%,143.5MiB / 15.4GiB,0.91%,1.55MB / 37.5MB,49.5MB / 15.3MB,25
2026-06-19T22:55:14+08:00,RPA-grafana,0.16%,114.5MiB / 15.4GiB,0.73%,7.07MB / 15.9MB,120MB / 16MB,26
2026-06-19T22:55:14+08:00,rmqbroker,6.00%,1.093GiB / 15.4GiB,7.10%,3.26MB / 3.76MB,1.92GB / 2.28GB,327
2026-06-19T22:55:14+08:00,RPA-pgdb,41.55%,134.9MiB / 15.4GiB,0.86%,368MB / 1.39GB,76.6MB / 1.82GB,46
2026-06-19T22:55:14+08:00,RPA-loki,0.85%,245.9MiB / 15.4GiB,1.56%,233MB / 135MB,237MB / 1.7GB,26
2026-06-19T22:55:14+08:00,rmqdashboard,0.07%,368.7MiB / 15.4GiB,2.34%,3.64MB / 1.44MB,602MB / 816MB,67
2026-06-19T22:55:14+08:00,RPA-prometheus,0.04%,274.4MiB / 15.4GiB,1.74%,460MB / 40MB,376MB / 214MB,26
2026-06-19T22:55:14+08:00,RPA-redis,0.22%,6.176MiB / 15.4GiB,0.04%,41.3MB / 168MB,19.7MB / 6.98MB,7
2026-06-19T22:55:14+08:00,RPA-minio,49.73%,138.3MiB / 15.4GiB,0.88%,174MB / 35.7MB,262MB / 713MB,34
2026-06-19T22:55:14+08:00,rmqnamesrv,0.13%,142.7MiB / 15.4GiB,0.91%,4.74MB / 2.8MB,208MB / 484MB,81
2026-06-19T22:55:14+08:00,RPA-cadvisor,7.33%,289.8MiB / 15.4GiB,1.84%,7.15MB / 409MB,204MB / 23.7MB,29
2026-06-19T22:55:14+08:00,script-k6-run-53f6db27dc54,18.85%,31.38MiB / 15.4GiB,0.20%,337kB / 355kB,8.19kB / 0B,25
2026-06-19T22:55:18+08:00,script-k6-run-53f6db27dc54,17.76%,47.1MiB / 15.4GiB,0.30%,968kB / 947kB,8.19kB / 0B,25
2026-06-19T22:55:18+08:00,RPA-app,47.60%,42.09MiB / 2GiB,2.06%,43.8MB / 46.3MB,11.2MB / 0B,9
