timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-19T23:03:48+08:00,RPA-app,17.98%,112.1MiB / 2GiB,5.48%,1.78GB / 1.88GB,298GB / 420MB,21
2026-06-19T23:03:48+08:00,RPA-alloy,6.26%,181.1MiB / 15.4GiB,1.15%,1.72MB / 44.4MB,79.6GB / 31.5MB,27
2026-06-19T23:03:48+08:00,RPA-grafana,0.36%,196.1MiB / 15.4GiB,1.24%,9.18MB / 21.5MB,87GB / 32.6MB,26
2026-06-19T23:03:48+08:00,rmqbroker,4.90%,1.097GiB / 15.4GiB,7.12%,3.42MB / 3.88MB,2.76GB / 2.39GB,327
2026-06-19T23:03:48+08:00,RPA-pgdb,7.63%,70.63MiB / 15.4GiB,0.45%,430MB / 3.07GB,457MB / 2.1GB,19
2026-06-19T23:03:48+08:00,RPA-loki,0.66%,229.9MiB / 15.4GiB,1.46%,241MB / 139MB,5.33GB / 1.75GB,26
2026-06-19T23:03:48+08:00,rmqdashboard,0.14%,379.9MiB / 15.4GiB,2.41%,3.82MB / 1.49MB,1.37GB / 868MB,68
2026-06-19T23:03:48+08:00,RPA-prometheus,0.01%,311.8MiB / 15.4GiB,1.98%,471MB / 41.7MB,3.35GB / 238MB,26
2026-06-19T23:03:48+08:00,RPA-redis,0.16%,5.742MiB / 15.4GiB,0.04%,41.4MB / 168MB,303MB / 6.98MB,7
2026-06-19T23:03:48+08:00,RPA-minio,0.63%,131.8MiB / 15.4GiB,0.84%,202MB / 52MB,3.68GB / 872MB,38
2026-06-19T23:03:48+08:00,rmqnamesrv,0.16%,145.5MiB / 15.4GiB,0.92%,4.95MB / 2.89MB,480MB / 528MB,81
2026-06-19T23:03:48+08:00,RPA-cadvisor,5.81%,312.5MiB / 15.4GiB,1.98%,7.42MB / 419MB,5.96GB / 26.6MB,50
2026-06-19T23:03:48+08:00,script-k6-run-5b50e2afeee1,22.87%,44.87MiB / 15.4GiB,0.28%,203kB / 104kB,4.1kB / 0B,25
2026-06-19T23:03:51+08:00,script-k6-run-5b50e2afeee1,13.97%,51.22MiB / 15.4GiB,0.32%,575kB / 272kB,4.1kB / 0B,25
2026-06-19T23:03:51+08:00,RPA-app,15.69%,112.5MiB / 2GiB,5.49%,1.78GB / 1.88GB,298GB / 420MB,21
2026-06-19T23:03:51+08:00,RPA-alloy,5.12%,179.8MiB / 15.4GiB,1.14%,1.73MB / 44.5MB,79.6GB / 31.5MB,27
2026-06-19T23:03:51+08:00,RPA-grafana,0.19%,196.1MiB / 15.4GiB,1.24%,9.18MB / 21.5MB,87GB / 32.6MB,26
2026-06-19T23:03:51+08:00,rmqbroker,4.99%,1.097GiB / 15.4GiB,7.12%,3.42MB / 3.88MB,2.76GB / 2.39GB,327
2026-06-19T23:03:51+08:00,RPA-pgdb,6.44%,71.99MiB / 15.4GiB,0.46%,430MB / 3.08GB,457MB / 2.1GB,19
2026-06-19T23:03:51+08:00,RPA-loki,1.16%,230.1MiB / 15.4GiB,1.46%,241MB / 139MB,5.33GB / 1.75GB,26
2026-06-19T23:03:51+08:00,rmqdashboard,0.07%,379.6MiB / 15.4GiB,2.41%,3.82MB / 1.49MB,1.37GB / 868MB,68
2026-06-19T23:03:51+08:00,RPA-prometheus,0.00%,311.8MiB / 15.4GiB,1.98%,471MB / 41.7MB,3.35GB / 238MB,26
2026-06-19T23:03:51+08:00,RPA-redis,0.15%,5.742MiB / 15.4GiB,0.04%,41.4MB / 168MB,303MB / 6.98MB,7
2026-06-19T23:03:51+08:00,RPA-minio,1.00%,131.9MiB / 15.4GiB,0.84%,202MB / 52MB,3.68GB / 872MB,38
2026-06-19T23:03:51+08:00,rmqnamesrv,0.10%,145MiB / 15.4GiB,0.92%,4.95MB / 2.89MB,480MB / 528MB,81
2026-06-19T23:03:51+08:00,RPA-cadvisor,3.20%,319MiB / 15.4GiB,2.02%,7.42MB / 419MB,5.96GB / 26.6MB,50
2026-06-19T23:03:54+08:00,script-k6-run-5b50e2afeee1,13.31%,58.84MiB / 15.4GiB,0.37%,1.3MB / 607kB,4.1kB / 0B,25
2026-06-19T23:03:54+08:00,RPA-app,14.64%,113.1MiB / 2GiB,5.52%,1.78GB / 1.88GB,298GB / 420MB,21
2026-06-19T23:03:54+08:00,RPA-alloy,5.03%,180.8MiB / 15.4GiB,1.15%,1.73MB / 44.5MB,79.6GB / 31.5MB,27
2026-06-19T23:03:54+08:00,RPA-grafana,0.16%,196.1MiB / 15.4GiB,1.24%,9.18MB / 21.5MB,87GB / 32.6MB,26
2026-06-19T23:03:54+08:00,rmqbroker,4.77%,1.097GiB / 15.4GiB,7.13%,3.42MB / 3.88MB,2.76GB / 2.39GB,327
2026-06-19T23:03:54+08:00,RPA-pgdb,6.19%,71.56MiB / 15.4GiB,0.45%,431MB / 3.08GB,457MB / 2.1GB,19
2026-06-19T23:03:54+08:00,RPA-loki,0.93%,230.4MiB / 15.4GiB,1.46%,241MB / 139MB,5.33GB / 1.75GB,26
2026-06-19T23:03:54+08:00,rmqdashboard,0.09%,379.6MiB / 15.4GiB,2.41%,3.82MB / 1.49MB,1.37GB / 868MB,68
2026-06-19T23:03:54+08:00,RPA-prometheus,0.00%,311.8MiB / 15.4GiB,1.98%,471MB / 41.7MB,3.35GB / 238MB,26
2026-06-19T23:03:54+08:00,RPA-redis,0.14%,5.992MiB / 15.4GiB,0.04%,41.4MB / 168MB,303MB / 6.98MB,7
2026-06-19T23:03:54+08:00,RPA-minio,0.04%,131.7MiB / 15.4GiB,0.84%,202MB / 52MB,3.68GB / 873MB,38
2026-06-19T23:03:54+08:00,rmqnamesrv,0.14%,145.3MiB / 15.4GiB,0.92%,4.95MB / 2.89MB,480MB / 528MB,81
2026-06-19T23:03:54+08:00,RPA-cadvisor,3.42%,319.8MiB / 15.4GiB,2.03%,7.42MB / 419MB,5.96GB / 26.6MB,50
2026-06-19T23:03:57+08:00,script-k6-run-5b50e2afeee1,12.86%,59.02MiB / 15.4GiB,0.37%,1.85MB / 859kB,4.1kB / 0B,25
2026-06-19T23:03:57+08:00,RPA-app,14.18%,112.1MiB / 2GiB,5.47%,1.78GB / 1.88GB,298GB / 420MB,21
2026-06-19T23:03:57+08:00,RPA-alloy,5.12%,180.1MiB / 15.4GiB,1.14%,1.73MB / 44.6MB,79.6GB / 31.5MB,27
2026-06-19T23:03:57+08:00,RPA-grafana,0.15%,197.6MiB / 15.4GiB,1.25%,9.39MB / 22.1MB,87GB / 32.6MB,26
2026-06-19T23:03:57+08:00,rmqbroker,4.69%,1.097GiB / 15.4GiB,7.13%,3.42MB / 3.88MB,2.76GB / 2.39GB,327
2026-06-19T23:03:57+08:00,RPA-pgdb,6.76%,71.91MiB / 15.4GiB,0.46%,431MB / 3.08GB,457MB / 2.1GB,19
2026-06-19T23:03:57+08:00,RPA-loki,1.59%,231.3MiB / 15.4GiB,1.47%,241MB / 139MB,5.33GB / 1.75GB,26
2026-06-19T23:03:57+08:00,rmqdashboard,0.07%,379.6MiB / 15.4GiB,2.41%,3.82MB / 1.49MB,1.37GB / 868MB,68
2026-06-19T23:03:57+08:00,RPA-prometheus,0.78%,313.1MiB / 15.4GiB,1.99%,472MB / 41.9MB,3.35GB / 238MB,26
