timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-19T23:02:45+08:00,RPA-app,16.15%,118.6MiB / 2GiB,5.79%,1.73GB / 1.79GB,298GB / 420MB,21
2026-06-19T23:02:45+08:00,RPA-alloy,3.57%,179.3MiB / 15.4GiB,1.14%,1.71MB / 43.3MB,79.6GB / 31.1MB,27
2026-06-19T23:02:45+08:00,RPA-grafana,0.14%,185.1MiB / 15.4GiB,1.17%,7.73MB / 17.2MB,87GB / 32.5MB,26
2026-06-19T23:02:45+08:00,rmqbroker,4.99%,1.095GiB / 15.4GiB,7.11%,3.41MB / 3.86MB,2.76GB / 2.39GB,327
2026-06-19T23:02:45+08:00,RPA-pgdb,7.32%,71.23MiB / 15.4GiB,0.45%,417MB / 3.03GB,457MB / 2.1GB,19
2026-06-19T23:02:45+08:00,RPA-loki,0.67%,241.1MiB / 15.4GiB,1.53%,239MB / 138MB,5.33GB / 1.74GB,26
2026-06-19T23:02:45+08:00,rmqdashboard,0.08%,379.5MiB / 15.4GiB,2.41%,3.81MB / 1.48MB,1.37GB / 867MB,68
2026-06-19T23:02:45+08:00,RPA-prometheus,0.00%,284.3MiB / 15.4GiB,1.80%,470MB / 40.4MB,3.35GB / 238MB,26
2026-06-19T23:02:45+08:00,RPA-redis,0.18%,5.742MiB / 15.4GiB,0.04%,41.4MB / 168MB,303MB / 6.98MB,7
2026-06-19T23:02:45+08:00,RPA-minio,0.02%,129.2MiB / 15.4GiB,0.82%,200MB / 52MB,3.68GB / 868MB,38
2026-06-19T23:02:45+08:00,rmqnamesrv,0.13%,139.1MiB / 15.4GiB,0.88%,4.93MB / 2.88MB,477MB / 528MB,81
2026-06-19T23:02:45+08:00,RPA-cadvisor,4.15%,318.6MiB / 15.4GiB,2.02%,7.4MB / 418MB,5.96GB / 26.6MB,50
2026-06-19T23:02:45+08:00,script-k6-run-d377761a4197,20.31%,51.84MiB / 15.4GiB,0.33%,2.22MB / 185kB,49.2kB / 0B,25
2026-06-19T23:02:48+08:00,script-k6-run-d377761a4197,14.71%,58.42MiB / 15.4GiB,0.37%,6.4MB / 496kB,49.2kB / 0B,25
2026-06-19T23:02:48+08:00,RPA-app,20.45%,120MiB / 2GiB,5.86%,1.73GB / 1.8GB,298GB / 420MB,21
2026-06-19T23:02:48+08:00,RPA-alloy,6.32%,179.8MiB / 15.4GiB,1.14%,1.71MB / 43.3MB,79.6GB / 31.1MB,27
2026-06-19T23:02:48+08:00,RPA-grafana,0.21%,186.4MiB / 15.4GiB,1.18%,7.94MB / 17.8MB,87GB / 32.5MB,26
2026-06-19T23:02:48+08:00,rmqbroker,5.15%,1.095GiB / 15.4GiB,7.11%,3.41MB / 3.86MB,2.76GB / 2.39GB,327
2026-06-19T23:02:48+08:00,RPA-pgdb,6.94%,70.38MiB / 15.4GiB,0.45%,418MB / 3.03GB,457MB / 2.1GB,19
2026-06-19T23:02:48+08:00,RPA-loki,2.43%,229.3MiB / 15.4GiB,1.45%,239MB / 139MB,5.33GB / 1.74GB,26
2026-06-19T23:02:48+08:00,rmqdashboard,0.16%,379.5MiB / 15.4GiB,2.41%,3.81MB / 1.48MB,1.37GB / 867MB,68
2026-06-19T23:02:48+08:00,RPA-prometheus,0.02%,286.4MiB / 15.4GiB,1.82%,470MB / 40.5MB,3.35GB / 238MB,26
2026-06-19T23:02:48+08:00,RPA-redis,0.21%,5.742MiB / 15.4GiB,0.04%,41.4MB / 168MB,303MB / 6.98MB,7
2026-06-19T23:02:48+08:00,RPA-minio,0.81%,130.9MiB / 15.4GiB,0.83%,202MB / 52MB,3.68GB / 870MB,38
2026-06-19T23:02:48+08:00,rmqnamesrv,0.21%,139.1MiB / 15.4GiB,0.88%,4.93MB / 2.88MB,477MB / 528MB,81
2026-06-19T23:02:48+08:00,RPA-cadvisor,12.13%,318.9MiB / 15.4GiB,2.02%,7.4MB / 418MB,5.96GB / 26.6MB,50
2026-06-19T23:02:51+08:00,script-k6-run-d377761a4197,18.70%,60.21MiB / 15.4GiB,0.38%,10.5MB / 808kB,49.2kB / 0B,25
2026-06-19T23:02:51+08:00,RPA-app,18.84%,120.2MiB / 2GiB,5.87%,1.73GB / 1.8GB,298GB / 420MB,21
2026-06-19T23:02:51+08:00,RPA-alloy,4.92%,179.3MiB / 15.4GiB,1.14%,1.71MB / 43.4MB,79.6GB / 31.1MB,27
2026-06-19T23:02:51+08:00,RPA-grafana,0.15%,186.4MiB / 15.4GiB,1.18%,7.94MB / 17.8MB,87GB / 32.5MB,26
2026-06-19T23:02:51+08:00,rmqbroker,5.16%,1.095GiB / 15.4GiB,7.12%,3.41MB / 3.86MB,2.76GB / 2.39GB,327
2026-06-19T23:02:51+08:00,RPA-pgdb,5.73%,70.85MiB / 15.4GiB,0.45%,419MB / 3.03GB,457MB / 2.1GB,19
2026-06-19T23:02:51+08:00,RPA-loki,0.77%,229.1MiB / 15.4GiB,1.45%,240MB / 139MB,5.33GB / 1.74GB,26
2026-06-19T23:02:51+08:00,rmqdashboard,0.07%,379.5MiB / 15.4GiB,2.41%,3.81MB / 1.48MB,1.37GB / 867MB,68
2026-06-19T23:02:51+08:00,RPA-prometheus,0.00%,286.4MiB / 15.4GiB,1.82%,470MB / 40.5MB,3.35GB / 238MB,26
2026-06-19T23:02:51+08:00,RPA-redis,0.15%,5.492MiB / 15.4GiB,0.03%,41.4MB / 168MB,303MB / 6.98MB,7
2026-06-19T23:02:51+08:00,RPA-minio,0.03%,130.9MiB / 15.4GiB,0.83%,202MB / 52MB,3.68GB / 870MB,38
2026-06-19T23:02:51+08:00,rmqnamesrv,0.12%,138.9MiB / 15.4GiB,0.88%,4.93MB / 2.88MB,477MB / 528MB,81
