timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-19T23:12:07+08:00,RPA-app,10.71%,114.6MiB / 2GiB,5.60%,2.92GB / 3.13GB,298GB / 420MB,21
2026-06-19T23:12:07+08:00,RPA-alloy,3.77%,191MiB / 15.4GiB,1.21%,1.86MB / 57.9MB,79.6GB / 34.5MB,27
2026-06-19T23:12:07+08:00,RPA-grafana,0.15%,168.8MiB / 15.4GiB,1.07%,10.3MB / 24.5MB,87GB / 32.9MB,26
2026-06-19T23:12:07+08:00,rmqbroker,4.82%,1.121GiB / 15.4GiB,7.28%,3.49MB / 4MB,2.79GB / 2.4GB,327
2026-06-19T23:12:07+08:00,RPA-pgdb,3.57%,88.35MiB / 15.4GiB,0.56%,552MB / 4.01GB,463MB / 2.14GB,19
2026-06-19T23:12:07+08:00,RPA-loki,0.89%,245.9MiB / 15.4GiB,1.56%,254MB / 147MB,5.33GB / 1.85GB,26
2026-06-19T23:12:07+08:00,rmqdashboard,0.07%,386.9MiB / 15.4GiB,2.45%,3.9MB / 1.53MB,1.37GB / 871MB,68
2026-06-19T23:12:07+08:00,RPA-prometheus,0.00%,328.3MiB / 15.4GiB,2.08%,484MB / 42.7MB,3.35GB / 241MB,26
2026-06-19T23:12:07+08:00,RPA-redis,0.23%,9.199MiB / 15.4GiB,0.06%,59.4MB / 287MB,307MB / 7.32MB,7
2026-06-19T23:12:07+08:00,RPA-minio,0.22%,341.2MiB / 15.4GiB,2.16%,212MB / 53.9MB,3.81GB / 943MB,38
2026-06-19T23:12:07+08:00,rmqnamesrv,0.11%,150.8MiB / 15.4GiB,0.96%,5.06MB / 2.97MB,481MB / 529MB,81
2026-06-19T23:12:07+08:00,RPA-cadvisor,13.95%,302.6MiB / 15.4GiB,1.92%,7.61MB / 431MB,5.96GB / 26.6MB,50
2026-06-19T23:12:07+08:00,script-k6-run-335dab53f581,20.01%,53.59MiB / 15.4GiB,0.34%,538kB / 185kB,4.1kB / 0B,26
2026-06-19T23:12:10+08:00,script-k6-run-335dab53f581,13.67%,60.09MiB / 15.4GiB,0.38%,1.45MB / 472kB,4.1kB / 0B,26
2026-06-19T23:12:10+08:00,RPA-app,13.34%,116.6MiB / 2GiB,5.69%,2.92GB / 3.13GB,298GB / 420MB,21
2026-06-19T23:12:10+08:00,RPA-alloy,5.33%,191MiB / 15.4GiB,1.21%,1.86MB / 58MB,79.6GB / 34.5MB,27
2026-06-19T23:12:10+08:00,RPA-grafana,0.19%,168.8MiB / 15.4GiB,1.07%,10.3MB / 24.5MB,87GB / 32.9MB,26
2026-06-19T23:12:10+08:00,rmqbroker,4.25%,1.121GiB / 15.4GiB,7.28%,3.49MB / 4MB,2.79GB / 2.4GB,327
2026-06-19T23:12:10+08:00,RPA-pgdb,4.04%,87.96MiB / 15.4GiB,0.56%,552MB / 4.02GB,463MB / 2.14GB,19
2026-06-19T23:12:10+08:00,RPA-loki,1.16%,246.7MiB / 15.4GiB,1.56%,254MB / 147MB,5.33GB / 1.85GB,26
2026-06-19T23:12:10+08:00,rmqdashboard,0.06%,386.9MiB / 15.4GiB,2.45%,3.9MB / 1.53MB,1.37GB / 871MB,68
2026-06-19T23:12:10+08:00,RPA-prometheus,7.33%,328.8MiB / 15.4GiB,2.09%,484MB / 42.7MB,3.35GB / 241MB,26
2026-06-19T23:12:10+08:00,RPA-redis,0.20%,9.203MiB / 15.4GiB,0.06%,59.4MB / 287MB,307MB / 7.32MB,7
2026-06-19T23:12:10+08:00,RPA-minio,0.00%,340.9MiB / 15.4GiB,2.16%,212MB / 53.9MB,3.81GB / 943MB,38
2026-06-19T23:12:10+08:00,rmqnamesrv,0.11%,151.3MiB / 15.4GiB,0.96%,5.06MB / 2.97MB,481MB / 529MB,81
2026-06-19T23:12:10+08:00,RPA-cadvisor,3.92%,249.1MiB / 15.4GiB,1.58%,7.61MB / 431MB,5.96GB / 26.6MB,50
2026-06-19T23:12:13+08:00,script-k6-run-335dab53f581,12.26%,60.58MiB / 15.4GiB,0.38%,2.36MB / 765kB,4.1kB / 0B,26
2026-06-19T23:12:13+08:00,RPA-app,12.31%,116.5MiB / 2GiB,5.69%,2.92GB / 3.13GB,298GB / 420MB,21
2026-06-19T23:12:13+08:00,RPA-alloy,4.71%,191.5MiB / 15.4GiB,1.21%,1.86MB / 58MB,79.6GB / 34.5MB,27
2026-06-19T23:12:13+08:00,RPA-grafana,0.12%,168.8MiB / 15.4GiB,1.07%,10.3MB / 24.5MB,87GB / 32.9MB,26
2026-06-19T23:12:13+08:00,rmqbroker,4.68%,1.122GiB / 15.4GiB,7.29%,3.49MB / 4MB,2.79GB / 2.4GB,327
2026-06-19T23:12:13+08:00,RPA-pgdb,3.80%,87.75MiB / 15.4GiB,0.56%,552MB / 4.02GB,463MB / 2.14GB,19
2026-06-19T23:12:13+08:00,RPA-loki,0.36%,246.5MiB / 15.4GiB,1.56%,254MB / 147MB,5.33GB / 1.85GB,26
