timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-19T23:05:54+08:00,RPA-app,53.49%,113.5MiB / 2GiB,5.54%,1.83GB / 1.95GB,298GB / 420MB,21
2026-06-19T23:05:54+08:00,RPA-alloy,9.80%,189.5MiB / 15.4GiB,1.20%,1.75MB / 46.7MB,79.6GB / 32.3MB,27
2026-06-19T23:05:54+08:00,RPA-grafana,0.12%,197.4MiB / 15.4GiB,1.25%,10.3MB / 24.5MB,87GB / 32.6MB,26
2026-06-19T23:05:54+08:00,rmqbroker,5.00%,1.1GiB / 15.4GiB,7.15%,3.44MB / 3.91MB,2.76GB / 2.4GB,327
2026-06-19T23:05:54+08:00,RPA-pgdb,48.91%,74.14MiB / 15.4GiB,0.47%,443MB / 3.12GB,458MB / 2.1GB,19
2026-06-19T23:05:54+08:00,RPA-loki,0.81%,237.4MiB / 15.4GiB,1.51%,243MB / 141MB,5.33GB / 1.76GB,26
2026-06-19T23:05:54+08:00,rmqdashboard,0.16%,379.9MiB / 15.4GiB,2.41%,3.84MB / 1.5MB,1.37GB / 868MB,68
2026-06-19T23:05:54+08:00,RPA-prometheus,0.04%,298.4MiB / 15.4GiB,1.89%,474MB / 42.5MB,3.35GB / 239MB,26
2026-06-19T23:05:54+08:00,RPA-redis,0.14%,5.742MiB / 15.4GiB,0.04%,41.4MB / 168MB,303MB / 6.98MB,7
2026-06-19T23:05:54+08:00,RPA-minio,0.07%,127.3MiB / 15.4GiB,0.81%,203MB / 52MB,3.68GB / 879MB,38
2026-06-19T23:05:54+08:00,rmqnamesrv,0.18%,147.3MiB / 15.4GiB,0.93%,4.97MB / 2.91MB,480MB / 528MB,81
2026-06-19T23:05:54+08:00,RPA-cadvisor,4.73%,259.9MiB / 15.4GiB,1.65%,7.47MB / 422MB,5.96GB / 26.6MB,50
2026-06-19T23:05:54+08:00,script-k6-run-ebcfa60de5f1,35.49%,62.7MiB / 15.4GiB,0.40%,16.8MB / 591kB,4.1kB / 0B,25
2026-06-19T23:05:57+08:00,script-k6-run-ebcfa60de5f1,30.98%,70.64MiB / 15.4GiB,0.45%,43.4MB / 1.5MB,4.1kB / 0B,25
2026-06-19T23:05:57+08:00,RPA-app,57.66%,113.1MiB / 2GiB,5.52%,1.87GB / 1.98GB,298GB / 420MB,21
2026-06-19T23:05:57+08:00,RPA-alloy,10.31%,191.2MiB / 15.4GiB,1.21%,1.76MB / 46.8MB,79.6GB / 32.3MB,27
2026-06-19T23:05:57+08:00,RPA-grafana,0.18%,197.4MiB / 15.4GiB,1.25%,10.3MB / 24.5MB,87GB / 32.6MB,26
2026-06-19T23:05:57+08:00,rmqbroker,4.68%,1.101GiB / 15.4GiB,7.15%,3.44MB / 3.91MB,2.77GB / 2.4GB,327
2026-06-19T23:05:57+08:00,RPA-pgdb,45.32%,74.62MiB / 15.4GiB,0.47%,444MB / 3.15GB,458MB / 2.1GB,19
2026-06-19T23:05:57+08:00,RPA-loki,1.51%,237.8MiB / 15.4GiB,1.51%,243MB / 141MB,5.33GB / 1.76GB,26
2026-06-19T23:05:57+08:00,rmqdashboard,0.07%,379.9MiB / 15.4GiB,2.41%,3.84MB / 1.5MB,1.37GB / 868MB,68
