timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-19T23:07:57+08:00,RPA-app,28.38%,115.1MiB / 2GiB,5.62%,2.59GB / 2.83GB,298GB / 420MB,21
2026-06-19T23:07:57+08:00,RPA-alloy,10.39%,189.7MiB / 15.4GiB,1.20%,1.79MB / 50.4MB,79.6GB / 33MB,27
2026-06-19T23:07:57+08:00,RPA-grafana,0.14%,192.8MiB / 15.4GiB,1.22%,10.3MB / 24.5MB,87GB / 32.7MB,26
2026-06-19T23:07:57+08:00,rmqbroker,5.10%,1.109GiB / 15.4GiB,7.20%,3.45MB / 3.93MB,2.77GB / 2.4GB,327
2026-06-19T23:07:57+08:00,RPA-pgdb,8.11%,78.67MiB / 15.4GiB,0.50%,474MB / 3.84GB,460MB / 2.1GB,19
2026-06-19T23:07:57+08:00,RPA-loki,1.53%,242MiB / 15.4GiB,1.54%,247MB / 143MB,5.33GB / 1.79GB,26
2026-06-19T23:07:57+08:00,rmqdashboard,0.08%,381.3MiB / 15.4GiB,2.42%,3.86MB / 1.51MB,1.37GB / 869MB,68
2026-06-19T23:07:57+08:00,RPA-prometheus,0.01%,327.6MiB / 15.4GiB,2.08%,478MB / 42.6MB,3.35GB / 239MB,26
2026-06-19T23:07:57+08:00,RPA-redis,2.50%,7.395MiB / 15.4GiB,0.05%,41.5MB / 168MB,305MB / 6.98MB,7
2026-06-19T23:07:57+08:00,RPA-minio,10.76%,143.8MiB / 15.4GiB,0.91%,206MB / 52MB,3.71GB / 886MB,38
2026-06-19T23:07:57+08:00,rmqnamesrv,0.12%,147.9MiB / 15.4GiB,0.94%,5MB / 2.93MB,480MB / 529MB,81
2026-06-19T23:07:57+08:00,RPA-cadvisor,4.55%,286.5MiB / 15.4GiB,1.82%,7.52MB / 426MB,5.96GB / 26.6MB,50
2026-06-19T23:07:57+08:00,script-k6-run-6db15dd76f16,30.71%,57.03MiB / 15.4GiB,0.36%,1.92MB / 335kB,4.1kB / 0B,25
2026-06-19T23:08:01+08:00,script-k6-run-6db15dd76f16,28.62%,60.77MiB / 15.4GiB,0.39%,5.24MB / 887kB,4.1kB / 0B,25
2026-06-19T23:08:01+08:00,RPA-app,36.11%,114.8MiB / 2GiB,5.60%,2.6GB / 2.84GB,298GB / 420MB,21
2026-06-19T23:08:01+08:00,RPA-alloy,9.83%,189.7MiB / 15.4GiB,1.20%,1.79MB / 50.6MB,79.6GB / 33MB,27
2026-06-19T23:08:01+08:00,RPA-grafana,0.11%,192.8MiB / 15.4GiB,1.22%,10.3MB / 24.5MB,87GB / 32.7MB,26
2026-06-19T23:08:01+08:00,rmqbroker,4.59%,1.109GiB / 15.4GiB,7.20%,3.45MB / 3.94MB,2.77GB / 2.4GB,327
2026-06-19T23:08:01+08:00,RPA-pgdb,10.10%,79.64MiB / 15.4GiB,0.51%,476MB / 3.85GB,460MB / 2.1GB,19
2026-06-19T23:08:01+08:00,RPA-loki,1.40%,243MiB / 15.4GiB,1.54%,247MB / 143MB,5.33GB / 1.79GB,26
2026-06-19T23:08:01+08:00,rmqdashboard,0.07%,381.3MiB / 15.4GiB,2.42%,3.86MB / 1.51MB,1.37GB / 869MB,68
2026-06-19T23:08:01+08:00,RPA-prometheus,0.00%,327.6MiB / 15.4GiB,2.08%,478MB / 42.6MB,3.35GB / 239MB,26
2026-06-19T23:08:01+08:00,RPA-redis,3.13%,7.887MiB / 15.4GiB,0.05%,41.9MB / 171MB,305MB / 6.98MB,7
2026-06-19T23:08:01+08:00,RPA-minio,9.04%,157.4MiB / 15.4GiB,1.00%,206MB / 52MB,3.72GB / 886MB,38
2026-06-19T23:08:01+08:00,rmqnamesrv,0.11%,148MiB / 15.4GiB,0.94%,5MB / 2.93MB,480MB / 529MB,81
2026-06-19T23:08:01+08:00,RPA-cadvisor,3.78%,286.8MiB / 15.4GiB,1.82%,7.52MB / 426MB,5.96GB / 26.6MB,50
2026-06-19T23:08:04+08:00,script-k6-run-6db15dd76f16,23.87%,63.08MiB / 15.4GiB,0.40%,8.6MB / 1.45MB,4.1kB / 0B,25
2026-06-19T23:08:04+08:00,RPA-app,33.56%,114.2MiB / 2GiB,5.58%,2.6GB / 2.84GB,298GB / 420MB,21
2026-06-19T23:08:04+08:00,RPA-alloy,9.85%,189.4MiB / 15.4GiB,1.20%,1.79MB / 50.6MB,79.6GB / 33MB,27
2026-06-19T23:08:04+08:00,RPA-grafana,0.11%,192.8MiB / 15.4GiB,1.22%,10.3MB / 24.5MB,87GB / 32.7MB,26
2026-06-19T23:08:04+08:00,rmqbroker,5.88%,1.109GiB / 15.4GiB,7.20%,3.45MB / 3.94MB,2.77GB / 2.4GB,327
2026-06-19T23:08:04+08:00,RPA-pgdb,10.00%,78.12MiB / 15.4GiB,0.50%,477MB / 3.85GB,460MB / 2.1GB,19
2026-06-19T23:08:04+08:00,RPA-loki,1.54%,242.8MiB / 15.4GiB,1.54%,247MB / 143MB,5.33GB / 1.79GB,26
2026-06-19T23:08:04+08:00,rmqdashboard,0.07%,381.3MiB / 15.4GiB,2.42%,3.86MB / 1.51MB,1.37GB / 869MB,68
2026-06-19T23:08:04+08:00,RPA-prometheus,0.03%,327.6MiB / 15.4GiB,2.08%,478MB / 42.6MB,3.35GB / 239MB,26
2026-06-19T23:08:04+08:00,RPA-redis,3.12%,7.895MiB / 15.4GiB,0.05%,42.2MB / 173MB,305MB / 6.98MB,7
2026-06-19T23:08:04+08:00,RPA-minio,9.45%,168.3MiB / 15.4GiB,1.07%,206MB / 52MB,3.73GB / 886MB,38
2026-06-19T23:08:04+08:00,rmqnamesrv,0.14%,148.1MiB / 15.4GiB,0.94%,5.01MB / 2.93MB,480MB / 529MB,81
2026-06-19T23:08:04+08:00,RPA-cadvisor,2.69%,296.5MiB / 15.4GiB,1.88%,7.52MB / 426MB,5.96GB / 26.6MB,50
2026-06-19T23:08:07+08:00,script-k6-run-6db15dd76f16,24.31%,66.55MiB / 15.4GiB,0.42%,10.8MB / 1.82MB,4.1kB / 0B,25
2026-06-19T23:08:07+08:00,RPA-app,33.53%,115.8MiB / 2GiB,5.65%,2.61GB / 2.85GB,298GB / 420MB,21
2026-06-19T23:08:07+08:00,RPA-alloy,9.26%,189.4MiB / 15.4GiB,1.20%,1.79MB / 50.8MB,79.6GB / 33MB,27
2026-06-19T23:08:07+08:00,RPA-grafana,0.15%,192.8MiB / 15.4GiB,1.22%,10.3MB / 24.5MB,87GB / 32.7MB,26
2026-06-19T23:08:07+08:00,rmqbroker,3.64%,1.109GiB / 15.4GiB,7.20%,3.45MB / 3.94MB,2.77GB / 2.4GB,327
2026-06-19T23:08:07+08:00,RPA-pgdb,9.41%,78.48MiB / 15.4GiB,0.50%,478MB / 3.85GB,460MB / 2.1GB,19
2026-06-19T23:08:07+08:00,RPA-loki,1.74%,242.4MiB / 15.4GiB,1.54%,247MB / 143MB,5.33GB / 1.79GB,26
2026-06-19T23:08:07+08:00,rmqdashboard,0.07%,381.3MiB / 15.4GiB,2.42%,3.86MB / 1.51MB,1.37GB / 869MB,68
2026-06-19T23:08:07+08:00,RPA-prometheus,0.00%,327.6MiB / 15.4GiB,2.08%,478MB / 42.6MB,3.35GB / 239MB,26
2026-06-19T23:08:07+08:00,RPA-redis,2.90%,8.383MiB / 15.4GiB,0.05%,42.5MB / 175MB,305MB / 6.98MB,7
2026-06-19T23:08:07+08:00,RPA-minio,8.37%,177.5MiB / 15.4GiB,1.13%,206MB / 52MB,3.73GB / 886MB,38
2026-06-19T23:08:07+08:00,rmqnamesrv,0.12%,148.4MiB / 15.4GiB,0.94%,5.01MB / 2.93MB,480MB / 529MB,81
2026-06-19T23:08:07+08:00,RPA-cadvisor,2.36%,312.6MiB / 15.4GiB,1.98%,7.52MB / 426MB,5.96GB / 26.6MB,50
2026-06-19T23:08:10+08:00,script-k6-run-6db15dd76f16,29.78%,68.75MiB / 15.4GiB,0.44%,15.3MB / 2.56MB,4.1kB / 0B,26
2026-06-19T23:08:10+08:00,RPA-app,37.16%,115.5MiB / 2GiB,5.64%,2.61GB / 2.85GB,298GB / 420MB,21
2026-06-19T23:08:10+08:00,RPA-alloy,10.04%,189.4MiB / 15.4GiB,1.20%,1.79MB / 50.9MB,79.6GB / 33MB,27
2026-06-19T23:08:10+08:00,RPA-grafana,0.13%,192.8MiB / 15.4GiB,1.22%,10.3MB / 24.5MB,87GB / 32.7MB,26
2026-06-19T23:08:10+08:00,rmqbroker,4.58%,1.109GiB / 15.4GiB,7.21%,3.45MB / 3.94MB,2.77GB / 2.4GB,327
2026-06-19T23:08:10+08:00,RPA-pgdb,10.17%,78.56MiB / 15.4GiB,0.50%,480MB / 3.85GB,460MB / 2.1GB,19
2026-06-19T23:08:10+08:00,RPA-loki,1.24%,242.4MiB / 15.4GiB,1.54%,247MB / 143MB,5.33GB / 1.79GB,26
2026-06-19T23:08:10+08:00,rmqdashboard,0.07%,381.3MiB / 15.4GiB,2.42%,3.86MB / 1.51MB,1.37GB / 869MB,68
2026-06-19T23:08:10+08:00,RPA-prometheus,0.51%,327.8MiB / 15.4GiB,2.08%,478MB / 42.6MB,3.35GB / 239MB,26
2026-06-19T23:08:10+08:00,RPA-redis,3.20%,7.898MiB / 15.4GiB,0.05%,42.8MB / 177MB,305MB / 6.98MB,7
2026-06-19T23:08:10+08:00,RPA-minio,8.34%,190.4MiB / 15.4GiB,1.21%,206MB / 52MB,3.74GB / 886MB,38
2026-06-19T23:08:10+08:00,rmqnamesrv,0.21%,148.7MiB / 15.4GiB,0.94%,5.01MB / 2.93MB,480MB / 529MB,81
2026-06-19T23:08:10+08:00,RPA-cadvisor,2.92%,310.2MiB / 15.4GiB,1.97%,7.52MB / 426MB,5.96GB / 26.6MB,50
2026-06-19T23:08:13+08:00,script-k6-run-6db15dd76f16,24.28%,70.13MiB / 15.4GiB,0.44%,17.5MB / 2.93MB,4.1kB / 0B,26
2026-06-19T23:08:13+08:00,RPA-app,34.60%,114MiB / 2GiB,5.57%,2.62GB / 2.86GB,298GB / 420MB,21
2026-06-19T23:08:13+08:00,RPA-alloy,10.44%,189.4MiB / 15.4GiB,1.20%,1.79MB / 51MB,79.6GB / 33.1MB,27
2026-06-19T23:08:13+08:00,RPA-grafana,0.14%,192.8MiB / 15.4GiB,1.22%,10.3MB / 24.5MB,87GB / 32.7MB,26
2026-06-19T23:08:13+08:00,rmqbroker,4.77%,1.11GiB / 15.4GiB,7.21%,3.45MB / 3.94MB,2.77GB / 2.4GB,327
2026-06-19T23:08:13+08:00,RPA-pgdb,9.79%,79.03MiB / 15.4GiB,0.50%,481MB / 3.86GB,460MB / 2.1GB,19
2026-06-19T23:08:13+08:00,RPA-loki,1.68%,242.2MiB / 15.4GiB,1.54%,247MB / 143MB,5.33GB / 1.79GB,26
