timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-19T22:50:55+08:00,RPA-alloy,0.21%,96.3MiB / 15.4GiB,0.61%,1.02MB / 35.1MB,10.6MB / 10.6MB,25
2026-06-19T22:50:55+08:00,RPA-grafana,0.19%,84.95MiB / 15.4GiB,0.54%,2.34MB / 8.39MB,111MB / 1.3MB,26
2026-06-19T22:50:55+08:00,rmqbroker,4.73%,1.192GiB / 15.4GiB,7.74%,2.73MB / 3.69MB,1.9GB / 2.14GB,327
2026-06-19T22:50:55+08:00,RPA-pgdb,0.69%,54.09MiB / 15.4GiB,0.34%,347MB / 1.36GB,73MB / 1.66GB,10
2026-06-19T22:50:55+08:00,RPA-loki,0.45%,139.9MiB / 15.4GiB,0.89%,231MB / 128MB,204MB / 1.68GB,26
2026-06-19T22:50:55+08:00,rmqdashboard,0.07%,389.3MiB / 15.4GiB,2.47%,3.11MB / 1.42MB,601MB / 793MB,67
2026-06-19T22:50:55+08:00,RPA-prometheus,0.16%,343.5MiB / 15.4GiB,2.18%,452MB / 39.7MB,374MB / 210MB,26
2026-06-19T22:50:55+08:00,RPA-redis,0.21%,6.535MiB / 15.4GiB,0.04%,40.7MB / 168MB,19.7MB / 6.64MB,7
2026-06-19T22:50:55+08:00,RPA-minio,6.35%,149.7MiB / 15.4GiB,0.95%,169MB / 35.4MB,232MB / 694MB,34
2026-06-19T22:50:55+08:00,rmqnamesrv,0.17%,154.2MiB / 15.4GiB,0.98%,4.19MB / 2.76MB,208MB / 468MB,81
2026-06-19T22:50:55+08:00,RPA-cadvisor,38.84%,258.2MiB / 15.4GiB,1.64%,6.56MB / 402MB,178MB / 23.6MB,29
2026-06-19T22:50:55+08:00,RPA-app,12.47%,71.43MiB / 2GiB,3.49%,14.4kB / 12.7kB,0B / 0B,7
2026-06-19T22:50:55+08:00,script-k6-run-fcdfcb6d199e,0.08%,13.27MiB / 15.4GiB,0.08%,8.35kB / 9.8kB,20.5kB / 0B,18
