timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:45:50+08:00,RPA-app,139.17%,18.16MiB / 2GiB,0.89%,484MB / 320MB,0B / 24.6kB,9
2026-06-21T16:45:50+08:00,RPA-pgdb,0.02%,118.7MiB / 15.4GiB,0.75%,1.1GB / 8.39GB,57.3MB / 1.05GB,14
2026-06-21T16:45:50+08:00,RPA-redis,21.75%,9.609MiB / 15.4GiB,0.06%,246MB / 295MB,32.1MB / 12.3MB,7
2026-06-21T16:45:50+08:00,RPA-grafana,0.09%,91.16MiB / 15.4GiB,0.58%,23.6MB / 286kB,644MB / 142MB,25
2026-06-21T16:45:50+08:00,RPA-alloy,56.82%,189.3MiB / 15.4GiB,1.20%,4.93MB / 1.82GB,894MB / 71.9MB,27
2026-06-21T16:45:50+08:00,RPA-loki,7.46%,509.6MiB / 15.4GiB,3.23%,1.82GB / 750MB,671MB / 11.9GB,26
2026-06-21T16:45:50+08:00,rmqbroker,4.49%,1.099GiB / 15.4GiB,7.14%,2.32MB / 3.75MB,659MB / 990MB,324
2026-06-21T16:45:50+08:00,rmqdashboard,0.06%,416.9MiB / 15.4GiB,2.64%,2.18MB / 1.19MB,353MB / 474MB,66
2026-06-21T16:45:50+08:00,RPA-prometheus,0.43%,323.3MiB / 15.4GiB,2.05%,358MB / 5.01MB,349MB / 133MB,26
2026-06-21T16:45:50+08:00,RPA-minio,0.00%,182.3MiB / 15.4GiB,1.16%,772MB / 17.7MB,439MB / 1.18GB,53
2026-06-21T16:45:50+08:00,rmqnamesrv,0.09%,124.8MiB / 15.4GiB,0.79%,3.33MB / 2.53MB,242MB / 480MB,81
2026-06-21T16:45:50+08:00,RPA-cadvisor,2.93%,266.9MiB / 15.4GiB,1.69%,4.96MB / 356MB,211MB / 20.7MB,28
2026-06-21T16:45:50+08:00,script-k6-run-b6f46a59d7ff,275.45%,96.48MiB / 15.4GiB,0.61%,14.3MB / 22.5MB,0B / 0B,25
2026-06-21T16:45:54+08:00,script-k6-run-b6f46a59d7ff,282.00%,216.3MiB / 15.4GiB,1.37%,36.6MB / 57.7MB,0B / 0B,25
2026-06-21T16:45:54+08:00,RPA-app,150.32%,17.78MiB / 2GiB,0.87%,539MB / 360MB,0B / 24.6kB,9
2026-06-21T16:45:54+08:00,RPA-pgdb,0.00%,118.7MiB / 15.4GiB,0.75%,1.1GB / 8.39GB,57.3MB / 1.05GB,14
2026-06-21T16:45:54+08:00,RPA-redis,24.34%,9.598MiB / 15.4GiB,0.06%,256MB / 303MB,32.1MB / 12.3MB,7
2026-06-21T16:45:54+08:00,RPA-grafana,0.10%,91.16MiB / 15.4GiB,0.58%,23.6MB / 286kB,644MB / 142MB,25
2026-06-21T16:45:54+08:00,RPA-alloy,1.67%,189.9MiB / 15.4GiB,1.20%,4.93MB / 1.82GB,894MB / 71.9MB,27
2026-06-21T16:45:54+08:00,RPA-loki,7.50%,518.6MiB / 15.4GiB,3.29%,1.83GB / 750MB,671MB / 11.9GB,26
2026-06-21T16:45:54+08:00,rmqbroker,4.17%,1.1GiB / 15.4GiB,7.14%,2.32MB / 3.75MB,660MB / 990MB,324
2026-06-21T16:45:54+08:00,rmqdashboard,0.06%,416.9MiB / 15.4GiB,2.64%,2.18MB / 1.19MB,353MB / 474MB,66
2026-06-21T16:45:54+08:00,RPA-prometheus,0.00%,323.3MiB / 15.4GiB,2.05%,358MB / 5.01MB,349MB / 133MB,26
2026-06-21T16:45:54+08:00,RPA-minio,0.00%,182.3MiB / 15.4GiB,1.16%,772MB / 17.7MB,439MB / 1.18GB,53
2026-06-21T16:45:54+08:00,rmqnamesrv,0.11%,125.1MiB / 15.4GiB,0.79%,3.33MB / 2.53MB,242MB / 480MB,81
2026-06-21T16:45:54+08:00,RPA-cadvisor,2.89%,228.2MiB / 15.4GiB,1.45%,4.96MB / 356MB,211MB / 20.7MB,28
2026-06-21T16:45:57+08:00,script-k6-run-b6f46a59d7ff,264.31%,177.1MiB / 15.4GiB,1.12%,58MB / 91.4MB,0B / 0B,25
2026-06-21T16:45:57+08:00,RPA-app,149.76%,18.22MiB / 2GiB,0.89%,578MB / 389MB,0B / 24.6kB,9
2026-06-21T16:45:57+08:00,RPA-pgdb,2.91%,118.9MiB / 15.4GiB,0.75%,1.1GB / 8.39GB,57.3MB / 1.05GB,14
2026-06-21T16:45:57+08:00,RPA-redis,23.98%,9.844MiB / 15.4GiB,0.06%,264MB / 309MB,32.1MB / 12.3MB,7
2026-06-21T16:45:57+08:00,RPA-grafana,0.13%,91.16MiB / 15.4GiB,0.58%,23.6MB / 286kB,644MB / 142MB,25
2026-06-21T16:45:57+08:00,RPA-alloy,0.93%,196.3MiB / 15.4GiB,1.24%,4.94MB / 1.83GB,894MB / 71.9MB,27
2026-06-21T16:45:57+08:00,RPA-loki,6.13%,524.1MiB / 15.4GiB,3.32%,1.83GB / 750MB,671MB / 11.9GB,26
2026-06-21T16:45:57+08:00,rmqbroker,4.53%,1.102GiB / 15.4GiB,7.16%,2.32MB / 3.75MB,660MB / 990MB,324
2026-06-21T16:45:57+08:00,rmqdashboard,0.06%,416.9MiB / 15.4GiB,2.64%,2.18MB / 1.19MB,353MB / 474MB,66
2026-06-21T16:45:57+08:00,RPA-prometheus,0.00%,323.6MiB / 15.4GiB,2.05%,358MB / 5.01MB,349MB / 133MB,26
2026-06-21T16:45:57+08:00,RPA-minio,3.89%,182.5MiB / 15.4GiB,1.16%,772MB / 17.7MB,439MB / 1.18GB,53
2026-06-21T16:45:57+08:00,rmqnamesrv,0.34%,124.9MiB / 15.4GiB,0.79%,3.33MB / 2.53MB,243MB / 480MB,81
2026-06-21T16:45:57+08:00,RPA-cadvisor,3.27%,228.5MiB / 15.4GiB,1.45%,4.97MB / 356MB,211MB / 20.7MB,28
2026-06-21T16:46:00+08:00,RPA-app,0.12%,14.89MiB / 2GiB,0.73%,603MB / 407MB,0B / 28.7kB,9
2026-06-21T16:46:00+08:00,RPA-pgdb,0.00%,118.7MiB / 15.4GiB,0.75%,1.1GB / 8.39GB,57.3MB / 1.05GB,14
2026-06-21T16:46:00+08:00,RPA-redis,0.16%,8.602MiB / 15.4GiB,0.05%,268MB / 313MB,32.1MB / 12.3MB,7
2026-06-21T16:46:00+08:00,RPA-grafana,0.17%,91.16MiB / 15.4GiB,0.58%,23.6MB / 286kB,644MB / 142MB,25
2026-06-21T16:46:00+08:00,RPA-alloy,0.68%,196.3MiB / 15.4GiB,1.25%,4.95MB / 1.83GB,894MB / 72MB,27
2026-06-21T16:46:00+08:00,RPA-loki,3.89%,530.6MiB / 15.4GiB,3.37%,1.83GB / 750MB,671MB / 12GB,26
