timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:46:02+08:00,RPA-app,152.09%,17.54MiB / 2GiB,0.86%,618MB / 419MB,0B / 28.7kB,9
2026-06-21T16:46:02+08:00,RPA-pgdb,0.45%,118.7MiB / 15.4GiB,0.75%,1.1GB / 8.39GB,57.3MB / 1.05GB,14
2026-06-21T16:46:02+08:00,RPA-redis,24.77%,9.355MiB / 15.4GiB,0.06%,271MB / 316MB,32.1MB / 12.3MB,7
2026-06-21T16:46:02+08:00,RPA-grafana,0.09%,91.16MiB / 15.4GiB,0.58%,23.6MB / 286kB,644MB / 142MB,25
2026-06-21T16:46:02+08:00,RPA-alloy,0.97%,196.3MiB / 15.4GiB,1.25%,4.95MB / 1.83GB,894MB / 72MB,27
2026-06-21T16:46:02+08:00,RPA-loki,9.69%,559.3MiB / 15.4GiB,3.55%,1.83GB / 750MB,671MB / 12GB,26
2026-06-21T16:46:02+08:00,rmqbroker,3.37%,1.101GiB / 15.4GiB,7.15%,2.32MB / 3.75MB,662MB / 990MB,324
2026-06-21T16:46:02+08:00,rmqdashboard,0.05%,416.9MiB / 15.4GiB,2.64%,2.19MB / 1.19MB,353MB / 474MB,66
2026-06-21T16:46:02+08:00,RPA-prometheus,0.00%,324.2MiB / 15.4GiB,2.06%,358MB / 5.02MB,349MB / 133MB,26
2026-06-21T16:46:02+08:00,RPA-minio,0.01%,177.6MiB / 15.4GiB,1.13%,772MB / 17.7MB,439MB / 1.19GB,53
2026-06-21T16:46:02+08:00,rmqnamesrv,0.09%,125.3MiB / 15.4GiB,0.79%,3.33MB / 2.53MB,243MB / 480MB,81
2026-06-21T16:46:02+08:00,RPA-cadvisor,2.07%,269.8MiB / 15.4GiB,1.71%,4.97MB / 356MB,211MB / 20.7MB,28
2026-06-21T16:46:02+08:00,script-k6-run-2b4bf48a0dcb,263.98%,68.77MiB / 15.4GiB,0.44%,9.16MB / 12.3MB,0B / 0B,25
2026-06-21T16:46:05+08:00,script-k6-run-2b4bf48a0dcb,266.97%,198.1MiB / 15.4GiB,1.26%,33MB / 44.2MB,0B / 0B,25
2026-06-21T16:46:05+08:00,RPA-app,149.43%,17.55MiB / 2GiB,0.86%,657MB / 451MB,0B / 28.7kB,9
2026-06-21T16:46:05+08:00,RPA-pgdb,0.00%,118.7MiB / 15.4GiB,0.75%,1.1GB / 8.39GB,57.3MB / 1.05GB,14
2026-06-21T16:46:05+08:00,RPA-redis,24.79%,9.34MiB / 15.4GiB,0.06%,280MB / 322MB,32.1MB / 12.3MB,7
2026-06-21T16:46:05+08:00,RPA-grafana,0.12%,91.16MiB / 15.4GiB,0.58%,23.6MB / 286kB,644MB / 142MB,25
2026-06-21T16:46:05+08:00,RPA-alloy,1.08%,202.5MiB / 15.4GiB,1.28%,4.96MB / 1.83GB,900MB / 72MB,27
2026-06-21T16:46:05+08:00,RPA-loki,9.01%,526.6MiB / 15.4GiB,3.34%,1.83GB / 760MB,674MB / 12GB,26
2026-06-21T16:46:05+08:00,rmqbroker,3.73%,1.103GiB / 15.4GiB,7.16%,2.32MB / 3.75MB,662MB / 990MB,324
