timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:46:14+08:00,RPA-app,43.17%,78.12MiB / 2GiB,3.81%,736MB / 516MB,0B / 32.8kB,9
2026-06-21T16:46:14+08:00,RPA-pgdb,0.02%,118.7MiB / 15.4GiB,0.75%,1.1GB / 8.39GB,57.3MB / 1.05GB,14
2026-06-21T16:46:14+08:00,RPA-redis,6.49%,9.098MiB / 15.4GiB,0.06%,296MB / 336MB,32.1MB / 12.3MB,7
2026-06-21T16:46:14+08:00,RPA-grafana,0.09%,132MiB / 15.4GiB,0.84%,23.6MB / 288kB,687MB / 142MB,25
2026-06-21T16:46:14+08:00,RPA-alloy,64.36%,196.2MiB / 15.4GiB,1.24%,4.97MB / 1.84GB,900MB / 72MB,27
2026-06-21T16:46:14+08:00,RPA-loki,10.20%,531.4MiB / 15.4GiB,3.37%,1.84GB / 760MB,674MB / 12.1GB,26
2026-06-21T16:46:14+08:00,rmqbroker,4.01%,1.104GiB / 15.4GiB,7.17%,2.32MB / 3.76MB,664MB / 991MB,324
2026-06-21T16:46:14+08:00,rmqdashboard,0.06%,416.9MiB / 15.4GiB,2.64%,2.19MB / 1.19MB,353MB / 474MB,66
2026-06-21T16:46:14+08:00,RPA-prometheus,3.85%,326.1MiB / 15.4GiB,2.07%,358MB / 5.02MB,349MB / 133MB,26
2026-06-21T16:46:14+08:00,RPA-minio,0.02%,177.8MiB / 15.4GiB,1.13%,782MB / 17.7MB,439MB / 1.2GB,53
2026-06-21T16:46:14+08:00,rmqnamesrv,0.14%,125.7MiB / 15.4GiB,0.80%,3.33MB / 2.53MB,243MB / 480MB,81
2026-06-21T16:46:14+08:00,RPA-cadvisor,40.90%,264.8MiB / 15.4GiB,1.68%,4.98MB / 357MB,211MB / 20.7MB,28
2026-06-21T16:46:14+08:00,script-k6-run-1bca43f74d52,278.90%,71.23MiB / 15.4GiB,0.45%,9.14MB / 14.7MB,0B / 0B,24
2026-06-21T16:46:18+08:00,script-k6-run-1bca43f74d52,290.54%,192.9MiB / 15.4GiB,1.22%,32.6MB / 52.4MB,0B / 0B,25
2026-06-21T16:46:18+08:00,RPA-app,151.97%,17.72MiB / 2GiB,0.87%,794MB / 558MB,0B / 32.8kB,9
2026-06-21T16:46:18+08:00,RPA-pgdb,0.00%,118.7MiB / 15.4GiB,0.75%,1.1GB / 8.39GB,57.3MB / 1.05GB,14
2026-06-21T16:46:18+08:00,RPA-redis,24.08%,9.363MiB / 15.4GiB,0.06%,307MB / 344MB,32.1MB / 12.3MB,7
2026-06-21T16:46:18+08:00,RPA-grafana,0.19%,132.2MiB / 15.4GiB,0.84%,23.6MB / 288kB,687MB / 142MB,25
2026-06-21T16:46:18+08:00,RPA-alloy,1.52%,195.3MiB / 15.4GiB,1.24%,4.98MB / 1.84GB,900MB / 72MB,27
