timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:45:47+08:00,RPA-app,45.46%,75.12MiB / 2GiB,3.67%,471MB / 311MB,0B / 24.6kB,9
2026-06-21T16:45:47+08:00,RPA-pgdb,0.00%,118.7MiB / 15.4GiB,0.75%,1.1GB / 8.39GB,57.3MB / 1.05GB,14
2026-06-21T16:45:47+08:00,RPA-redis,6.35%,9.348MiB / 15.4GiB,0.06%,244MB / 293MB,32.1MB / 12.3MB,7
2026-06-21T16:45:47+08:00,RPA-grafana,0.09%,91.16MiB / 15.4GiB,0.58%,23.6MB / 286kB,644MB / 142MB,25
2026-06-21T16:45:47+08:00,RPA-alloy,58.07%,188.6MiB / 15.4GiB,1.20%,4.92MB / 1.82GB,894MB / 71.9MB,27
2026-06-21T16:45:47+08:00,RPA-loki,10.04%,503.9MiB / 15.4GiB,3.20%,1.82GB / 750MB,671MB / 11.9GB,26
2026-06-21T16:45:47+08:00,rmqbroker,3.41%,1.098GiB / 15.4GiB,7.13%,2.31MB / 3.75MB,658MB / 990MB,324
2026-06-21T16:45:47+08:00,rmqdashboard,0.05%,416.9MiB / 15.4GiB,2.64%,2.18MB / 1.19MB,353MB / 474MB,66
2026-06-21T16:45:47+08:00,RPA-prometheus,0.07%,323.6MiB / 15.4GiB,2.05%,358MB / 5.01MB,349MB / 133MB,26
2026-06-21T16:45:47+08:00,RPA-minio,0.02%,182.3MiB / 15.4GiB,1.16%,772MB / 17.7MB,439MB / 1.18GB,53
2026-06-21T16:45:47+08:00,rmqnamesrv,0.10%,124.8MiB / 15.4GiB,0.79%,3.33MB / 2.53MB,242MB / 480MB,81
2026-06-21T16:45:47+08:00,RPA-cadvisor,2.27%,267.4MiB / 15.4GiB,1.70%,4.96MB / 356MB,211MB / 20.7MB,28
2026-06-21T16:45:47+08:00,script-k6-run-ce792a2f1fec,64.41%,21.07MiB / 15.4GiB,0.13%,1.56MB / 2.08MB,0B / 0B,22
2026-06-21T16:45:50+08:00,RPA-app,139.17%,18.16MiB / 2GiB,0.89%,484MB / 320MB,0B / 24.6kB,9
2026-06-21T16:45:50+08:00,RPA-pgdb,0.02%,118.7MiB / 15.4GiB,0.75%,1.1GB / 8.39GB,57.3MB / 1.05GB,14
2026-06-21T16:45:50+08:00,RPA-redis,21.75%,9.609MiB / 15.4GiB,0.06%,246MB / 295MB,32.1MB / 12.3MB,7
2026-06-21T16:45:50+08:00,RPA-grafana,0.09%,91.16MiB / 15.4GiB,0.58%,23.6MB / 286kB,644MB / 142MB,25
2026-06-21T16:45:50+08:00,RPA-alloy,56.82%,189.3MiB / 15.4GiB,1.20%,4.93MB / 1.82GB,894MB / 71.9MB,27
2026-06-21T16:45:50+08:00,RPA-loki,7.46%,509.6MiB / 15.4GiB,3.23%,1.82GB / 750MB,671MB / 11.9GB,26
2026-06-21T16:45:50+08:00,rmqbroker,4.49%,1.099GiB / 15.4GiB,7.14%,2.32MB / 3.75MB,659MB / 990MB,324
2026-06-21T16:45:50+08:00,rmqdashboard,0.06%,416.9MiB / 15.4GiB,2.64%,2.18MB / 1.19MB,353MB / 474MB,66
2026-06-21T16:45:50+08:00,RPA-prometheus,0.43%,323.3MiB / 15.4GiB,2.05%,358MB / 5.01MB,349MB / 133MB,26
2026-06-21T16:45:50+08:00,RPA-minio,0.00%,182.3MiB / 15.4GiB,1.16%,772MB / 17.7MB,439MB / 1.18GB,53
2026-06-21T16:45:50+08:00,rmqnamesrv,0.09%,124.8MiB / 15.4GiB,0.79%,3.33MB / 2.53MB,242MB / 480MB,81
2026-06-21T16:45:50+08:00,RPA-cadvisor,2.59%,267.5MiB / 15.4GiB,1.70%,4.96MB / 356MB,211MB / 20.7MB,28
2026-06-21T16:45:50+08:00,script-k6-run-b6f46a59d7ff,275.45%,96.48MiB / 15.4GiB,0.61%,14.3MB / 22.5MB,0B / 0B,25
