timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:44:56+08:00,RPA-app,149.20%,197.1MiB / 2GiB,9.62%,985kB / 1.72MB,0B / 4.1kB,8
2026-06-21T16:44:56+08:00,RPA-pgdb,2.05%,120.3MiB / 15.4GiB,0.76%,1.1GB / 8.39GB,57.3MB / 1.04GB,14
2026-06-21T16:44:56+08:00,RPA-redis,0.72%,9.453MiB / 15.4GiB,0.06%,166MB / 230MB,32MB / 12.1MB,7
2026-06-21T16:44:56+08:00,RPA-grafana,0.15%,91.16MiB / 15.4GiB,0.58%,23.6MB / 286kB,644MB / 141MB,25
2026-06-21T16:44:56+08:00,RPA-alloy,1.42%,204.8MiB / 15.4GiB,1.30%,4.82MB / 1.78GB,894MB / 71.8MB,27
2026-06-21T16:44:56+08:00,RPA-loki,10.75%,523.2MiB / 15.4GiB,3.32%,1.78GB / 737MB,664MB / 11.7GB,26
2026-06-21T16:44:56+08:00,rmqbroker,4.39%,1.09GiB / 15.4GiB,7.08%,2.29MB / 3.73MB,649MB / 989MB,324
2026-06-21T16:44:56+08:00,rmqdashboard,0.08%,415.7MiB / 15.4GiB,2.64%,2.17MB / 1.18MB,352MB / 474MB,66
2026-06-21T16:44:56+08:00,RPA-prometheus,0.04%,318.8MiB / 15.4GiB,2.02%,356MB / 4.99MB,349MB / 133MB,26
2026-06-21T16:44:56+08:00,RPA-minio,1.21%,183.7MiB / 15.4GiB,1.17%,758MB / 17.7MB,439MB / 1.16GB,53
2026-06-21T16:44:56+08:00,rmqnamesrv,0.13%,123.5MiB / 15.4GiB,0.78%,3.31MB / 2.52MB,241MB / 480MB,81
2026-06-21T16:44:56+08:00,RPA-cadvisor,3.70%,227.5MiB / 15.4GiB,1.44%,4.94MB / 355MB,211MB / 20.7MB,28
2026-06-21T16:44:56+08:00,script-k6-run-c530b38c3564,4.96%,16.45MiB / 15.4GiB,0.10%,177kB / 56.4kB,0B / 0B,21
2026-06-21T16:44:59+08:00,script-k6-run-c530b38c3564,4.49%,16.76MiB / 15.4GiB,0.11%,478kB / 148kB,0B / 0B,22
2026-06-21T16:44:59+08:00,RPA-app,197.22%,224.4MiB / 2GiB,10.96%,1.36MB / 2.32MB,0B / 4.1kB,8
2026-06-21T16:44:59+08:00,RPA-pgdb,1.70%,120.5MiB / 15.4GiB,0.76%,1.1GB / 8.39GB,57.3MB / 1.04GB,14
2026-06-21T16:44:59+08:00,RPA-redis,1.37%,9.926MiB / 15.4GiB,0.06%,166MB / 230MB,32MB / 12.2MB,7
2026-06-21T16:44:59+08:00,RPA-grafana,0.14%,91.16MiB / 15.4GiB,0.58%,23.6MB / 286kB,644MB / 141MB,25
