timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:46:51+08:00,RPA-app,148.87%,16.69MiB / 2GiB,0.82%,1.14GB / 841MB,0B / 49.2kB,9
2026-06-21T16:46:51+08:00,RPA-pgdb,0.02%,118.7MiB / 15.4GiB,0.75%,1.1GB / 8.39GB,57.3MB / 1.05GB,14
2026-06-21T16:46:51+08:00,RPA-redis,23.42%,10.99MiB / 15.4GiB,0.07%,379MB / 403MB,32.1MB / 12.4MB,7
2026-06-21T16:46:51+08:00,RPA-grafana,0.10%,132.6MiB / 15.4GiB,0.84%,23.6MB / 288kB,688MB / 142MB,25
2026-06-21T16:46:51+08:00,RPA-alloy,0.98%,206.7MiB / 15.4GiB,1.31%,5.05MB / 1.87GB,900MB / 72.1MB,27
2026-06-21T16:46:51+08:00,RPA-loki,9.26%,538.1MiB / 15.4GiB,3.41%,1.87GB / 768MB,674MB / 12.2GB,26
2026-06-21T16:46:51+08:00,rmqbroker,3.45%,1.112GiB / 15.4GiB,7.22%,2.34MB / 3.77MB,671MB / 991MB,324
2026-06-21T16:46:51+08:00,rmqdashboard,0.05%,417MiB / 15.4GiB,2.64%,2.19MB / 1.19MB,353MB / 475MB,66
2026-06-21T16:46:51+08:00,RPA-prometheus,0.00%,347.3MiB / 15.4GiB,2.20%,359MB / 5.04MB,349MB / 133MB,26
2026-06-21T16:46:51+08:00,RPA-minio,0.01%,178.2MiB / 15.4GiB,1.13%,790MB / 17.7MB,439MB / 1.21GB,53
2026-06-21T16:46:51+08:00,rmqnamesrv,0.10%,125.8MiB / 15.4GiB,0.80%,3.34MB / 2.54MB,243MB / 481MB,81
2026-06-21T16:46:51+08:00,RPA-cadvisor,2.50%,267.1MiB / 15.4GiB,1.69%,4.99MB / 357MB,211MB / 20.7MB,28
2026-06-21T16:46:51+08:00,script-k6-run-3db89430fddd,265.87%,105.5MiB / 15.4GiB,0.67%,16.3MB / 21.6MB,0B / 0B,24
2026-06-21T16:46:55+08:00,script-k6-run-3db89430fddd,270.69%,254MiB / 15.4GiB,1.61%,41.3MB / 54.6MB,0B / 0B,25
2026-06-21T16:46:55+08:00,RPA-app,150.89%,16.88MiB / 2GiB,0.82%,1.2GB / 885MB,0B / 49.2kB,9
2026-06-21T16:46:55+08:00,RPA-pgdb,0.00%,118.7MiB / 15.4GiB,0.75%,1.1GB / 8.39GB,57.3MB / 1.05GB,14
2026-06-21T16:46:55+08:00,RPA-redis,25.13%,9.129MiB / 15.4GiB,0.06%,390MB / 411MB,32.1MB / 12.4MB,7
2026-06-21T16:46:55+08:00,RPA-grafana,0.12%,132.6MiB / 15.4GiB,0.84%,23.6MB / 288kB,688MB / 142MB,25
2026-06-21T16:46:55+08:00,RPA-alloy,1.89%,207.1MiB / 15.4GiB,1.31%,5.05MB / 1.87GB,900MB / 72.1MB,27
2026-06-21T16:46:55+08:00,RPA-loki,14.73%,547.3MiB / 15.4GiB,3.47%,1.87GB / 768MB,674MB / 12.2GB,26
