timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:45:33+08:00,RPA-app,87.00%,16.22MiB / 2GiB,0.79%,282MB / 218MB,0B / 16.4kB,8
2026-06-21T16:45:33+08:00,RPA-pgdb,0.02%,118.6MiB / 15.4GiB,0.75%,1.1GB / 8.39GB,57.3MB / 1.05GB,14
2026-06-21T16:45:33+08:00,RPA-redis,13.26%,10.07MiB / 15.4GiB,0.06%,220MB / 274MB,32.1MB / 12.3MB,7
2026-06-21T16:45:33+08:00,RPA-grafana,0.09%,91.15MiB / 15.4GiB,0.58%,23.6MB / 286kB,644MB / 142MB,25
2026-06-21T16:45:33+08:00,RPA-alloy,62.50%,188.2MiB / 15.4GiB,1.19%,4.89MB / 1.81GB,894MB / 71.9MB,27
2026-06-21T16:45:33+08:00,RPA-loki,5.80%,527.6MiB / 15.4GiB,3.35%,1.81GB / 742MB,671MB / 11.9GB,26
2026-06-21T16:45:33+08:00,rmqbroker,4.24%,1.097GiB / 15.4GiB,7.12%,2.31MB / 3.74MB,656MB / 990MB,324
2026-06-21T16:45:33+08:00,rmqdashboard,0.13%,416.9MiB / 15.4GiB,2.64%,2.18MB / 1.18MB,353MB / 474MB,66
2026-06-21T16:45:33+08:00,RPA-prometheus,0.00%,321.6MiB / 15.4GiB,2.04%,357MB / 5MB,349MB / 133MB,26
2026-06-21T16:45:33+08:00,RPA-minio,0.01%,182.2MiB / 15.4GiB,1.16%,764MB / 17.7MB,439MB / 1.17GB,53
2026-06-21T16:45:33+08:00,rmqnamesrv,0.09%,124.6MiB / 15.4GiB,0.79%,3.32MB / 2.52MB,242MB / 480MB,81
2026-06-21T16:45:33+08:00,RPA-cadvisor,3.52%,268.1MiB / 15.4GiB,1.70%,4.96MB / 356MB,211MB / 20.7MB,28
2026-06-21T16:45:33+08:00,script-k6-run-952ffacd9308,282.88%,80.02MiB / 15.4GiB,0.51%,11.6MB / 28.6MB,4.1kB / 0B,25
2026-06-21T16:45:37+08:00,script-k6-run-952ffacd9308,288.89%,191MiB / 15.4GiB,1.21%,34.4MB / 85MB,4.1kB / 0B,25
2026-06-21T16:45:37+08:00,RPA-app,150.30%,15.63MiB / 2GiB,0.76%,366MB / 259MB,0B / 16.4kB,9
2026-06-21T16:45:37+08:00,RPA-pgdb,1.88%,118.6MiB / 15.4GiB,0.75%,1.1GB / 8.39GB,57.3MB / 1.05GB,14
2026-06-21T16:45:37+08:00,RPA-redis,23.92%,9.109MiB / 15.4GiB,0.06%,231MB / 283MB,32.1MB / 12.3MB,7
2026-06-21T16:45:37+08:00,RPA-grafana,0.11%,91.15MiB / 15.4GiB,0.58%,23.6MB / 286kB,644MB / 142MB,25
2026-06-21T16:45:37+08:00,RPA-alloy,1.03%,188.3MiB / 15.4GiB,1.19%,4.9MB / 1.81GB,894MB / 71.9MB,27
2026-06-21T16:45:37+08:00,RPA-loki,10.50%,535MiB / 15.4GiB,3.39%,1.81GB / 750MB,671MB / 11.9GB,26
2026-06-21T16:45:37+08:00,rmqbroker,3.69%,1.096GiB / 15.4GiB,7.12%,2.31MB / 3.74MB,656MB / 990MB,324
2026-06-21T16:45:37+08:00,rmqdashboard,0.06%,416.9MiB / 15.4GiB,2.64%,2.18MB / 1.18MB,353MB / 474MB,66
2026-06-21T16:45:37+08:00,RPA-prometheus,0.00%,321.8MiB / 15.4GiB,2.04%,357MB / 5MB,349MB / 133MB,26
