timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:45:09+08:00,RPA-app,120.18%,17.23MiB / 2GiB,0.84%,11.5MB / 11.1MB,0B / 8.19kB,8
2026-06-21T16:45:09+08:00,RPA-pgdb,0.03%,118.6MiB / 15.4GiB,0.75%,1.1GB / 8.39GB,57.3MB / 1.05GB,14
2026-06-21T16:45:09+08:00,RPA-redis,19.09%,9.82MiB / 15.4GiB,0.06%,168MB / 232MB,32.1MB / 12.3MB,7
2026-06-21T16:45:09+08:00,RPA-grafana,0.18%,91.16MiB / 15.4GiB,0.58%,23.6MB / 286kB,644MB / 141MB,25
2026-06-21T16:45:09+08:00,RPA-alloy,65.33%,184.3MiB / 15.4GiB,1.17%,4.85MB / 1.79GB,894MB / 71.8MB,27
2026-06-21T16:45:09+08:00,RPA-loki,11.96%,548.7MiB / 15.4GiB,3.48%,1.79GB / 737MB,671MB / 11.7GB,26
2026-06-21T16:45:09+08:00,rmqbroker,3.76%,1.092GiB / 15.4GiB,7.09%,2.3MB / 3.74MB,651MB / 989MB,324
2026-06-21T16:45:09+08:00,rmqdashboard,0.13%,415.7MiB / 15.4GiB,2.64%,2.18MB / 1.18MB,352MB / 474MB,66
2026-06-21T16:45:09+08:00,RPA-prometheus,0.00%,319.3MiB / 15.4GiB,2.03%,357MB / 4.99MB,349MB / 133MB,26
2026-06-21T16:45:09+08:00,RPA-minio,0.00%,182MiB / 15.4GiB,1.15%,758MB / 17.7MB,439MB / 1.16GB,53
2026-06-21T16:45:09+08:00,rmqnamesrv,0.15%,123.4MiB / 15.4GiB,0.78%,3.32MB / 2.52MB,241MB / 480MB,81
2026-06-21T16:45:09+08:00,RPA-cadvisor,2.68%,224.4MiB / 15.4GiB,1.42%,4.95MB / 355MB,211MB / 20.7MB,28
2026-06-21T16:45:09+08:00,script-k6-run-89dc7aacfad3,267.27%,94.05MiB / 15.4GiB,0.60%,13.7MB / 18.3MB,0B / 0B,25
2026-06-21T16:45:13+08:00,script-k6-run-89dc7aacfad3,274.31%,222.8MiB / 15.4GiB,1.41%,37.3MB / 49.6MB,0B / 0B,25
2026-06-21T16:45:13+08:00,RPA-app,151.09%,16.64MiB / 2GiB,0.81%,49.4MB / 42.7MB,0B / 8.19kB,8
2026-06-21T16:45:13+08:00,RPA-pgdb,0.01%,118.6MiB / 15.4GiB,0.75%,1.1GB / 8.39GB,57.3MB / 1.05GB,14
2026-06-21T16:45:13+08:00,RPA-redis,25.10%,9.859MiB / 15.4GiB,0.06%,179MB / 241MB,32.1MB / 12.3MB,7
2026-06-21T16:45:13+08:00,RPA-grafana,0.10%,91.15MiB / 15.4GiB,0.58%,23.6MB / 286kB,644MB / 142MB,25
2026-06-21T16:45:13+08:00,RPA-alloy,78.62%,178.5MiB / 15.4GiB,1.13%,4.85MB / 1.79GB,894MB / 71.8MB,27
2026-06-21T16:45:13+08:00,RPA-loki,13.27%,558.3MiB / 15.4GiB,3.54%,1.79GB / 742MB,671MB / 11.7GB,26
2026-06-21T16:45:13+08:00,rmqbroker,3.81%,1.093GiB / 15.4GiB,7.10%,2.3MB / 3.74MB,652MB / 989MB,324
2026-06-21T16:45:13+08:00,rmqdashboard,0.12%,415.9MiB / 15.4GiB,2.64%,2.18MB / 1.18MB,352MB / 474MB,66
2026-06-21T16:45:13+08:00,RPA-prometheus,0.00%,319.3MiB / 15.4GiB,2.03%,357MB / 4.99MB,349MB / 133MB,26
2026-06-21T16:45:13+08:00,RPA-minio,0.01%,182.2MiB / 15.4GiB,1.16%,764MB / 17.7MB,439MB / 1.17GB,53
