timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:45:21+08:00,RPA-app,125.94%,16.47MiB / 2GiB,0.80%,141MB / 118MB,0B / 12.3kB,8
2026-06-21T16:45:21+08:00,RPA-pgdb,0.02%,118.6MiB / 15.4GiB,0.75%,1.1GB / 8.39GB,57.3MB / 1.05GB,14
2026-06-21T16:45:21+08:00,RPA-redis,19.17%,9.863MiB / 15.4GiB,0.06%,195MB / 254MB,32.1MB / 12.3MB,7
2026-06-21T16:45:21+08:00,RPA-grafana,0.13%,91.15MiB / 15.4GiB,0.58%,23.6MB / 286kB,644MB / 142MB,25
2026-06-21T16:45:21+08:00,RPA-alloy,0.90%,187.4MiB / 15.4GiB,1.19%,4.87MB / 1.8GB,894MB / 71.9MB,27
2026-06-21T16:45:21+08:00,RPA-loki,6.12%,529.3MiB / 15.4GiB,3.36%,1.8GB / 742MB,671MB / 11.8GB,26
2026-06-21T16:45:21+08:00,rmqbroker,3.51%,1.094GiB / 15.4GiB,7.11%,2.3MB / 3.74MB,653MB / 989MB,324
2026-06-21T16:45:21+08:00,rmqdashboard,0.05%,416.3MiB / 15.4GiB,2.64%,2.18MB / 1.18MB,352MB / 474MB,66
2026-06-21T16:45:21+08:00,RPA-prometheus,0.01%,320.3MiB / 15.4GiB,2.03%,357MB / 5MB,349MB / 133MB,26
2026-06-21T16:45:21+08:00,RPA-minio,0.00%,182.2MiB / 15.4GiB,1.16%,764MB / 17.7MB,439MB / 1.17GB,53
2026-06-21T16:45:21+08:00,rmqnamesrv,0.10%,124.5MiB / 15.4GiB,0.79%,3.32MB / 2.52MB,242MB / 480MB,81
2026-06-21T16:45:21+08:00,RPA-cadvisor,5.50%,278.3MiB / 15.4GiB,1.77%,4.95MB / 355MB,211MB / 20.7MB,28
2026-06-21T16:45:21+08:00,script-k6-run-2710d0a23d63,278.35%,96.55MiB / 15.4GiB,0.61%,14MB / 22MB,0B / 0B,25
2026-06-21T16:45:25+08:00,script-k6-run-2710d0a23d63,281.41%,181.8MiB / 15.4GiB,1.15%,30.2MB / 47.4MB,0B / 0B,25
2026-06-21T16:45:25+08:00,RPA-app,151.40%,17.04MiB / 2GiB,0.83%,199MB / 160MB,0B / 12.3kB,8
2026-06-21T16:45:25+08:00,RPA-pgdb,0.01%,118.6MiB / 15.4GiB,0.75%,1.1GB / 8.39GB,57.3MB / 1.05GB,14
2026-06-21T16:45:25+08:00,RPA-redis,24.73%,8.41MiB / 15.4GiB,0.05%,206MB / 263MB,32.1MB / 12.3MB,7
