timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:44:44+08:00,RPA-app,121.44%,237.9MiB / 2GiB,11.62%,77.7kB / 120kB,0B / 0B,7
2026-06-21T16:44:44+08:00,RPA-pgdb,3.96%,118.8MiB / 15.4GiB,0.75%,1.1GB / 8.39GB,57.3MB / 1.04GB,14
2026-06-21T16:44:44+08:00,RPA-redis,0.15%,8.535MiB / 15.4GiB,0.05%,166MB / 230MB,32MB / 12.1MB,7
2026-06-21T16:44:44+08:00,RPA-grafana,0.11%,91.16MiB / 15.4GiB,0.58%,23.6MB / 286kB,644MB / 141MB,25
2026-06-21T16:44:44+08:00,RPA-alloy,54.64%,195.1MiB / 15.4GiB,1.24%,4.8MB / 1.77GB,894MB / 71.7MB,27
2026-06-21T16:44:44+08:00,RPA-loki,12.35%,552.7MiB / 15.4GiB,3.51%,1.77GB / 727MB,664MB / 11.6GB,26
2026-06-21T16:44:44+08:00,rmqbroker,3.84%,1.088GiB / 15.4GiB,7.07%,2.29MB / 3.73MB,647MB / 989MB,324
2026-06-21T16:44:44+08:00,rmqdashboard,0.15%,415.9MiB / 15.4GiB,2.64%,2.17MB / 1.18MB,352MB / 474MB,66
2026-06-21T16:44:44+08:00,RPA-prometheus,0.00%,314.6MiB / 15.4GiB,2.00%,356MB / 4.98MB,347MB / 133MB,26
2026-06-21T16:44:44+08:00,RPA-minio,0.02%,181.7MiB / 15.4GiB,1.15%,749MB / 17.7MB,439MB / 1.15GB,53
2026-06-21T16:44:44+08:00,rmqnamesrv,0.10%,122.9MiB / 15.4GiB,0.78%,3.31MB / 2.51MB,241MB / 480MB,81
2026-06-21T16:44:44+08:00,RPA-cadvisor,6.49%,225.8MiB / 15.4GiB,1.43%,4.94MB / 354MB,211MB / 20.7MB,28
2026-06-21T16:44:44+08:00,script-k6-run-0cb2c9cf995d,3.61%,16.77MiB / 15.4GiB,0.11%,63.5kB / 59.1kB,688kB / 0B,19
2026-06-21T16:44:47+08:00,script-k6-run-0cb2c9cf995d,3.35%,17.25MiB / 15.4GiB,0.11%,186kB / 172kB,688kB / 0B,21
2026-06-21T16:44:47+08:00,RPA-app,192.34%,266.6MiB / 2GiB,13.02%,436kB / 761kB,0B / 0B,8
2026-06-21T16:44:47+08:00,RPA-pgdb,4.52%,120.4MiB / 15.4GiB,0.76%,1.1GB / 8.39GB,57.3MB / 1.04GB,14
2026-06-21T16:44:47+08:00,RPA-redis,0.16%,8.535MiB / 15.4GiB,0.05%,166MB / 230MB,32MB / 12.1MB,7
2026-06-21T16:44:47+08:00,RPA-grafana,0.15%,91.16MiB / 15.4GiB,0.58%,23.6MB / 286kB,644MB / 141MB,25
2026-06-21T16:44:47+08:00,RPA-alloy,1.10%,193.7MiB / 15.4GiB,1.23%,4.81MB / 1.77GB,894MB / 71.7MB,27
2026-06-21T16:44:47+08:00,RPA-loki,7.62%,561.8MiB / 15.4GiB,3.56%,1.77GB / 737MB,664MB / 11.6GB,26
2026-06-21T16:44:47+08:00,rmqbroker,4.48%,1.089GiB / 15.4GiB,7.08%,2.29MB / 3.73MB,647MB / 989MB,324
2026-06-21T16:44:47+08:00,rmqdashboard,0.08%,415.7MiB / 15.4GiB,2.64%,2.17MB / 1.18MB,352MB / 474MB,66
2026-06-21T16:44:47+08:00,RPA-prometheus,0.00%,318.3MiB / 15.4GiB,2.02%,356MB / 4.99MB,349MB / 133MB,26
2026-06-21T16:44:47+08:00,RPA-minio,2.10%,182.9MiB / 15.4GiB,1.16%,758MB / 17.7MB,439MB / 1.16GB,53
2026-06-21T16:44:47+08:00,rmqnamesrv,0.14%,123MiB / 15.4GiB,0.78%,3.31MB / 2.52MB,241MB / 480MB,81
2026-06-21T16:44:47+08:00,RPA-cadvisor,2.09%,264.6MiB / 15.4GiB,1.68%,4.94MB / 355MB,211MB / 20.7MB,28
2026-06-21T16:44:50+08:00,script-k6-run-0cb2c9cf995d,3.78%,17.3MiB / 15.4GiB,0.11%,307kB / 286kB,688kB / 0B,22
2026-06-21T16:44:50+08:00,RPA-app,192.57%,266.2MiB / 2GiB,13.00%,705kB / 1.24MB,0B / 0B,8
2026-06-21T16:44:50+08:00,RPA-pgdb,4.50%,120.3MiB / 15.4GiB,0.76%,1.1GB / 8.39GB,57.3MB / 1.04GB,14
2026-06-21T16:44:50+08:00,RPA-redis,0.59%,8.773MiB / 15.4GiB,0.06%,166MB / 230MB,32MB / 12.1MB,7
2026-06-21T16:44:50+08:00,RPA-grafana,0.14%,91.16MiB / 15.4GiB,0.58%,23.6MB / 286kB,644MB / 141MB,25
2026-06-21T16:44:50+08:00,RPA-alloy,0.92%,194.1MiB / 15.4GiB,1.23%,4.81MB / 1.78GB,894MB / 71.8MB,27
2026-06-21T16:44:50+08:00,RPA-loki,8.55%,519.7MiB / 15.4GiB,3.30%,1.78GB / 737MB,664MB / 11.6GB,26
2026-06-21T16:44:50+08:00,rmqbroker,3.94%,1.089GiB / 15.4GiB,7.08%,2.29MB / 3.73MB,648MB / 989MB,324
2026-06-21T16:44:50+08:00,rmqdashboard,0.07%,415.7MiB / 15.4GiB,2.64%,2.17MB / 1.18MB,352MB / 474MB,66
2026-06-21T16:44:50+08:00,RPA-prometheus,0.52%,318.9MiB / 15.4GiB,2.02%,356MB / 4.99MB,349MB / 133MB,26
2026-06-21T16:44:50+08:00,RPA-minio,0.00%,182MiB / 15.4GiB,1.15%,758MB / 17.7MB,439MB / 1.16GB,53
2026-06-21T16:44:50+08:00,rmqnamesrv,0.13%,123.2MiB / 15.4GiB,0.78%,3.31MB / 2.52MB,241MB / 480MB,81
2026-06-21T16:44:50+08:00,RPA-cadvisor,2.15%,265MiB / 15.4GiB,1.68%,4.94MB / 355MB,211MB / 20.7MB,28
2026-06-21T16:44:53+08:00,script-k6-run-0cb2c9cf995d,1.96%,16.47MiB / 15.4GiB,0.10%,402kB / 376kB,688kB / 0B,22
2026-06-21T16:44:53+08:00,RPA-app,37.88%,176MiB / 2GiB,8.59%,907kB / 1.61MB,0B / 0B,8
2026-06-21T16:44:53+08:00,RPA-pgdb,1.05%,118.5MiB / 15.4GiB,0.75%,1.1GB / 8.39GB,57.3MB / 1.04GB,14
2026-06-21T16:44:53+08:00,RPA-redis,0.11%,8.523MiB / 15.4GiB,0.05%,166MB / 230MB,32MB / 12.1MB,7
2026-06-21T16:44:53+08:00,RPA-grafana,0.10%,91.16MiB / 15.4GiB,0.58%,23.6MB / 286kB,644MB / 141MB,25
2026-06-21T16:44:53+08:00,RPA-alloy,1.05%,203.7MiB / 15.4GiB,1.29%,4.82MB / 1.78GB,894MB / 71.8MB,27
2026-06-21T16:44:53+08:00,RPA-loki,8.76%,524.5MiB / 15.4GiB,3.33%,1.78GB / 737MB,664MB / 11.6GB,26
2026-06-21T16:44:53+08:00,rmqbroker,4.08%,1.09GiB / 15.4GiB,7.08%,2.29MB / 3.73MB,648MB / 989MB,324
2026-06-21T16:44:53+08:00,rmqdashboard,0.15%,415.9MiB / 15.4GiB,2.64%,2.17MB / 1.18MB,352MB / 474MB,66
