timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:46:39+08:00,RPA-app,51.56%,16.12MiB / 2GiB,0.79%,1.01GB / 728MB,0B / 45.1kB,9
2026-06-21T16:46:39+08:00,RPA-pgdb,0.02%,118.7MiB / 15.4GiB,0.75%,1.1GB / 8.39GB,57.3MB / 1.05GB,14
2026-06-21T16:46:39+08:00,RPA-redis,7.64%,10.58MiB / 15.4GiB,0.07%,350MB / 379MB,32.1MB / 12.3MB,7
2026-06-21T16:46:39+08:00,RPA-grafana,0.20%,132MiB / 15.4GiB,0.84%,23.6MB / 288kB,687MB / 142MB,25
2026-06-21T16:46:39+08:00,RPA-alloy,39.75%,197MiB / 15.4GiB,1.25%,5.02MB / 1.86GB,900MB / 72.1MB,27
2026-06-21T16:46:39+08:00,RPA-loki,8.52%,533.7MiB / 15.4GiB,3.39%,1.86GB / 768MB,674MB / 12.2GB,26
2026-06-21T16:46:39+08:00,rmqbroker,3.74%,1.11GiB / 15.4GiB,7.21%,2.33MB / 3.77MB,669MB / 991MB,324
2026-06-21T16:46:39+08:00,rmqdashboard,0.14%,417MiB / 15.4GiB,2.64%,2.19MB / 1.19MB,353MB / 474MB,66
2026-06-21T16:46:39+08:00,RPA-prometheus,0.00%,328MiB / 15.4GiB,2.08%,359MB / 5.03MB,349MB / 133MB,26
2026-06-21T16:46:39+08:00,RPA-minio,0.03%,178.2MiB / 15.4GiB,1.13%,790MB / 17.7MB,439MB / 1.21GB,53
2026-06-21T16:46:39+08:00,rmqnamesrv,0.13%,125.4MiB / 15.4GiB,0.80%,3.34MB / 2.54MB,243MB / 480MB,81
2026-06-21T16:46:39+08:00,RPA-cadvisor,3.22%,273.3MiB / 15.4GiB,1.73%,4.98MB / 357MB,211MB / 20.7MB,28
2026-06-21T16:46:39+08:00,script-k6-run-0f11f4f5141a,262.92%,76.13MiB / 15.4GiB,0.48%,10.3MB / 13.9MB,0B / 0B,25
2026-06-21T16:46:42+08:00,script-k6-run-0f11f4f5141a,268.29%,205.8MiB / 15.4GiB,1.31%,34.5MB / 46.3MB,0B / 0B,25
2026-06-21T16:46:42+08:00,RPA-app,151.10%,16.93MiB / 2GiB,0.83%,1.06GB / 771MB,0B / 45.1kB,9
2026-06-21T16:46:42+08:00,RPA-pgdb,2.06%,118.7MiB / 15.4GiB,0.75%,1.1GB / 8.39GB,57.3MB / 1.05GB,14
2026-06-21T16:46:42+08:00,RPA-redis,24.62%,9.371MiB / 15.4GiB,0.06%,361MB / 388MB,32.1MB / 12.3MB,7
2026-06-21T16:46:42+08:00,RPA-grafana,0.11%,132.6MiB / 15.4GiB,0.84%,23.6MB / 288kB,688MB / 142MB,25
2026-06-21T16:46:42+08:00,RPA-alloy,1.25%,208.8MiB / 15.4GiB,1.32%,5.03MB / 1.86GB,900MB / 72.1MB,27
2026-06-21T16:46:42+08:00,RPA-loki,12.13%,538.1MiB / 15.4GiB,3.41%,1.86GB / 768MB,674MB / 12.2GB,26
