timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:46:26+08:00,RPA-app,58.02%,17.25MiB / 2GiB,0.84%,879MB / 619MB,0B / 41kB,9
2026-06-21T16:46:26+08:00,RPA-pgdb,0.02%,118.7MiB / 15.4GiB,0.75%,1.1GB / 8.39GB,57.3MB / 1.05GB,14
2026-06-21T16:46:26+08:00,RPA-redis,8.95%,9.613MiB / 15.4GiB,0.06%,322MB / 357MB,32.1MB / 12.3MB,7
2026-06-21T16:46:26+08:00,RPA-grafana,0.12%,132.2MiB / 15.4GiB,0.84%,23.6MB / 288kB,687MB / 142MB,25
2026-06-21T16:46:26+08:00,RPA-alloy,0.96%,204.8MiB / 15.4GiB,1.30%,5MB / 1.85GB,900MB / 72MB,27
2026-06-21T16:46:26+08:00,RPA-loki,6.09%,535.8MiB / 15.4GiB,3.40%,1.85GB / 760MB,674MB / 12.1GB,26
2026-06-21T16:46:26+08:00,rmqbroker,3.94%,1.108GiB / 15.4GiB,7.20%,2.33MB / 3.76MB,666MB / 991MB,324
2026-06-21T16:46:26+08:00,rmqdashboard,0.06%,416.9MiB / 15.4GiB,2.64%,2.19MB / 1.19MB,353MB / 474MB,66
2026-06-21T16:46:26+08:00,RPA-prometheus,0.04%,327.2MiB / 15.4GiB,2.08%,358MB / 5.02MB,349MB / 133MB,26
2026-06-21T16:46:26+08:00,RPA-minio,0.09%,177.8MiB / 15.4GiB,1.13%,782MB / 17.7MB,439MB / 1.2GB,53
2026-06-21T16:46:26+08:00,rmqnamesrv,0.13%,125.3MiB / 15.4GiB,0.79%,3.34MB / 2.53MB,243MB / 480MB,81
2026-06-21T16:46:26+08:00,RPA-cadvisor,5.71%,227.8MiB / 15.4GiB,1.44%,4.98MB / 357MB,211MB / 20.7MB,28
2026-06-21T16:46:26+08:00,script-k6-run-abf0a9a627ca,265.23%,78.03MiB / 15.4GiB,0.49%,10.8MB / 14.4MB,0B / 0B,25
2026-06-21T16:46:30+08:00,script-k6-run-abf0a9a627ca,265.74%,209.7MiB / 15.4GiB,1.33%,35.2MB / 46.8MB,0B / 0B,25
2026-06-21T16:46:30+08:00,RPA-app,152.35%,16.78MiB / 2GiB,0.82%,931MB / 663MB,0B / 41kB,9
2026-06-21T16:46:30+08:00,RPA-pgdb,0.00%,118.7MiB / 15.4GiB,0.75%,1.1GB / 8.39GB,57.3MB / 1.05GB,14
2026-06-21T16:46:30+08:00,RPA-redis,25.50%,9.363MiB / 15.4GiB,0.06%,333MB / 366MB,32.1MB / 12.3MB,7
2026-06-21T16:46:30+08:00,RPA-grafana,0.12%,132MiB / 15.4GiB,0.84%,23.6MB / 288kB,687MB / 142MB,25
2026-06-21T16:46:30+08:00,RPA-alloy,62.84%,196.4MiB / 15.4GiB,1.25%,5MB / 1.85GB,900MB / 72.1MB,27
2026-06-21T16:46:30+08:00,RPA-loki,14.25%,521.8MiB / 15.4GiB,3.31%,1.85GB / 760MB,674MB / 12.1GB,26
2026-06-21T16:46:30+08:00,rmqbroker,3.92%,1.109GiB / 15.4GiB,7.20%,2.33MB / 3.77MB,667MB / 991MB,324
2026-06-21T16:46:30+08:00,rmqdashboard,0.05%,417MiB / 15.4GiB,2.64%,2.19MB / 1.19MB,353MB / 474MB,66
2026-06-21T16:46:30+08:00,RPA-prometheus,0.00%,327.4MiB / 15.4GiB,2.08%,359MB / 5.03MB,349MB / 133MB,26
