timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:48:10+08:00,RPA-app,41.77%,76.71MiB / 2GiB,3.75%,2.39GB / 1.99GB,0B / 73.7kB,9
2026-06-21T16:48:10+08:00,RPA-pgdb,0.02%,120.4MiB / 15.4GiB,0.76%,1.19GB / 9.07GB,57.3MB / 1.05GB,14
2026-06-21T16:48:10+08:00,RPA-redis,0.15%,8.352MiB / 15.4GiB,0.05%,473MB / 508MB,32.1MB / 12.4MB,7
2026-06-21T16:48:10+08:00,RPA-grafana,1.16%,158.1MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:48:10+08:00,RPA-alloy,1.79%,207.7MiB / 15.4GiB,1.32%,5.2MB / 1.93GB,900MB / 72.4MB,27
2026-06-21T16:48:10+08:00,RPA-loki,14.00%,584.4MiB / 15.4GiB,3.71%,1.93GB / 788MB,674MB / 12.6GB,26
2026-06-21T16:48:10+08:00,rmqbroker,3.96%,1.124GiB / 15.4GiB,7.30%,2.37MB / 3.81MB,685MB / 993MB,324
2026-06-21T16:48:10+08:00,rmqdashboard,0.06%,416.9MiB / 15.4GiB,2.64%,2.21MB / 1.2MB,353MB / 475MB,66
2026-06-21T16:48:10+08:00,RPA-prometheus,0.00%,399.3MiB / 15.4GiB,2.53%,361MB / 5.07MB,349MB / 134MB,26
2026-06-21T16:48:10+08:00,RPA-minio,0.02%,178.6MiB / 15.4GiB,1.13%,810MB / 17.8MB,439MB / 1.24GB,53
2026-06-21T16:48:10+08:00,rmqnamesrv,0.11%,127MiB / 15.4GiB,0.81%,3.36MB / 2.55MB,243MB / 481MB,81
2026-06-21T16:48:10+08:00,RPA-cadvisor,3.49%,284.1MiB / 15.4GiB,1.80%,5.02MB / 359MB,211MB / 20.7MB,28
2026-06-21T16:48:10+08:00,script-k6-run-b47ab2cd285e,352.32%,112.4MiB / 15.4GiB,0.71%,17MB / 9.57MB,4.1kB / 0B,25
2026-06-21T16:48:14+08:00,script-k6-run-b47ab2cd285e,353.03%,264MiB / 15.4GiB,1.67%,43.8MB / 24.6MB,4.1kB / 0B,25
2026-06-21T16:48:14+08:00,RPA-app,142.22%,18.76MiB / 2GiB,0.92%,2.42GB / 2.04GB,0B / 73.7kB,9
2026-06-21T16:48:14+08:00,RPA-pgdb,0.00%,120.4MiB / 15.4GiB,0.76%,1.19GB / 9.07GB,57.3MB / 1.05GB,14
2026-06-21T16:48:14+08:00,RPA-redis,0.17%,8.852MiB / 15.4GiB,0.06%,473MB / 508MB,32.1MB / 12.4MB,7
2026-06-21T16:48:14+08:00,RPA-grafana,0.15%,158.1MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:48:14+08:00,RPA-alloy,95.31%,204.8MiB / 15.4GiB,1.30%,5.21MB / 1.93GB,900MB / 72.4MB,27
2026-06-21T16:48:14+08:00,RPA-loki,5.63%,581MiB / 15.4GiB,3.69%,1.93GB / 788MB,674MB / 12.6GB,26
2026-06-21T16:48:14+08:00,rmqbroker,5.55%,1.124GiB / 15.4GiB,7.30%,2.37MB / 3.81MB,686MB / 993MB,324
2026-06-21T16:48:14+08:00,rmqdashboard,0.07%,416.9MiB / 15.4GiB,2.64%,2.21MB / 1.2MB,353MB / 475MB,66
2026-06-21T16:48:14+08:00,RPA-prometheus,0.91%,399.9MiB / 15.4GiB,2.54%,361MB / 5.07MB,349MB / 134MB,26
2026-06-21T16:48:14+08:00,RPA-minio,0.02%,178.6MiB / 15.4GiB,1.13%,810MB / 17.8MB,439MB / 1.24GB,53
2026-06-21T16:48:14+08:00,rmqnamesrv,0.17%,127.5MiB / 15.4GiB,0.81%,3.37MB / 2.55MB,243MB / 481MB,81
2026-06-21T16:48:14+08:00,RPA-cadvisor,58.61%,260MiB / 15.4GiB,1.65%,5.02MB / 360MB,211MB / 20.7MB,28
2026-06-21T16:48:17+08:00,script-k6-run-b47ab2cd285e,326.91%,216MiB / 15.4GiB,1.37%,83.4MB / 46.9MB,4.1kB / 0B,25
2026-06-21T16:48:17+08:00,RPA-app,142.77%,18.47MiB / 2GiB,0.90%,2.43GB / 2.06GB,0B / 73.7kB,9
2026-06-21T16:48:17+08:00,RPA-pgdb,0.01%,120.4MiB / 15.4GiB,0.76%,1.19GB / 9.07GB,57.3MB / 1.05GB,14
2026-06-21T16:48:17+08:00,RPA-redis,0.14%,8.852MiB / 15.4GiB,0.06%,473MB / 508MB,32.1MB / 12.4MB,7
2026-06-21T16:48:17+08:00,RPA-grafana,0.13%,158.1MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:48:17+08:00,RPA-alloy,54.55%,204.5MiB / 15.4GiB,1.30%,5.21MB / 1.93GB,900MB / 72.4MB,27
2026-06-21T16:48:17+08:00,RPA-loki,18.13%,570MiB / 15.4GiB,3.62%,1.93GB / 799MB,674MB / 12.6GB,26
2026-06-21T16:48:17+08:00,rmqbroker,4.35%,1.126GiB / 15.4GiB,7.31%,2.37MB / 3.81MB,686MB / 993MB,324
2026-06-21T16:48:17+08:00,rmqdashboard,0.07%,416.9MiB / 15.4GiB,2.64%,2.21MB / 1.2MB,353MB / 475MB,66
2026-06-21T16:48:17+08:00,RPA-prometheus,0.00%,399.6MiB / 15.4GiB,2.53%,361MB / 5.07MB,349MB / 134MB,26
2026-06-21T16:48:17+08:00,RPA-minio,0.03%,179MiB / 15.4GiB,1.14%,821MB / 17.8MB,439MB / 1.25GB,53
2026-06-21T16:48:17+08:00,rmqnamesrv,0.11%,127.3MiB / 15.4GiB,0.81%,3.37MB / 2.55MB,243MB / 481MB,81
2026-06-21T16:48:17+08:00,RPA-cadvisor,6.99%,278.4MiB / 15.4GiB,1.77%,5.02MB / 360MB,211MB / 20.7MB,28
2026-06-21T16:48:20+08:00,script-k6-run-b47ab2cd285e,220.99%,381.1MiB / 15.4GiB,2.42%,108MB / 60.5MB,4.1kB / 0B,25
2026-06-21T16:48:20+08:00,RPA-app,72.81%,16.34MiB / 2GiB,0.80%,2.45GB / 2.09GB,0B / 73.7kB,9
2026-06-21T16:48:20+08:00,RPA-pgdb,0.00%,120.4MiB / 15.4GiB,0.76%,1.19GB / 9.07GB,57.3MB / 1.05GB,14
2026-06-21T16:48:20+08:00,RPA-redis,0.47%,9.727MiB / 15.4GiB,0.06%,473MB / 508MB,32.1MB / 12.4MB,7
2026-06-21T16:48:20+08:00,RPA-grafana,0.13%,158.1MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:48:20+08:00,RPA-alloy,37.74%,200.4MiB / 15.4GiB,1.27%,5.22MB / 1.94GB,900MB / 72.4MB,27
2026-06-21T16:48:20+08:00,RPA-loki,11.36%,555.3MiB / 15.4GiB,3.52%,1.94GB / 799MB,674MB / 12.6GB,26
2026-06-21T16:48:20+08:00,rmqbroker,4.50%,1.126GiB / 15.4GiB,7.31%,2.37MB / 3.81MB,686MB / 993MB,324
2026-06-21T16:48:20+08:00,rmqdashboard,0.13%,417.2MiB / 15.4GiB,2.65%,2.21MB / 1.2MB,353MB / 475MB,66
2026-06-21T16:48:20+08:00,RPA-prometheus,0.42%,400.8MiB / 15.4GiB,2.54%,361MB / 5.07MB,349MB / 134MB,26
2026-06-21T16:48:20+08:00,RPA-minio,0.02%,178.9MiB / 15.4GiB,1.13%,821MB / 17.8MB,439MB / 1.25GB,53
2026-06-21T16:48:20+08:00,rmqnamesrv,0.16%,127.6MiB / 15.4GiB,0.81%,3.37MB / 2.55MB,243MB / 481MB,81
2026-06-21T16:48:20+08:00,RPA-cadvisor,2.23%,277.8MiB / 15.4GiB,1.76%,5.02MB / 360MB,211MB / 20.7MB,28
