timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:48:23+08:00,RPA-app,44.62%,17.71MiB / 2GiB,0.86%,2.45GB / 2.1GB,0B / 77.8kB,9
2026-06-21T16:48:23+08:00,RPA-pgdb,0.02%,120.4MiB / 15.4GiB,0.76%,1.19GB / 9.07GB,57.3MB / 1.05GB,14
2026-06-21T16:48:23+08:00,RPA-redis,0.14%,8.852MiB / 15.4GiB,0.06%,473MB / 508MB,32.1MB / 12.4MB,7
2026-06-21T16:48:23+08:00,RPA-grafana,0.13%,158.1MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:48:23+08:00,RPA-alloy,18.36%,200.8MiB / 15.4GiB,1.27%,5.22MB / 1.94GB,900MB / 72.4MB,27
2026-06-21T16:48:23+08:00,RPA-loki,9.86%,556.2MiB / 15.4GiB,3.53%,1.94GB / 799MB,674MB / 12.7GB,26
2026-06-21T16:48:23+08:00,rmqbroker,3.75%,1.126GiB / 15.4GiB,7.31%,2.37MB / 3.81MB,687MB / 993MB,324
2026-06-21T16:48:23+08:00,rmqdashboard,0.06%,416.9MiB / 15.4GiB,2.64%,2.21MB / 1.2MB,353MB / 475MB,66
2026-06-21T16:48:23+08:00,RPA-prometheus,0.00%,400.5MiB / 15.4GiB,2.54%,361MB / 5.07MB,349MB / 134MB,26
2026-06-21T16:48:23+08:00,RPA-minio,0.02%,178.9MiB / 15.4GiB,1.13%,821MB / 17.8MB,439MB / 1.25GB,53
2026-06-21T16:48:23+08:00,rmqnamesrv,0.13%,127.1MiB / 15.4GiB,0.81%,3.37MB / 2.55MB,243MB / 481MB,81
2026-06-21T16:48:23+08:00,RPA-cadvisor,3.67%,277.6MiB / 15.4GiB,1.76%,5.02MB / 360MB,211MB / 20.7MB,28
2026-06-21T16:48:23+08:00,script-k6-run-18655cd07d52,352.18%,110.2MiB / 15.4GiB,0.70%,16.8MB / 9.82MB,4.1kB / 0B,25
2026-06-21T16:48:26+08:00,script-k6-run-18655cd07d52,355.83%,252.8MiB / 15.4GiB,1.60%,43.2MB / 25.3MB,4.1kB / 0B,25
2026-06-21T16:48:26+08:00,RPA-app,142.51%,18.46MiB / 2GiB,0.90%,2.48GB / 2.15GB,0B / 77.8kB,9
2026-06-21T16:48:26+08:00,RPA-pgdb,0.00%,120.4MiB / 15.4GiB,0.76%,1.19GB / 9.07GB,57.3MB / 1.05GB,14
2026-06-21T16:48:26+08:00,RPA-redis,0.14%,8.352MiB / 15.4GiB,0.05%,473MB / 508MB,32.1MB / 12.4MB,7
2026-06-21T16:48:26+08:00,RPA-grafana,0.09%,158.1MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:48:26+08:00,RPA-alloy,1.39%,201.2MiB / 15.4GiB,1.28%,5.23MB / 1.94GB,900MB / 72.4MB,27
2026-06-21T16:48:26+08:00,RPA-loki,13.44%,567.7MiB / 15.4GiB,3.60%,1.94GB / 799MB,674MB / 12.7GB,26
2026-06-21T16:48:26+08:00,rmqbroker,3.73%,1.127GiB / 15.4GiB,7.32%,2.37MB / 3.81MB,687MB / 993MB,324
2026-06-21T16:48:26+08:00,rmqdashboard,0.06%,416.9MiB / 15.4GiB,2.64%,2.21MB / 1.2MB,353MB / 475MB,66
2026-06-21T16:48:26+08:00,RPA-prometheus,0.04%,400.5MiB / 15.4GiB,2.54%,361MB / 5.07MB,349MB / 134MB,26
2026-06-21T16:48:26+08:00,RPA-minio,0.06%,178.9MiB / 15.4GiB,1.13%,821MB / 17.8MB,439MB / 1.25GB,53
2026-06-21T16:48:26+08:00,rmqnamesrv,0.11%,127.1MiB / 15.4GiB,0.81%,3.37MB / 2.55MB,243MB / 481MB,81
2026-06-21T16:48:26+08:00,RPA-cadvisor,3.00%,235.7MiB / 15.4GiB,1.50%,5.02MB / 360MB,211MB / 20.7MB,28
2026-06-21T16:48:29+08:00,script-k6-run-18655cd07d52,330.17%,213MiB / 15.4GiB,1.35%,86.3MB / 50.5MB,4.1kB / 0B,25
2026-06-21T16:48:29+08:00,RPA-app,142.17%,17.95MiB / 2GiB,0.88%,2.5GB / 2.18GB,0B / 77.8kB,9
2026-06-21T16:48:29+08:00,RPA-pgdb,0.00%,120.4MiB / 15.4GiB,0.76%,1.19GB / 9.07GB,57.3MB / 1.05GB,14
2026-06-21T16:48:29+08:00,RPA-redis,0.18%,8.602MiB / 15.4GiB,0.05%,473MB / 508MB,32.1MB / 12.4MB,7
2026-06-21T16:48:29+08:00,RPA-grafana,0.15%,158.1MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:48:29+08:00,RPA-alloy,2.30%,201MiB / 15.4GiB,1.27%,5.24MB / 1.94GB,900MB / 72.4MB,27
2026-06-21T16:48:29+08:00,RPA-loki,9.42%,557.1MiB / 15.4GiB,3.53%,1.94GB / 799MB,674MB / 12.7GB,26
2026-06-21T16:48:29+08:00,rmqbroker,5.32%,1.127GiB / 15.4GiB,7.32%,2.38MB / 3.81MB,688MB / 993MB,324
2026-06-21T16:48:29+08:00,rmqdashboard,0.12%,417.2MiB / 15.4GiB,2.65%,2.22MB / 1.2MB,353MB / 475MB,66
2026-06-21T16:48:29+08:00,RPA-prometheus,5.63%,402.1MiB / 15.4GiB,2.55%,362MB / 5.08MB,349MB / 134MB,26
2026-06-21T16:48:29+08:00,RPA-minio,0.01%,178.9MiB / 15.4GiB,1.13%,821MB / 17.8MB,439MB / 1.25GB,53
2026-06-21T16:48:29+08:00,rmqnamesrv,0.16%,127.2MiB / 15.4GiB,0.81%,3.37MB / 2.56MB,243MB / 481MB,81
2026-06-21T16:48:29+08:00,RPA-cadvisor,2.54%,235.7MiB / 15.4GiB,1.50%,5.02MB / 360MB,211MB / 20.7MB,28
2026-06-21T16:48:32+08:00,script-k6-run-18655cd07d52,215.56%,399.5MiB / 15.4GiB,2.53%,112MB / 65.5MB,4.1kB / 0B,25
2026-06-21T16:48:32+08:00,RPA-app,71.24%,15.83MiB / 2GiB,0.77%,2.51GB / 2.21GB,0B / 77.8kB,9
2026-06-21T16:48:32+08:00,RPA-pgdb,0.00%,120.4MiB / 15.4GiB,0.76%,1.19GB / 9.07GB,57.3MB / 1.05GB,14
2026-06-21T16:48:32+08:00,RPA-redis,0.16%,8.605MiB / 15.4GiB,0.05%,473MB / 508MB,32.1MB / 12.4MB,7
2026-06-21T16:48:32+08:00,RPA-grafana,0.14%,158.1MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:48:32+08:00,RPA-alloy,1.10%,208.9MiB / 15.4GiB,1.33%,5.24MB / 1.94GB,900MB / 72.4MB,27
2026-06-21T16:48:32+08:00,RPA-loki,9.26%,558.7MiB / 15.4GiB,3.54%,1.95GB / 799MB,674MB / 12.7GB,26
2026-06-21T16:48:32+08:00,rmqbroker,4.07%,1.128GiB / 15.4GiB,7.33%,2.38MB / 3.81MB,688MB / 993MB,324
2026-06-21T16:48:32+08:00,rmqdashboard,0.06%,417MiB / 15.4GiB,2.64%,2.22MB / 1.2MB,353MB / 475MB,66
2026-06-21T16:48:32+08:00,RPA-prometheus,0.10%,402.8MiB / 15.4GiB,2.55%,362MB / 5.08MB,349MB / 134MB,26
2026-06-21T16:48:32+08:00,RPA-minio,0.02%,178.9MiB / 15.4GiB,1.13%,821MB / 17.8MB,439MB / 1.25GB,53
2026-06-21T16:48:32+08:00,rmqnamesrv,0.12%,127.5MiB / 15.4GiB,0.81%,3.37MB / 2.56MB,243MB / 481MB,81
2026-06-21T16:48:32+08:00,RPA-cadvisor,1.97%,268.2MiB / 15.4GiB,1.70%,5.03MB / 360MB,211MB / 20.7MB,28
2026-06-21T16:48:35+08:00,RPA-app,150.82%,16.32MiB / 2GiB,0.80%,2.53GB / 2.22GB,0B / 81.9kB,9
2026-06-21T16:48:35+08:00,RPA-pgdb,0.00%,120.4MiB / 15.4GiB,0.76%,1.19GB / 9.07GB,57.3MB / 1.05GB,14
2026-06-21T16:48:35+08:00,RPA-redis,24.54%,10.17MiB / 15.4GiB,0.06%,476MB / 511MB,32.1MB / 12.4MB,7
2026-06-21T16:48:35+08:00,RPA-grafana,0.10%,158.1MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:48:35+08:00,RPA-alloy,0.81%,207.4MiB / 15.4GiB,1.32%,5.25MB / 1.95GB,900MB / 72.4MB,27
2026-06-21T16:48:35+08:00,RPA-loki,8.78%,563.7MiB / 15.4GiB,3.58%,1.95GB / 799MB,674MB / 12.8GB,26
2026-06-21T16:48:35+08:00,rmqbroker,2.48%,1.128GiB / 15.4GiB,7.32%,2.38MB / 3.82MB,688MB / 994MB,324
2026-06-21T16:48:35+08:00,rmqdashboard,0.06%,417MiB / 15.4GiB,2.64%,2.22MB / 1.2MB,353MB / 475MB,66
2026-06-21T16:48:35+08:00,RPA-prometheus,0.43%,402.9MiB / 15.4GiB,2.56%,362MB / 5.08MB,349MB / 134MB,26
2026-06-21T16:48:35+08:00,RPA-minio,0.00%,178.9MiB / 15.4GiB,1.13%,821MB / 17.8MB,439MB / 1.25GB,53
2026-06-21T16:48:35+08:00,rmqnamesrv,0.09%,127.3MiB / 15.4GiB,0.81%,3.37MB / 2.56MB,243MB / 481MB,81
2026-06-21T16:48:35+08:00,RPA-cadvisor,3.00%,267.8MiB / 15.4GiB,1.70%,5.03MB / 360MB,211MB / 20.7MB,28
2026-06-21T16:48:35+08:00,script-k6-run-ba62038fdb57,287.22%,65.32MiB / 15.4GiB,0.41%,8.25MB / 14.3MB,958kB / 0B,24
