timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:47:58+08:00,RPA-app,103.34%,17.3MiB / 2GiB,0.84%,2.12GB / 1.89GB,0B / 69.6kB,9
2026-06-21T16:47:58+08:00,RPA-pgdb,2.01%,121.5MiB / 15.4GiB,0.77%,1.19GB / 9.07GB,57.3MB / 1.05GB,14
2026-06-21T16:47:58+08:00,RPA-redis,15.41%,9.105MiB / 15.4GiB,0.06%,451MB / 491MB,32.1MB / 12.4MB,7
2026-06-21T16:47:58+08:00,RPA-grafana,0.15%,158.1MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:47:58+08:00,RPA-alloy,16.81%,203.3MiB / 15.4GiB,1.29%,5.17MB / 1.92GB,900MB / 72.3MB,27
2026-06-21T16:47:58+08:00,RPA-loki,9.40%,554.8MiB / 15.4GiB,3.52%,1.92GB / 788MB,674MB / 12.6GB,26
2026-06-21T16:47:58+08:00,rmqbroker,3.48%,1.123GiB / 15.4GiB,7.29%,2.36MB / 3.8MB,683MB / 993MB,324
2026-06-21T16:47:58+08:00,rmqdashboard,0.07%,417MiB / 15.4GiB,2.64%,2.21MB / 1.2MB,353MB / 475MB,66
2026-06-21T16:47:58+08:00,RPA-prometheus,0.00%,394MiB / 15.4GiB,2.50%,361MB / 5.06MB,349MB / 134MB,26
2026-06-21T16:47:58+08:00,RPA-minio,3.30%,178.9MiB / 15.4GiB,1.13%,810MB / 17.8MB,439MB / 1.24GB,53
2026-06-21T16:47:58+08:00,rmqnamesrv,0.25%,126.3MiB / 15.4GiB,0.80%,3.36MB / 2.55MB,243MB / 481MB,81
2026-06-21T16:47:58+08:00,RPA-cadvisor,3.14%,232.9MiB / 15.4GiB,1.48%,5.01MB / 359MB,211MB / 20.7MB,28
2026-06-21T16:47:58+08:00,script-k6-run-53ec6405fdef,307.61%,86.86MiB / 15.4GiB,0.55%,13.7MB / 45.7MB,4.1kB / 0B,24
2026-06-21T16:48:01+08:00,script-k6-run-53ec6405fdef,314.83%,200.1MiB / 15.4GiB,1.27%,38.5MB / 126MB,4.1kB / 0B,25
2026-06-21T16:48:01+08:00,RPA-app,147.01%,16.83MiB / 2GiB,0.82%,2.24GB / 1.93GB,0B / 69.6kB,9
2026-06-21T16:48:01+08:00,RPA-pgdb,0.00%,120.4MiB / 15.4GiB,0.76%,1.19GB / 9.07GB,57.3MB / 1.05GB,14
2026-06-21T16:48:01+08:00,RPA-redis,23.00%,10.07MiB / 15.4GiB,0.06%,461MB / 498MB,32.1MB / 12.4MB,7
2026-06-21T16:48:01+08:00,RPA-grafana,0.09%,158.1MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:48:01+08:00,RPA-alloy,1.37%,203.7MiB / 15.4GiB,1.29%,5.18MB / 1.92GB,900MB / 72.3MB,27
2026-06-21T16:48:01+08:00,RPA-loki,12.99%,553.3MiB / 15.4GiB,3.51%,1.92GB / 788MB,674MB / 12.6GB,26
2026-06-21T16:48:01+08:00,rmqbroker,4.32%,1.124GiB / 15.4GiB,7.30%,2.37MB / 3.8MB,684MB / 993MB,324
2026-06-21T16:48:01+08:00,rmqdashboard,0.05%,416.9MiB / 15.4GiB,2.64%,2.21MB / 1.2MB,353MB / 475MB,66
2026-06-21T16:48:01+08:00,RPA-prometheus,0.00%,398.5MiB / 15.4GiB,2.53%,361MB / 5.06MB,349MB / 134MB,26
2026-06-21T16:48:01+08:00,RPA-minio,0.02%,178.6MiB / 15.4GiB,1.13%,810MB / 17.8MB,439MB / 1.24GB,53
2026-06-21T16:48:01+08:00,rmqnamesrv,0.08%,127.4MiB / 15.4GiB,0.81%,3.36MB / 2.55MB,243MB / 481MB,81
2026-06-21T16:48:01+08:00,RPA-cadvisor,2.84%,263.6MiB / 15.4GiB,1.67%,5.02MB / 359MB,211MB / 20.7MB,28
2026-06-21T16:48:04+08:00,script-k6-run-53ec6405fdef,300.45%,163.3MiB / 15.4GiB,1.04%,63.5MB / 208MB,4.1kB / 0B,25
2026-06-21T16:48:04+08:00,RPA-app,146.75%,16.87MiB / 2GiB,0.82%,2.33GB / 1.96GB,0B / 69.6kB,9
2026-06-21T16:48:04+08:00,RPA-pgdb,0.00%,120.4MiB / 15.4GiB,0.76%,1.19GB / 9.07GB,57.3MB / 1.05GB,14
2026-06-21T16:48:04+08:00,RPA-redis,23.28%,9.109MiB / 15.4GiB,0.06%,466MB / 502MB,32.1MB / 12.4MB,7
2026-06-21T16:48:04+08:00,RPA-grafana,0.10%,158.4MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:48:04+08:00,RPA-alloy,1.38%,207.3MiB / 15.4GiB,1.31%,5.19MB / 1.92GB,900MB / 72.3MB,27
2026-06-21T16:48:04+08:00,RPA-loki,9.36%,562.8MiB / 15.4GiB,3.57%,1.93GB / 788MB,674MB / 12.6GB,26
