timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:48:35+08:00,RPA-app,150.82%,16.32MiB / 2GiB,0.80%,2.53GB / 2.22GB,0B / 81.9kB,9
2026-06-21T16:48:35+08:00,RPA-pgdb,0.00%,120.4MiB / 15.4GiB,0.76%,1.19GB / 9.07GB,57.3MB / 1.05GB,14
2026-06-21T16:48:35+08:00,RPA-redis,24.54%,10.17MiB / 15.4GiB,0.06%,476MB / 511MB,32.1MB / 12.4MB,7
2026-06-21T16:48:35+08:00,RPA-grafana,0.10%,158.1MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:48:35+08:00,RPA-alloy,0.81%,207.4MiB / 15.4GiB,1.32%,5.25MB / 1.95GB,900MB / 72.4MB,27
2026-06-21T16:48:35+08:00,RPA-loki,8.78%,563.7MiB / 15.4GiB,3.58%,1.95GB / 799MB,674MB / 12.8GB,26
2026-06-21T16:48:35+08:00,rmqbroker,2.48%,1.128GiB / 15.4GiB,7.32%,2.38MB / 3.82MB,688MB / 994MB,324
2026-06-21T16:48:35+08:00,rmqdashboard,0.06%,417MiB / 15.4GiB,2.64%,2.22MB / 1.2MB,353MB / 475MB,66
2026-06-21T16:48:35+08:00,RPA-prometheus,0.43%,402.9MiB / 15.4GiB,2.56%,362MB / 5.08MB,349MB / 134MB,26
2026-06-21T16:48:35+08:00,RPA-minio,0.00%,178.9MiB / 15.4GiB,1.13%,821MB / 17.8MB,439MB / 1.25GB,53
2026-06-21T16:48:35+08:00,rmqnamesrv,0.09%,127.3MiB / 15.4GiB,0.81%,3.37MB / 2.56MB,243MB / 481MB,81
2026-06-21T16:48:35+08:00,RPA-cadvisor,2.32%,267.8MiB / 15.4GiB,1.70%,5.03MB / 360MB,211MB / 20.7MB,28
2026-06-21T16:48:35+08:00,script-k6-run-ba62038fdb57,287.22%,65.32MiB / 15.4GiB,0.41%,8.25MB / 14.3MB,958kB / 0B,24
2026-06-21T16:48:38+08:00,script-k6-run-ba62038fdb57,287.68%,186.6MiB / 15.4GiB,1.18%,31.4MB / 54.2MB,958kB / 0B,25
2026-06-21T16:48:38+08:00,RPA-app,150.68%,17.78MiB / 2GiB,0.87%,2.58GB / 2.25GB,0B / 81.9kB,9
2026-06-21T16:48:38+08:00,RPA-pgdb,2.06%,120.9MiB / 15.4GiB,0.77%,1.19GB / 9.07GB,57.3MB / 1.05GB,14
2026-06-21T16:48:38+08:00,RPA-redis,24.00%,9.852MiB / 15.4GiB,0.06%,484MB / 517MB,32.1MB / 12.4MB,7
