timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:47:03+08:00,RPA-app,31.63%,15.32MiB / 2GiB,0.75%,1.27GB / 950MB,0B / 53.2kB,9
2026-06-21T16:47:03+08:00,RPA-pgdb,57.20%,120.5MiB / 15.4GiB,0.76%,1.1GB / 8.4GB,57.3MB / 1.05GB,14
2026-06-21T16:47:03+08:00,RPA-redis,0.11%,8.602MiB / 15.4GiB,0.05%,404MB / 423MB,32.1MB / 12.4MB,7
2026-06-21T16:47:03+08:00,RPA-grafana,0.12%,132.6MiB / 15.4GiB,0.84%,23.6MB / 288kB,688MB / 142MB,25
2026-06-21T16:47:03+08:00,RPA-alloy,50.77%,208.4MiB / 15.4GiB,1.32%,5.07MB / 1.88GB,900MB / 72.1MB,27
2026-06-21T16:47:03+08:00,RPA-loki,9.25%,545.6MiB / 15.4GiB,3.46%,1.88GB / 768MB,674MB / 12.3GB,26
2026-06-21T16:47:03+08:00,rmqbroker,2.79%,1.115GiB / 15.4GiB,7.24%,2.34MB / 3.78MB,674MB / 992MB,324
2026-06-21T16:47:03+08:00,rmqdashboard,0.11%,417MiB / 15.4GiB,2.65%,2.2MB / 1.19MB,353MB / 475MB,66
2026-06-21T16:47:03+08:00,RPA-prometheus,0.07%,366.6MiB / 15.4GiB,2.33%,360MB / 5.04MB,349MB / 133MB,26
2026-06-21T16:47:03+08:00,RPA-minio,0.02%,179.3MiB / 15.4GiB,1.14%,790MB / 17.7MB,439MB / 1.21GB,53
2026-06-21T16:47:03+08:00,rmqnamesrv,0.13%,126MiB / 15.4GiB,0.80%,3.34MB / 2.54MB,243MB / 481MB,81
2026-06-21T16:47:03+08:00,RPA-cadvisor,3.27%,265.6MiB / 15.4GiB,1.68%,4.99MB / 358MB,211MB / 20.7MB,28
2026-06-21T16:47:03+08:00,script-k6-run-276ff29cf672,15.33%,15.03MiB / 15.4GiB,0.10%,9.32MB / 237kB,0B / 0B,20
