timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:47:06+08:00,RPA-app,5.58%,16.71MiB / 2GiB,0.82%,1.27GB / 951MB,0B / 53.2kB,9
2026-06-21T16:47:06+08:00,RPA-pgdb,107.72%,124.7MiB / 15.4GiB,0.79%,1.1GB / 8.4GB,57.3MB / 1.05GB,14
2026-06-21T16:47:06+08:00,RPA-redis,0.11%,8.852MiB / 15.4GiB,0.06%,404MB / 423MB,32.1MB / 12.4MB,7
2026-06-21T16:47:06+08:00,RPA-grafana,0.13%,132.8MiB / 15.4GiB,0.84%,23.6MB / 288kB,688MB / 142MB,25
2026-06-21T16:47:06+08:00,RPA-alloy,59.77%,196.2MiB / 15.4GiB,1.24%,5.07MB / 1.88GB,900MB / 72.1MB,27
2026-06-21T16:47:06+08:00,RPA-loki,3.94%,544.8MiB / 15.4GiB,3.46%,1.88GB / 768MB,674MB / 12.3GB,26
2026-06-21T16:47:06+08:00,rmqbroker,3.61%,1.115GiB / 15.4GiB,7.24%,2.34MB / 3.78MB,674MB / 992MB,324
2026-06-21T16:47:06+08:00,rmqdashboard,0.07%,417MiB / 15.4GiB,2.65%,2.2MB / 1.19MB,353MB / 475MB,66
2026-06-21T16:47:06+08:00,RPA-prometheus,0.02%,366.2MiB / 15.4GiB,2.32%,360MB / 5.04MB,349MB / 133MB,26
2026-06-21T16:47:06+08:00,RPA-minio,0.02%,179.3MiB / 15.4GiB,1.14%,790MB / 17.7MB,439MB / 1.21GB,53
2026-06-21T16:47:06+08:00,rmqnamesrv,0.11%,125.7MiB / 15.4GiB,0.80%,3.35MB / 2.54MB,243MB / 481MB,81
2026-06-21T16:47:06+08:00,RPA-cadvisor,6.22%,227.1MiB / 15.4GiB,1.44%,4.99MB / 358MB,211MB / 20.7MB,28
2026-06-21T16:47:06+08:00,script-k6-run-866d3c54f2d9,10.12%,17.88MiB / 15.4GiB,0.11%,5.54MB / 158kB,0B / 0B,20
2026-06-21T16:47:10+08:00,script-k6-run-866d3c54f2d9,10.67%,20.11MiB / 15.4GiB,0.13%,18.5MB / 521kB,0B / 0B,21
2026-06-21T16:47:10+08:00,RPA-app,20.74%,16.82MiB / 2GiB,0.82%,1.29GB / 969MB,0B / 53.2kB,9
2026-06-21T16:47:10+08:00,RPA-pgdb,476.49%,124.4MiB / 15.4GiB,0.79%,1.1GB / 8.41GB,57.3MB / 1.05GB,14
2026-06-21T16:47:10+08:00,RPA-redis,0.63%,8.602MiB / 15.4GiB,0.05%,404MB / 423MB,32.1MB / 12.4MB,7
