timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:47:18+08:00,RPA-app,50.87%,18.64MiB / 2GiB,0.91%,1.32GB / 1GB,0B / 57.3kB,9
2026-06-21T16:47:18+08:00,RPA-pgdb,26.02%,124.5MiB / 15.4GiB,0.79%,1.1GB / 8.44GB,57.3MB / 1.05GB,14
2026-06-21T16:47:18+08:00,RPA-redis,4.75%,8.867MiB / 15.4GiB,0.06%,404MB / 423MB,32.1MB / 12.4MB,7
2026-06-21T16:47:18+08:00,RPA-grafana,0.18%,132.6MiB / 15.4GiB,0.84%,23.6MB / 288kB,688MB / 142MB,25
2026-06-21T16:47:18+08:00,RPA-alloy,41.41%,197.1MiB / 15.4GiB,1.25%,5.1MB / 1.89GB,900MB / 72.2MB,27
2026-06-21T16:47:18+08:00,RPA-loki,6.56%,530.4MiB / 15.4GiB,3.36%,1.89GB / 778MB,674MB / 12.4GB,26
2026-06-21T16:47:18+08:00,rmqbroker,3.87%,1.116GiB / 15.4GiB,7.25%,2.35MB / 3.79MB,676MB / 992MB,324
2026-06-21T16:47:18+08:00,rmqdashboard,0.16%,417MiB / 15.4GiB,2.65%,2.2MB / 1.19MB,353MB / 475MB,66
2026-06-21T16:47:18+08:00,RPA-prometheus,0.00%,380MiB / 15.4GiB,2.41%,360MB / 5.05MB,349MB / 133MB,26
2026-06-21T16:47:18+08:00,RPA-minio,0.03%,179.6MiB / 15.4GiB,1.14%,799MB / 17.7MB,439MB / 1.22GB,53
2026-06-21T16:47:18+08:00,rmqnamesrv,0.12%,125.9MiB / 15.4GiB,0.80%,3.35MB / 2.54MB,243MB / 481MB,81
2026-06-21T16:47:18+08:00,RPA-cadvisor,3.05%,267.9MiB / 15.4GiB,1.70%,5MB / 358MB,211MB / 20.7MB,28
2026-06-21T16:47:18+08:00,script-k6-run-121b6caf376c,133.85%,44.92MiB / 15.4GiB,0.28%,32.4MB / 3.78MB,0B / 0B,24
2026-06-21T16:47:22+08:00,script-k6-run-121b6caf376c,131.20%,86.71MiB / 15.4GiB,0.55%,83MB / 9.68MB,0B / 0B,24
2026-06-21T16:47:22+08:00,RPA-app,166.29%,18.47MiB / 2GiB,0.90%,1.42GB / 1.12GB,0B / 57.3kB,9
2026-06-21T16:47:22+08:00,RPA-pgdb,70.06%,123.9MiB / 15.4GiB,0.79%,1.11GB / 8.52GB,57.3MB / 1.05GB,14
2026-06-21T16:47:22+08:00,RPA-redis,15.02%,9.355MiB / 15.4GiB,0.06%,411MB / 432MB,32.1MB / 12.4MB,7
2026-06-21T16:47:22+08:00,RPA-grafana,0.11%,132.6MiB / 15.4GiB,0.84%,23.6MB / 288kB,688MB / 142MB,25
2026-06-21T16:47:22+08:00,RPA-alloy,1.07%,200.7MiB / 15.4GiB,1.27%,5.1MB / 1.89GB,900MB / 72.2MB,27
2026-06-21T16:47:22+08:00,RPA-loki,10.64%,540.4MiB / 15.4GiB,3.43%,1.89GB / 778MB,674MB / 12.4GB,26
2026-06-21T16:47:22+08:00,rmqbroker,3.48%,1.117GiB / 15.4GiB,7.25%,2.35MB / 3.79MB,677MB / 992MB,324
2026-06-21T16:47:22+08:00,rmqdashboard,0.05%,416.9MiB / 15.4GiB,2.64%,2.2MB / 1.19MB,353MB / 475MB,66
2026-06-21T16:47:22+08:00,RPA-prometheus,0.00%,380.2MiB / 15.4GiB,2.41%,360MB / 5.05MB,349MB / 133MB,26
2026-06-21T16:47:22+08:00,RPA-minio,0.01%,179.6MiB / 15.4GiB,1.14%,799MB / 17.7MB,439MB / 1.22GB,53
2026-06-21T16:47:22+08:00,rmqnamesrv,0.10%,125.9MiB / 15.4GiB,0.80%,3.35MB / 2.54MB,243MB / 481MB,81
2026-06-21T16:47:22+08:00,RPA-cadvisor,3.95%,279.4MiB / 15.4GiB,1.77%,5MB / 358MB,211MB / 20.7MB,28
2026-06-21T16:47:25+08:00,script-k6-run-121b6caf376c,126.32%,90.03MiB / 15.4GiB,0.57%,185MB / 21.6MB,0B / 0B,25
2026-06-21T16:47:25+08:00,RPA-app,166.40%,17.32MiB / 2GiB,0.85%,1.5GB / 1.21GB,0B / 57.3kB,9
2026-06-21T16:47:25+08:00,RPA-pgdb,71.82%,123.8MiB / 15.4GiB,0.79%,1.12GB / 8.59GB,57.3MB / 1.05GB,14
2026-06-21T16:47:25+08:00,RPA-redis,15.12%,9.824MiB / 15.4GiB,0.06%,416MB / 439MB,32.1MB / 12.4MB,7
2026-06-21T16:47:25+08:00,RPA-grafana,0.13%,155.8MiB / 15.4GiB,0.99%,23.6MB / 288kB,712MB / 142MB,25
2026-06-21T16:47:25+08:00,RPA-alloy,1.17%,200.7MiB / 15.4GiB,1.27%,5.11MB / 1.89GB,900MB / 72.2MB,27
2026-06-21T16:47:25+08:00,RPA-loki,8.80%,543.2MiB / 15.4GiB,3.45%,1.9GB / 778MB,674MB / 12.4GB,26
2026-06-21T16:47:25+08:00,rmqbroker,3.91%,1.117GiB / 15.4GiB,7.26%,2.35MB / 3.79MB,677MB / 992MB,324
