timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:47:45+08:00,RPA-app,33.47%,18.12MiB / 2GiB,0.88%,1.84GB / 1.59GB,0B / 65.5kB,9
2026-06-21T16:47:45+08:00,RPA-pgdb,14.96%,123.8MiB / 15.4GiB,0.79%,1.16GB / 8.86GB,57.3MB / 1.05GB,14
2026-06-21T16:47:45+08:00,RPA-redis,3.10%,8.859MiB / 15.4GiB,0.06%,435MB / 467MB,32.1MB / 12.4MB,7
2026-06-21T16:47:45+08:00,RPA-grafana,0.14%,158.1MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:47:45+08:00,RPA-alloy,1.43%,199.8MiB / 15.4GiB,1.27%,5.15MB / 1.91GB,900MB / 72.3MB,27
2026-06-21T16:47:45+08:00,RPA-loki,7.07%,540MiB / 15.4GiB,3.43%,1.91GB / 788MB,674MB / 12.5GB,26
2026-06-21T16:47:45+08:00,rmqbroker,4.26%,1.12GiB / 15.4GiB,7.28%,2.36MB / 3.8MB,681MB / 992MB,324
2026-06-21T16:47:45+08:00,rmqdashboard,0.07%,417MiB / 15.4GiB,2.64%,2.21MB / 1.2MB,353MB / 475MB,66
2026-06-21T16:47:45+08:00,RPA-prometheus,10.73%,394MiB / 15.4GiB,2.50%,361MB / 5.06MB,349MB / 133MB,26
2026-06-21T16:47:45+08:00,RPA-minio,0.00%,179.6MiB / 15.4GiB,1.14%,810MB / 17.8MB,439MB / 1.23GB,53
2026-06-21T16:47:45+08:00,rmqnamesrv,0.14%,126.2MiB / 15.4GiB,0.80%,3.36MB / 2.55MB,243MB / 481MB,81
2026-06-21T16:47:45+08:00,RPA-cadvisor,36.25%,262.7MiB / 15.4GiB,1.67%,5.01MB / 359MB,211MB / 20.7MB,28
2026-06-21T16:47:45+08:00,script-k6-run-34db75cd4bba,136.46%,43.8MiB / 15.4GiB,0.28%,30.7MB / 3.58MB,0B / 0B,22
2026-06-21T16:47:48+08:00,script-k6-run-34db75cd4bba,135.04%,109.3MiB / 15.4GiB,0.69%,109MB / 12.7MB,0B / 0B,25
2026-06-21T16:47:48+08:00,RPA-app,165.95%,17.75MiB / 2GiB,0.87%,1.95GB / 1.71GB,0B / 65.5kB,9
2026-06-21T16:47:48+08:00,RPA-pgdb,70.03%,123.9MiB / 15.4GiB,0.79%,1.17GB / 8.95GB,57.3MB / 1.05GB,14
2026-06-21T16:47:48+08:00,RPA-redis,14.64%,9.605MiB / 15.4GiB,0.06%,441MB / 476MB,32.1MB / 12.4MB,7
2026-06-21T16:47:48+08:00,RPA-grafana,0.20%,158.1MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:47:48+08:00,RPA-alloy,15.60%,200.7MiB / 15.4GiB,1.27%,5.16MB / 1.91GB,900MB / 72.3MB,27
2026-06-21T16:47:48+08:00,RPA-loki,15.61%,551.5MiB / 15.4GiB,3.50%,1.91GB / 788MB,674MB / 12.5GB,26
2026-06-21T16:47:48+08:00,rmqbroker,2.58%,1.121GiB / 15.4GiB,7.28%,2.36MB / 3.8MB,682MB / 993MB,324
2026-06-21T16:47:48+08:00,rmqdashboard,0.14%,417MiB / 15.4GiB,2.64%,2.21MB / 1.2MB,353MB / 475MB,66
2026-06-21T16:47:48+08:00,RPA-prometheus,0.00%,394MiB / 15.4GiB,2.50%,361MB / 5.06MB,349MB / 133MB,26
2026-06-21T16:47:48+08:00,RPA-minio,0.00%,179.6MiB / 15.4GiB,1.14%,810MB / 17.8MB,439MB / 1.23GB,53
2026-06-21T16:47:48+08:00,rmqnamesrv,0.09%,126.5MiB / 15.4GiB,0.80%,3.36MB / 2.55MB,243MB / 481MB,81
2026-06-21T16:47:48+08:00,RPA-cadvisor,2.56%,269.8MiB / 15.4GiB,1.71%,5.01MB / 359MB,211MB / 20.7MB,28
2026-06-21T16:47:51+08:00,script-k6-run-34db75cd4bba,127.52%,90.1MiB / 15.4GiB,0.57%,186MB / 21.7MB,0B / 0B,25
2026-06-21T16:47:51+08:00,RPA-app,167.36%,18.37MiB / 2GiB,0.90%,2.03GB / 1.8GB,0B / 65.5kB,9
2026-06-21T16:47:51+08:00,RPA-pgdb,69.44%,123.7MiB / 15.4GiB,0.78%,1.18GB / 9.01GB,57.3MB / 1.05GB,14
2026-06-21T16:47:51+08:00,RPA-redis,14.87%,9.105MiB / 15.4GiB,0.06%,446MB / 483MB,32.1MB / 12.4MB,7
2026-06-21T16:47:51+08:00,RPA-grafana,0.12%,158.1MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:47:51+08:00,RPA-alloy,24.10%,203.6MiB / 15.4GiB,1.29%,5.16MB / 1.91GB,900MB / 72.3MB,27
2026-06-21T16:47:51+08:00,RPA-loki,14.51%,551.4MiB / 15.4GiB,3.50%,1.92GB / 788MB,674MB / 12.5GB,26
2026-06-21T16:47:51+08:00,rmqbroker,3.55%,1.121GiB / 15.4GiB,7.28%,2.36MB / 3.8MB,682MB / 993MB,324
2026-06-21T16:47:51+08:00,rmqdashboard,0.05%,417MiB / 15.4GiB,2.64%,2.21MB / 1.2MB,353MB / 475MB,66
2026-06-21T16:47:51+08:00,RPA-prometheus,0.00%,394MiB / 15.4GiB,2.50%,361MB / 5.06MB,349MB / 133MB,26
2026-06-21T16:47:51+08:00,RPA-minio,0.02%,179.6MiB / 15.4GiB,1.14%,810MB / 17.8MB,439MB / 1.24GB,53
2026-06-21T16:47:51+08:00,rmqnamesrv,0.09%,126.3MiB / 15.4GiB,0.80%,3.36MB / 2.55MB,243MB / 481MB,81
2026-06-21T16:47:51+08:00,RPA-cadvisor,2.32%,270.8MiB / 15.4GiB,1.72%,5.01MB / 359MB,211MB / 20.7MB,28
2026-06-21T16:47:54+08:00,script-k6-run-34db75cd4bba,106.23%,149.7MiB / 15.4GiB,0.95%,253MB / 29.6MB,0B / 0B,25
2026-06-21T16:47:54+08:00,RPA-app,105.35%,16.04MiB / 2GiB,0.78%,2.1GB / 1.88GB,0B / 65.5kB,9
2026-06-21T16:47:54+08:00,RPA-pgdb,45.50%,121MiB / 15.4GiB,0.77%,1.19GB / 9.07GB,57.3MB / 1.05GB,14
2026-06-21T16:47:54+08:00,RPA-redis,9.62%,8.855MiB / 15.4GiB,0.06%,450MB / 489MB,32.1MB / 12.4MB,7
2026-06-21T16:47:54+08:00,RPA-grafana,0.12%,158.1MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:47:54+08:00,RPA-alloy,55.98%,203.6MiB / 15.4GiB,1.29%,5.17MB / 1.92GB,900MB / 72.3MB,27
2026-06-21T16:47:54+08:00,RPA-loki,4.35%,551.5MiB / 15.4GiB,3.50%,1.92GB / 788MB,674MB / 12.5GB,26
2026-06-21T16:47:54+08:00,rmqbroker,3.75%,1.124GiB / 15.4GiB,7.30%,2.36MB / 3.8MB,683MB / 993MB,324
2026-06-21T16:47:54+08:00,rmqdashboard,0.05%,417MiB / 15.4GiB,2.64%,2.21MB / 1.2MB,353MB / 475MB,66
2026-06-21T16:47:54+08:00,RPA-prometheus,0.09%,394.3MiB / 15.4GiB,2.50%,361MB / 5.06MB,349MB / 133MB,26
2026-06-21T16:47:54+08:00,RPA-minio,0.00%,179.6MiB / 15.4GiB,1.14%,810MB / 17.8MB,439MB / 1.24GB,53
2026-06-21T16:47:54+08:00,rmqnamesrv,0.09%,126.5MiB / 15.4GiB,0.80%,3.36MB / 2.55MB,243MB / 481MB,81
2026-06-21T16:47:54+08:00,RPA-cadvisor,2.27%,270.5MiB / 15.4GiB,1.72%,5.01MB / 359MB,211MB / 20.7MB,28
2026-06-21T16:47:57+08:00,RPA-app,103.34%,17.3MiB / 2GiB,0.84%,2.12GB / 1.89GB,0B / 69.6kB,9
2026-06-21T16:47:57+08:00,RPA-pgdb,2.01%,121.5MiB / 15.4GiB,0.77%,1.19GB / 9.07GB,57.3MB / 1.05GB,14
2026-06-21T16:47:57+08:00,RPA-redis,15.41%,9.105MiB / 15.4GiB,0.06%,451MB / 491MB,32.1MB / 12.4MB,7
2026-06-21T16:47:57+08:00,RPA-grafana,0.15%,158.1MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:47:57+08:00,RPA-alloy,16.81%,203.3MiB / 15.4GiB,1.29%,5.17MB / 1.92GB,900MB / 72.3MB,27
2026-06-21T16:47:57+08:00,RPA-loki,9.40%,554.8MiB / 15.4GiB,3.52%,1.92GB / 788MB,674MB / 12.6GB,26
2026-06-21T16:47:57+08:00,rmqbroker,3.48%,1.123GiB / 15.4GiB,7.29%,2.36MB / 3.8MB,683MB / 993MB,324
2026-06-21T16:47:57+08:00,rmqdashboard,0.07%,417MiB / 15.4GiB,2.64%,2.21MB / 1.2MB,353MB / 475MB,66
2026-06-21T16:47:57+08:00,RPA-prometheus,0.00%,394MiB / 15.4GiB,2.50%,361MB / 5.06MB,349MB / 134MB,26
2026-06-21T16:47:57+08:00,RPA-minio,3.30%,178.9MiB / 15.4GiB,1.13%,810MB / 17.8MB,439MB / 1.24GB,53
2026-06-21T16:47:57+08:00,rmqnamesrv,0.25%,126.3MiB / 15.4GiB,0.80%,3.36MB / 2.55MB,243MB / 481MB,81
2026-06-21T16:47:57+08:00,RPA-cadvisor,3.23%,234.7MiB / 15.4GiB,1.49%,5.01MB / 359MB,211MB / 20.7MB,28
2026-06-21T16:47:57+08:00,script-k6-run-53ec6405fdef,307.61%,86.86MiB / 15.4GiB,0.55%,13.7MB / 45.7MB,4.1kB / 0B,24
