timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:47:33+08:00,RPA-app,76.64%,18.12MiB / 2GiB,0.88%,1.58GB / 1.3GB,0B / 61.4kB,9
2026-06-21T16:47:33+08:00,RPA-pgdb,33.30%,123.5MiB / 15.4GiB,0.78%,1.13GB / 8.65GB,57.3MB / 1.05GB,14
2026-06-21T16:47:33+08:00,RPA-redis,6.90%,9.836MiB / 15.4GiB,0.06%,420MB / 446MB,32.1MB / 12.4MB,7
2026-06-21T16:47:33+08:00,RPA-grafana,0.14%,155.8MiB / 15.4GiB,0.99%,23.6MB / 288kB,712MB / 142MB,25
2026-06-21T16:47:33+08:00,RPA-alloy,56.72%,202.1MiB / 15.4GiB,1.28%,5.13MB / 1.9GB,900MB / 72.2MB,27
2026-06-21T16:47:33+08:00,RPA-loki,8.49%,545.7MiB / 15.4GiB,3.46%,1.9GB / 778MB,674MB / 12.4GB,26
2026-06-21T16:47:33+08:00,rmqbroker,3.77%,1.119GiB / 15.4GiB,7.27%,2.35MB / 3.79MB,679MB / 992MB,324
2026-06-21T16:47:33+08:00,rmqdashboard,0.07%,416.9MiB / 15.4GiB,2.64%,2.21MB / 1.2MB,353MB / 475MB,66
2026-06-21T16:47:33+08:00,RPA-prometheus,0.00%,394MiB / 15.4GiB,2.50%,360MB / 5.05MB,349MB / 133MB,26
2026-06-21T16:47:33+08:00,RPA-minio,0.03%,179.6MiB / 15.4GiB,1.14%,799MB / 17.7MB,439MB / 1.22GB,53
2026-06-21T16:47:33+08:00,rmqnamesrv,0.12%,126.1MiB / 15.4GiB,0.80%,3.35MB / 2.55MB,243MB / 481MB,81
2026-06-21T16:47:33+08:00,RPA-cadvisor,2.99%,266.9MiB / 15.4GiB,1.69%,5.01MB / 359MB,211MB / 20.7MB,28
2026-06-21T16:47:33+08:00,script-k6-run-ff6377808b7f,132.48%,48.23MiB / 15.4GiB,0.31%,36.4MB / 4.26MB,0B / 0B,24
2026-06-21T16:47:36+08:00,script-k6-run-ff6377808b7f,129.15%,106.5MiB / 15.4GiB,0.68%,112MB / 13.1MB,0B / 0B,24
2026-06-21T16:47:36+08:00,RPA-app,166.17%,18.21MiB / 2GiB,0.89%,1.69GB / 1.42GB,0B / 61.4kB,9
2026-06-21T16:47:36+08:00,RPA-pgdb,70.19%,123.1MiB / 15.4GiB,0.78%,1.14GB / 8.74GB,57.3MB / 1.05GB,14
2026-06-21T16:47:36+08:00,RPA-redis,14.72%,10.11MiB / 15.4GiB,0.06%,426MB / 455MB,32.1MB / 12.4MB,7
2026-06-21T16:47:36+08:00,RPA-grafana,0.10%,155.8MiB / 15.4GiB,0.99%,23.6MB / 288kB,712MB / 142MB,25
2026-06-21T16:47:36+08:00,RPA-alloy,0.93%,202.1MiB / 15.4GiB,1.28%,5.13MB / 1.9GB,900MB / 72.2MB,27
2026-06-21T16:47:36+08:00,RPA-loki,6.16%,546.2MiB / 15.4GiB,3.46%,1.9GB / 778MB,674MB / 12.4GB,26
2026-06-21T16:47:36+08:00,rmqbroker,3.54%,1.12GiB / 15.4GiB,7.27%,2.36MB / 3.79MB,679MB / 992MB,324
2026-06-21T16:47:36+08:00,rmqdashboard,0.04%,416.9MiB / 15.4GiB,2.64%,2.21MB / 1.2MB,353MB / 475MB,66
2026-06-21T16:47:36+08:00,RPA-prometheus,0.01%,394MiB / 15.4GiB,2.50%,360MB / 5.05MB,349MB / 133MB,26
2026-06-21T16:47:36+08:00,RPA-minio,0.03%,179.6MiB / 15.4GiB,1.14%,799MB / 17.7MB,439MB / 1.22GB,53
2026-06-21T16:47:36+08:00,rmqnamesrv,0.08%,126.1MiB / 15.4GiB,0.80%,3.35MB / 2.55MB,243MB / 481MB,81
2026-06-21T16:47:36+08:00,RPA-cadvisor,2.58%,267.2MiB / 15.4GiB,1.69%,5.01MB / 359MB,211MB / 20.7MB,28
2026-06-21T16:47:39+08:00,script-k6-run-ff6377808b7f,130.55%,94.73MiB / 15.4GiB,0.60%,189MB / 22.2MB,0B / 0B,25
2026-06-21T16:47:39+08:00,RPA-app,167.10%,18.35MiB / 2GiB,0.90%,1.77GB / 1.51GB,0B / 61.4kB,9
2026-06-21T16:47:39+08:00,RPA-pgdb,70.04%,123.9MiB / 15.4GiB,0.79%,1.15GB / 8.8GB,57.3MB / 1.05GB,14
2026-06-21T16:47:39+08:00,RPA-redis,14.91%,9.098MiB / 15.4GiB,0.06%,431MB / 461MB,32.1MB / 12.4MB,7
2026-06-21T16:47:39+08:00,RPA-grafana,0.92%,158.1MiB / 15.4GiB,1.00%,23.6MB / 288kB,715MB / 142MB,25
2026-06-21T16:47:39+08:00,RPA-alloy,1.53%,202.1MiB / 15.4GiB,1.28%,5.14MB / 1.9GB,900MB / 72.3MB,27
2026-06-21T16:47:39+08:00,RPA-loki,10.44%,547.2MiB / 15.4GiB,3.47%,1.91GB / 778MB,674MB / 12.4GB,26
2026-06-21T16:47:39+08:00,rmqbroker,3.90%,1.12GiB / 15.4GiB,7.27%,2.36MB / 3.8MB,680MB / 992MB,324
2026-06-21T16:47:39+08:00,rmqdashboard,0.09%,417MiB / 15.4GiB,2.64%,2.21MB / 1.2MB,353MB / 475MB,66
2026-06-21T16:47:39+08:00,RPA-prometheus,0.00%,394MiB / 15.4GiB,2.50%,360MB / 5.05MB,349MB / 133MB,26
2026-06-21T16:47:39+08:00,RPA-minio,0.01%,179.6MiB / 15.4GiB,1.14%,799MB / 17.7MB,439MB / 1.22GB,53
