timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:44:41+08:00,RPA-pgdb,2.84%,111MiB / 15.4GiB,0.70%,1.1GB / 8.39GB,57.3MB / 1.04GB,10
2026-06-21T16:44:41+08:00,RPA-redis,0.16%,8.785MiB / 15.4GiB,0.06%,166MB / 230MB,32MB / 12.1MB,7
2026-06-21T16:44:41+08:00,RPA-grafana,0.15%,91.16MiB / 15.4GiB,0.58%,23.6MB / 286kB,644MB / 141MB,25
2026-06-21T16:44:41+08:00,RPA-alloy,54.59%,194.6MiB / 15.4GiB,1.23%,4.8MB / 1.77GB,894MB / 71.7MB,27
2026-06-21T16:44:41+08:00,RPA-loki,15.66%,551.6MiB / 15.4GiB,3.50%,1.77GB / 727MB,664MB / 11.6GB,26
2026-06-21T16:44:41+08:00,rmqbroker,4.98%,1.088GiB / 15.4GiB,7.06%,2.29MB / 3.73MB,646MB / 989MB,324
2026-06-21T16:44:41+08:00,rmqdashboard,0.06%,415.7MiB / 15.4GiB,2.64%,2.17MB / 1.18MB,352MB / 474MB,66
2026-06-21T16:44:41+08:00,RPA-prometheus,0.10%,314.8MiB / 15.4GiB,2.00%,356MB / 4.98MB,347MB / 133MB,26
2026-06-21T16:44:41+08:00,RPA-minio,0.11%,181.7MiB / 15.4GiB,1.15%,749MB / 17.7MB,439MB / 1.15GB,53
2026-06-21T16:44:41+08:00,rmqnamesrv,0.34%,122.9MiB / 15.4GiB,0.78%,3.31MB / 2.51MB,241MB / 480MB,81
2026-06-21T16:44:41+08:00,RPA-cadvisor,2.10%,270MiB / 15.4GiB,1.71%,4.94MB / 354MB,211MB / 20.7MB,28
2026-06-21T16:44:41+08:00,RPA-app,0.07%,71.39MiB / 2GiB,3.49%,19.1kB / 23.4kB,0B / 0B,7
