timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:00:19+08:00,RPA-app,107.89%,30.44MiB / 2GiB,1.49%,3.7GB / 4.86GB,7.14MB / 274kB,21
2026-06-21T16:00:19+08:00,RPA-pgdb,494.94%,147.1MiB / 15.4GiB,0.93%,105MB / 2.9GB,32.7MB / 201MB,59
2026-06-21T16:00:19+08:00,RPA-redis,0.18%,3.773MiB / 15.4GiB,0.02%,991kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T16:00:19+08:00,RPA-grafana,0.20%,89.46MiB / 15.4GiB,0.57%,23.6MB / 274kB,487MB / 132MB,25
2026-06-21T16:00:19+08:00,RPA-alloy,66.92%,210.6MiB / 15.4GiB,1.34%,584kB / 104MB,629MB / 59.7MB,26
2026-06-21T16:00:19+08:00,RPA-loki,13.63%,352.1MiB / 15.4GiB,2.23%,105MB / 35.9MB,448MB / 691MB,26
2026-06-21T16:00:19+08:00,rmqbroker,4.58%,1.243GiB / 15.4GiB,8.07%,1.61MB / 2.89MB,131MB / 376MB,259
2026-06-21T16:00:19+08:00,rmqdashboard,0.15%,492.8MiB / 15.4GiB,3.13%,1.77MB / 958kB,205MB / 229MB,66
2026-06-21T16:00:19+08:00,RPA-prometheus,0.00%,313.2MiB / 15.4GiB,1.99%,294MB / 4.03MB,288MB / 111MB,26
2026-06-21T16:00:19+08:00,RPA-minio,0.00%,331.5MiB / 15.4GiB,2.10%,46.8MB / 7.98MB,218MB / 169MB,45
2026-06-21T16:00:19+08:00,rmqnamesrv,0.20%,208.9MiB / 15.4GiB,1.33%,2.7MB / 2.05MB,214MB / 326MB,81
2026-06-21T16:00:19+08:00,RPA-cadvisor,4.34%,307.3MiB / 15.4GiB,1.95%,4.04MB / 294MB,161MB / 20.2MB,28
2026-06-21T16:00:19+08:00,script-k6-run-43428a3a15f3,103.71%,49.64MiB / 15.4GiB,0.31%,3.4MB / 2.23MB,0B / 0B,27
2026-06-21T16:00:22+08:00,script-k6-run-43428a3a15f3,96.20%,77.55MiB / 15.4GiB,0.49%,9.51MB / 6.2MB,0B / 0B,27
2026-06-21T16:00:22+08:00,RPA-app,152.44%,31.45MiB / 2GiB,1.54%,3.72GB / 4.89GB,7.14MB / 274kB,21
2026-06-21T16:00:22+08:00,RPA-pgdb,716.73%,140.8MiB / 15.4GiB,0.89%,133MB / 2.91GB,32.9MB / 264MB,55
2026-06-21T16:00:22+08:00,RPA-redis,0.62%,3.523MiB / 15.4GiB,0.02%,991kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T16:00:22+08:00,RPA-grafana,0.12%,89.46MiB / 15.4GiB,0.57%,23.6MB / 274kB,487MB / 132MB,25
2026-06-21T16:00:22+08:00,RPA-alloy,35.75%,217MiB / 15.4GiB,1.38%,592kB / 107MB,629MB / 59.7MB,26
2026-06-21T16:00:22+08:00,RPA-loki,10.19%,371.7MiB / 15.4GiB,2.36%,108MB / 35.9MB,448MB / 691MB,26
2026-06-21T16:00:22+08:00,rmqbroker,4.91%,1.242GiB / 15.4GiB,8.07%,1.61MB / 2.89MB,131MB / 376MB,259
2026-06-21T16:00:22+08:00,rmqdashboard,0.07%,492.8MiB / 15.4GiB,3.13%,1.77MB / 959kB,205MB / 229MB,66
2026-06-21T16:00:22+08:00,RPA-prometheus,0.00%,313.2MiB / 15.4GiB,1.99%,294MB / 4.03MB,288MB / 111MB,26
2026-06-21T16:00:22+08:00,RPA-minio,0.09%,331.5MiB / 15.4GiB,2.10%,46.8MB / 7.99MB,218MB / 169MB,45
2026-06-21T16:00:22+08:00,rmqnamesrv,0.11%,207.9MiB / 15.4GiB,1.32%,2.71MB / 2.05MB,214MB / 326MB,81
2026-06-21T16:00:22+08:00,RPA-cadvisor,3.06%,306.8MiB / 15.4GiB,1.95%,4.04MB / 294MB,161MB / 20.2MB,28
2026-06-21T16:00:25+08:00,script-k6-run-43428a3a15f3,93.89%,67.95MiB / 15.4GiB,0.43%,15.7MB / 10.2MB,0B / 0B,27
2026-06-21T16:00:25+08:00,RPA-app,151.23%,30.44MiB / 2GiB,1.49%,3.73GB / 4.92GB,7.14MB / 274kB,21
2026-06-21T16:00:25+08:00,RPA-pgdb,730.72%,161.1MiB / 15.4GiB,1.02%,153MB / 2.93GB,33MB / 332MB,59
2026-06-21T16:00:25+08:00,RPA-redis,0.17%,4.023MiB / 15.4GiB,0.03%,991kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T16:00:25+08:00,RPA-grafana,0.15%,89.55MiB / 15.4GiB,0.57%,23.6MB / 274kB,487MB / 132MB,25
2026-06-21T16:00:25+08:00,RPA-alloy,1.57%,217.3MiB / 15.4GiB,1.38%,598kB / 109MB,629MB / 59.7MB,26
2026-06-21T16:00:25+08:00,RPA-loki,13.01%,364.9MiB / 15.4GiB,2.31%,110MB / 36MB,452MB / 691MB,26
2026-06-21T16:00:25+08:00,rmqbroker,4.66%,1.242GiB / 15.4GiB,8.07%,1.61MB / 2.89MB,131MB / 376MB,259
2026-06-21T16:00:25+08:00,rmqdashboard,0.08%,492.8MiB / 15.4GiB,3.13%,1.77MB / 959kB,205MB / 229MB,66
2026-06-21T16:00:25+08:00,RPA-prometheus,0.04%,313.2MiB / 15.4GiB,1.99%,294MB / 4.03MB,288MB / 111MB,26
2026-06-21T16:00:25+08:00,RPA-minio,0.05%,331.5MiB / 15.4GiB,2.10%,46.8MB / 7.99MB,218MB / 170MB,45
2026-06-21T16:00:25+08:00,rmqnamesrv,0.12%,207.7MiB / 15.4GiB,1.32%,2.71MB / 2.05MB,214MB / 326MB,81
2026-06-21T16:00:25+08:00,RPA-cadvisor,2.85%,263.8MiB / 15.4GiB,1.67%,4.04MB / 294MB,161MB / 20.2MB,28
2026-06-21T16:00:28+08:00,script-k6-run-43428a3a15f3,95.86%,66.3MiB / 15.4GiB,0.42%,21.7MB / 14.1MB,0B / 0B,27
2026-06-21T16:00:28+08:00,RPA-app,148.11%,30.49MiB / 2GiB,1.49%,3.75GB / 4.95GB,7.14MB / 274kB,21
2026-06-21T16:00:28+08:00,RPA-pgdb,693.67%,173.3MiB / 15.4GiB,1.10%,174MB / 2.94GB,33.1MB / 383MB,60
2026-06-21T16:00:28+08:00,RPA-redis,0.16%,3.523MiB / 15.4GiB,0.02%,991kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T16:00:28+08:00,RPA-grafana,0.28%,92.36MiB / 15.4GiB,0.59%,23.6MB / 274kB,490MB / 132MB,25
2026-06-21T16:00:28+08:00,RPA-alloy,65.63%,217.1MiB / 15.4GiB,1.38%,601kB / 111MB,629MB / 59.7MB,26
2026-06-21T16:00:28+08:00,RPA-loki,23.85%,384.7MiB / 15.4GiB,2.44%,113MB / 36MB,452MB / 692MB,26
2026-06-21T16:00:28+08:00,rmqbroker,5.38%,1.242GiB / 15.4GiB,8.07%,1.61MB / 2.89MB,131MB / 377MB,259
2026-06-21T16:00:28+08:00,rmqdashboard,0.85%,492.8MiB / 15.4GiB,3.13%,1.77MB / 960kB,205MB / 229MB,66
2026-06-21T16:00:28+08:00,RPA-prometheus,0.00%,313.2MiB / 15.4GiB,1.99%,294MB / 4.03MB,288MB / 111MB,26
2026-06-21T16:00:28+08:00,RPA-minio,0.02%,331.5MiB / 15.4GiB,2.10%,46.8MB / 7.99MB,218MB / 170MB,45
2026-06-21T16:00:28+08:00,rmqnamesrv,0.48%,207.8MiB / 15.4GiB,1.32%,2.71MB / 2.05MB,214MB / 326MB,81
2026-06-21T16:00:28+08:00,RPA-cadvisor,41.41%,294.2MiB / 15.4GiB,1.87%,4.05MB / 294MB,161MB / 20.2MB,28
2026-06-21T16:00:32+08:00,script-k6-run-43428a3a15f3,98.89%,87.72MiB / 15.4GiB,0.56%,28MB / 18.2MB,0B / 0B,27
2026-06-21T16:00:32+08:00,RPA-app,154.04%,30.63MiB / 2GiB,1.50%,3.77GB / 4.97GB,7.14MB / 274kB,21
2026-06-21T16:00:32+08:00,RPA-pgdb,737.76%,184.5MiB / 15.4GiB,1.17%,195MB / 2.95GB,33.1MB / 434MB,59
2026-06-21T16:00:32+08:00,RPA-redis,0.16%,3.523MiB / 15.4GiB,0.02%,991kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T16:00:32+08:00,RPA-grafana,0.14%,92.38MiB / 15.4GiB,0.59%,23.6MB / 274kB,490MB / 132MB,25
2026-06-21T16:00:32+08:00,RPA-alloy,14.43%,207.9MiB / 15.4GiB,1.32%,610kB / 114MB,629MB / 59.8MB,26
2026-06-21T16:00:32+08:00,RPA-loki,16.05%,386.1MiB / 15.4GiB,2.45%,115MB / 36MB,452MB / 692MB,26
2026-06-21T16:00:32+08:00,rmqbroker,4.95%,1.242GiB / 15.4GiB,8.07%,1.61MB / 2.89MB,131MB / 377MB,259
2026-06-21T16:00:32+08:00,rmqdashboard,0.07%,492.7MiB / 15.4GiB,3.13%,1.77MB / 961kB,205MB / 229MB,66
2026-06-21T16:00:32+08:00,RPA-prometheus,0.00%,313.2MiB / 15.4GiB,1.99%,295MB / 4.03MB,288MB / 111MB,26
2026-06-21T16:00:32+08:00,RPA-minio,0.02%,331.7MiB / 15.4GiB,2.10%,46.8MB / 7.99MB,218MB / 170MB,45
2026-06-21T16:00:32+08:00,rmqnamesrv,0.12%,205.1MiB / 15.4GiB,1.30%,2.71MB / 2.05MB,214MB / 328MB,81
2026-06-21T16:00:32+08:00,RPA-cadvisor,3.07%,302.9MiB / 15.4GiB,1.92%,4.05MB / 294MB,161MB / 20.2MB,28
2026-06-21T16:00:35+08:00,script-k6-run-43428a3a15f3,93.44%,80.64MiB / 15.4GiB,0.51%,34.2MB / 22.3MB,0B / 0B,27
2026-06-21T16:00:35+08:00,RPA-app,152.67%,31.71MiB / 2GiB,1.55%,3.78GB / 5GB,7.14MB / 274kB,21
2026-06-21T16:00:35+08:00,RPA-pgdb,757.75%,187.7MiB / 15.4GiB,1.19%,216MB / 2.97GB,33.1MB / 486MB,59
2026-06-21T16:00:35+08:00,RPA-redis,0.16%,3.773MiB / 15.4GiB,0.02%,991kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T16:00:35+08:00,RPA-grafana,0.14%,92.38MiB / 15.4GiB,0.59%,23.6MB / 274kB,490MB / 132MB,25
2026-06-21T16:00:35+08:00,RPA-alloy,1.38%,207.7MiB / 15.4GiB,1.32%,615kB / 116MB,629MB / 59.8MB,26
2026-06-21T16:00:35+08:00,RPA-loki,9.07%,385.5MiB / 15.4GiB,2.45%,117MB / 36MB,452MB / 709MB,26
2026-06-21T16:00:35+08:00,rmqbroker,4.99%,1.242GiB / 15.4GiB,8.07%,1.61MB / 2.89MB,131MB / 377MB,259
