timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:00:41+08:00,RPA-app,112.08%,32.38MiB / 2GiB,1.58%,3.81GB / 5.03GB,7.14MB / 274kB,21
2026-06-21T16:00:41+08:00,RPA-pgdb,375.61%,173.3MiB / 15.4GiB,1.10%,238MB / 2.98GB,33.2MB / 597MB,53
2026-06-21T16:00:41+08:00,RPA-redis,0.17%,3.273MiB / 15.4GiB,0.02%,991kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T16:00:41+08:00,RPA-grafana,0.13%,92.45MiB / 15.4GiB,0.59%,23.6MB / 274kB,490MB / 132MB,25
2026-06-21T16:00:41+08:00,RPA-alloy,68.83%,205.8MiB / 15.4GiB,1.31%,627kB / 121MB,629MB / 59.8MB,26
2026-06-21T16:00:41+08:00,RPA-loki,9.87%,394.7MiB / 15.4GiB,2.50%,122MB / 36MB,452MB / 801MB,26
2026-06-21T16:00:41+08:00,rmqbroker,4.10%,1.242GiB / 15.4GiB,8.07%,1.61MB / 2.89MB,131MB / 377MB,259
2026-06-21T16:00:41+08:00,rmqdashboard,0.07%,489.9MiB / 15.4GiB,3.11%,1.77MB / 961kB,205MB / 232MB,66
2026-06-21T16:00:41+08:00,RPA-prometheus,0.02%,313.8MiB / 15.4GiB,1.99%,295MB / 4.03MB,288MB / 111MB,26
2026-06-21T16:00:41+08:00,RPA-minio,0.08%,331.5MiB / 15.4GiB,2.10%,46.8MB / 7.99MB,218MB / 171MB,45
2026-06-21T16:00:41+08:00,rmqnamesrv,0.12%,202.7MiB / 15.4GiB,1.29%,2.71MB / 2.05MB,214MB / 331MB,81
2026-06-21T16:00:41+08:00,RPA-cadvisor,3.61%,263.3MiB / 15.4GiB,1.67%,4.05MB / 294MB,161MB / 20.2MB,28
2026-06-21T16:00:41+08:00,script-k6-run-2c93a463160f,159.64%,62.07MiB / 15.4GiB,0.39%,9.93MB / 3.33MB,0B / 0B,25
2026-06-21T16:00:45+08:00,script-k6-run-2c93a463160f,113.22%,101.7MiB / 15.4GiB,0.65%,24.3MB / 8.13MB,0B / 0B,25
2026-06-21T16:00:45+08:00,RPA-app,188.88%,33.17MiB / 2GiB,1.62%,3.84GB / 5.07GB,7.14MB / 274kB,21
2026-06-21T16:00:45+08:00,RPA-pgdb,477.03%,171MiB / 15.4GiB,1.08%,259MB / 3.01GB,33.2MB / 597MB,53
2026-06-21T16:00:45+08:00,RPA-redis,0.14%,3.773MiB / 15.4GiB,0.02%,991kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T16:00:45+08:00,RPA-grafana,0.14%,92.45MiB / 15.4GiB,0.59%,23.6MB / 274kB,490MB / 132MB,25
2026-06-21T16:00:45+08:00,RPA-alloy,1.22%,207.4MiB / 15.4GiB,1.32%,635kB / 124MB,631MB / 59.8MB,26
2026-06-21T16:00:45+08:00,RPA-loki,6.44%,382.4MiB / 15.4GiB,2.43%,125MB / 46.7MB,452MB / 801MB,26
2026-06-21T16:00:45+08:00,rmqbroker,4.47%,1.242GiB / 15.4GiB,8.07%,1.61MB / 2.89MB,131MB / 377MB,259
2026-06-21T16:00:45+08:00,rmqdashboard,0.06%,489.9MiB / 15.4GiB,3.11%,1.77MB / 961kB,205MB / 232MB,66
2026-06-21T16:00:45+08:00,RPA-prometheus,0.00%,314.2MiB / 15.4GiB,1.99%,295MB / 4.04MB,288MB / 111MB,26
2026-06-21T16:00:45+08:00,RPA-minio,0.00%,331.9MiB / 15.4GiB,2.11%,57.5MB / 8MB,218MB / 182MB,45
2026-06-21T16:00:45+08:00,rmqnamesrv,0.13%,202.8MiB / 15.4GiB,1.29%,2.71MB / 2.05MB,214MB / 331MB,81
