timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:01:04+08:00,RPA-app,16.75%,33.7MiB / 2GiB,1.65%,3.95GB / 5.19GB,7.14MB / 274kB,21
2026-06-21T16:01:04+08:00,RPA-pgdb,66.51%,194.5MiB / 15.4GiB,1.23%,318MB / 3.1GB,33.2MB / 601MB,59
2026-06-21T16:01:04+08:00,RPA-redis,0.13%,3.523MiB / 15.4GiB,0.02%,992kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T16:01:04+08:00,RPA-grafana,0.12%,92.45MiB / 15.4GiB,0.59%,23.6MB / 274kB,490MB / 132MB,25
2026-06-21T16:01:04+08:00,RPA-alloy,61.03%,216.5MiB / 15.4GiB,1.37%,670kB / 138MB,631MB / 59.8MB,26
2026-06-21T16:01:04+08:00,RPA-loki,10.07%,404.7MiB / 15.4GiB,2.57%,139MB / 46.8MB,454MB / 910MB,26
2026-06-21T16:01:04+08:00,rmqbroker,3.61%,1.243GiB / 15.4GiB,8.07%,1.62MB / 2.89MB,131MB / 377MB,259
2026-06-21T16:01:04+08:00,rmqdashboard,0.11%,489.9MiB / 15.4GiB,3.11%,1.78MB / 962kB,205MB / 232MB,66
2026-06-21T16:01:04+08:00,RPA-prometheus,0.00%,315.8MiB / 15.4GiB,2.00%,295MB / 4.04MB,289MB / 115MB,26
2026-06-21T16:01:04+08:00,RPA-minio,0.02%,329.1MiB / 15.4GiB,2.09%,57.5MB / 8MB,222MB / 186MB,45
2026-06-21T16:01:04+08:00,rmqnamesrv,0.15%,203.7MiB / 15.4GiB,1.29%,2.71MB / 2.05MB,214MB / 331MB,81
2026-06-21T16:01:04+08:00,RPA-cadvisor,2.51%,301.2MiB / 15.4GiB,1.91%,4.06MB / 295MB,161MB / 20.2MB,28
2026-06-21T16:01:04+08:00,script-k6-run-8b9693372efa,11.71%,32.81MiB / 15.4GiB,0.21%,290kB / 325kB,0B / 0B,25
2026-06-21T16:01:07+08:00,script-k6-run-8b9693372efa,11.80%,38.1MiB / 15.4GiB,0.24%,791kB / 846kB,0B / 0B,25
2026-06-21T16:01:07+08:00,RPA-app,14.87%,34.35MiB / 2GiB,1.68%,3.95GB / 5.2GB,7.14MB / 274kB,21
2026-06-21T16:01:07+08:00,RPA-pgdb,63.04%,195.6MiB / 15.4GiB,1.24%,320MB / 3.1GB,33.2MB / 617MB,59
2026-06-21T16:01:07+08:00,RPA-redis,0.46%,3.383MiB / 15.4GiB,0.02%,992kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T16:01:07+08:00,RPA-grafana,0.11%,92.45MiB / 15.4GiB,0.59%,23.6MB / 274kB,490MB / 132MB,25
2026-06-21T16:01:07+08:00,RPA-alloy,48.73%,216.8MiB / 15.4GiB,1.38%,679kB / 141MB,631MB / 59.8MB,26
2026-06-21T16:01:07+08:00,RPA-loki,9.56%,419.3MiB / 15.4GiB,2.66%,142MB / 46.8MB,454MB / 910MB,26
2026-06-21T16:01:07+08:00,rmqbroker,3.56%,1.243GiB / 15.4GiB,8.08%,1.62MB / 2.89MB,131MB / 377MB,259
