timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:59:56+08:00,RPA-app,155.69%,34.71MiB / 2GiB,1.69%,1.07GB / 1.11GB,6.23MB / 274kB,21
2026-06-21T15:59:56+08:00,RPA-pgdb,151.00%,89.91MiB / 15.4GiB,0.57%,81.9MB / 283MB,32.6MB / 193MB,39
2026-06-21T15:59:56+08:00,RPA-redis,0.13%,3.773MiB / 15.4GiB,0.02%,991kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T15:59:56+08:00,RPA-grafana,0.12%,88.98MiB / 15.4GiB,0.56%,23.6MB / 274kB,486MB / 132MB,25
2026-06-21T15:59:56+08:00,RPA-alloy,61.07%,213.7MiB / 15.4GiB,1.36%,541kB / 87.1MB,629MB / 59.6MB,26
2026-06-21T15:59:56+08:00,RPA-loki,13.11%,333.2MiB / 15.4GiB,2.11%,87.6MB / 26.5MB,436MB / 583MB,26
2026-06-21T15:59:56+08:00,rmqbroker,4.40%,1.243GiB / 15.4GiB,8.07%,1.61MB / 2.88MB,131MB / 376MB,259
2026-06-21T15:59:56+08:00,rmqdashboard,0.06%,484.5MiB / 15.4GiB,3.07%,1.76MB / 957kB,198MB / 229MB,66
2026-06-21T15:59:56+08:00,RPA-prometheus,0.03%,297.7MiB / 15.4GiB,1.89%,294MB / 4.02MB,288MB / 111MB,26
2026-06-21T15:59:56+08:00,RPA-minio,1.15%,331.3MiB / 15.4GiB,2.10%,37.4MB / 7.98MB,218MB / 158MB,45
2026-06-21T15:59:56+08:00,rmqnamesrv,0.10%,207.3MiB / 15.4GiB,1.31%,2.7MB / 2.04MB,214MB / 326MB,81
2026-06-21T15:59:56+08:00,RPA-cadvisor,3.74%,267.2MiB / 15.4GiB,1.69%,4.03MB / 293MB,161MB / 20.2MB,28
2026-06-21T15:59:56+08:00,script-k6-run-3ff4e0952b1c,51.72%,59.41MiB / 15.4GiB,0.38%,351MB / 1.02MB,0B / 0B,26
2026-06-21T16:00:00+08:00,script-k6-run-3ff4e0952b1c,50.75%,68MiB / 15.4GiB,0.43%,933MB / 2.63MB,0B / 0B,26
2026-06-21T16:00:00+08:00,RPA-app,193.69%,34.12MiB / 2GiB,1.67%,1.62GB / 1.89GB,7.14MB / 274kB,21
2026-06-21T16:00:00+08:00,RPA-pgdb,185.99%,103.8MiB / 15.4GiB,0.66%,84.8MB / 693MB,32.6MB / 193MB,45
2026-06-21T16:00:00+08:00,RPA-redis,0.14%,3.523MiB / 15.4GiB,0.02%,991kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T16:00:00+08:00,RPA-grafana,0.14%,88.98MiB / 15.4GiB,0.56%,23.6MB / 274kB,486MB / 132MB,25
2026-06-21T16:00:00+08:00,RPA-alloy,1.33%,211.9MiB / 15.4GiB,1.34%,548kB / 89.9MB,629MB / 59.7MB,26
2026-06-21T16:00:00+08:00,RPA-loki,9.00%,357MiB / 15.4GiB,2.26%,90.3MB / 26.5MB,448MB / 583MB,26
2026-06-21T16:00:00+08:00,rmqbroker,3.73%,1.243GiB / 15.4GiB,8.07%,1.61MB / 2.88MB,131MB / 376MB,259
2026-06-21T16:00:00+08:00,rmqdashboard,0.07%,492.7MiB / 15.4GiB,3.13%,1.77MB / 958kB,205MB / 229MB,66
2026-06-21T16:00:00+08:00,RPA-prometheus,0.00%,297.7MiB / 15.4GiB,1.89%,294MB / 4.02MB,288MB / 111MB,26
2026-06-21T16:00:00+08:00,RPA-minio,0.02%,331.3MiB / 15.4GiB,2.10%,37.4MB / 7.98MB,218MB / 158MB,45
2026-06-21T16:00:00+08:00,rmqnamesrv,0.12%,207.5MiB / 15.4GiB,1.32%,2.7MB / 2.04MB,214MB / 326MB,81
