timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:58:25+08:00,RPA-app,113.88%,123.5MiB / 2GiB,6.03%,429MB / 362MB,5.86MB / 0B,8
2026-06-21T15:58:25+08:00,RPA-pgdb,3.84%,47.43MiB / 15.4GiB,0.30%,7.66MB / 25.4MB,28.8MB / 61.9MB,19
2026-06-21T15:58:25+08:00,RPA-redis,0.32%,25.18MiB / 15.4GiB,0.16%,963kB / 333kB,25.9MB / 840kB,7
2026-06-21T15:58:25+08:00,RPA-grafana,3.16%,87.84MiB / 15.4GiB,0.56%,23.6MB / 274kB,485MB / 132MB,25
2026-06-21T15:58:25+08:00,RPA-alloy,62.37%,190.2MiB / 15.4GiB,1.21%,362kB / 17.8MB,619MB / 59.4MB,26
2026-06-21T15:58:25+08:00,RPA-loki,12.13%,162.7MiB / 15.4GiB,1.03%,18.2MB / 764kB,387MB / 142MB,25
2026-06-21T15:58:25+08:00,rmqbroker,4.56%,1.253GiB / 15.4GiB,8.14%,1.59MB / 2.86MB,131MB / 362MB,259
2026-06-21T15:58:25+08:00,rmqdashboard,0.07%,496.4MiB / 15.4GiB,3.15%,1.75MB / 950kB,198MB / 216MB,66
2026-06-21T15:58:25+08:00,RPA-prometheus,0.00%,328.4MiB / 15.4GiB,2.08%,291MB / 3.98MB,280MB / 110MB,26
2026-06-21T15:58:25+08:00,RPA-minio,0.00%,104.2MiB / 15.4GiB,0.66%,2.28MB / 1.44MB,185MB / 98.8MB,25
2026-06-21T15:58:25+08:00,rmqnamesrv,0.17%,232.6MiB / 15.4GiB,1.48%,2.68MB / 2.03MB,214MB / 303MB,81
2026-06-21T15:58:25+08:00,RPA-cadvisor,3.27%,292.7MiB / 15.4GiB,1.86%,4MB / 291MB,159MB / 20.2MB,28
2026-06-21T15:58:25+08:00,script-k6-run-ed1b9cf63c29,616.07%,218.7MiB / 15.4GiB,1.39%,25.7MB / 24.9MB,20.5kB / 0B,25
2026-06-21T15:58:28+08:00,script-k6-run-ed1b9cf63c29,644.18%,576.8MiB / 15.4GiB,3.66%,79.3MB / 76.6MB,20.5kB / 0B,26
2026-06-21T15:58:28+08:00,RPA-app,181.71%,69.68MiB / 2GiB,3.40%,497MB / 433MB,5.86MB / 0B,8
2026-06-21T15:58:28+08:00,RPA-pgdb,2.41%,47.18MiB / 15.4GiB,0.30%,7.67MB / 25.4MB,28.8MB / 61.9MB,19
2026-06-21T15:58:28+08:00,RPA-redis,0.22%,25.18MiB / 15.4GiB,0.16%,969kB / 335kB,25.9MB / 860kB,7
2026-06-21T15:58:28+08:00,RPA-grafana,0.15%,87.86MiB / 15.4GiB,0.56%,23.6MB / 274kB,485MB / 132MB,25
2026-06-21T15:58:28+08:00,RPA-alloy,54.30%,193.2MiB / 15.4GiB,1.23%,370kB / 21.2MB,619MB / 59.4MB,26
2026-06-21T15:58:28+08:00,RPA-loki,9.35%,176.7MiB / 15.4GiB,1.12%,21.6MB / 773kB,387MB / 142MB,25
2026-06-21T15:58:28+08:00,rmqbroker,4.67%,1.254GiB / 15.4GiB,8.15%,1.59MB / 2.86MB,131MB / 362MB,259
