timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:02:11+08:00,RPA-app,192.20%,31.97MiB / 2GiB,1.56%,4.51GB / 6.07GB,7.14MB / 274kB,21
2026-06-21T16:02:11+08:00,RPA-pgdb,334.47%,144.6MiB / 15.4GiB,0.92%,514MB / 3.59GB,33.2MB / 680MB,47
2026-06-21T16:02:11+08:00,RPA-redis,0.15%,3.273MiB / 15.4GiB,0.02%,993kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T16:02:11+08:00,RPA-grafana,0.12%,104.6MiB / 15.4GiB,0.66%,23.6MB / 274kB,503MB / 132MB,25
2026-06-21T16:02:11+08:00,RPA-alloy,63.70%,205.3MiB / 15.4GiB,1.30%,802kB / 192MB,631MB / 60.1MB,26
2026-06-21T16:02:11+08:00,RPA-loki,13.44%,466.9MiB / 15.4GiB,2.96%,192MB / 73.8MB,455MB / 1.24GB,26
2026-06-21T16:02:11+08:00,rmqbroker,5.94%,1.242GiB / 15.4GiB,8.07%,1.62MB / 2.91MB,131MB / 379MB,259
2026-06-21T16:02:11+08:00,rmqdashboard,0.06%,481.4MiB / 15.4GiB,3.05%,1.79MB / 967kB,205MB / 240MB,66
2026-06-21T16:02:11+08:00,RPA-prometheus,0.00%,291.3MiB / 15.4GiB,1.85%,297MB / 4.07MB,291MB / 116MB,26
2026-06-21T16:02:11+08:00,RPA-minio,3.78%,305MiB / 15.4GiB,1.93%,84.4MB / 8.02MB,222MB / 217MB,45
2026-06-21T16:02:11+08:00,rmqnamesrv,0.13%,191MiB / 15.4GiB,1.21%,2.73MB / 2.06MB,215MB / 343MB,81
2026-06-21T16:02:11+08:00,RPA-cadvisor,3.43%,269.5MiB / 15.4GiB,1.71%,4.08MB / 296MB,162MB / 20.2MB,28
2026-06-21T16:02:11+08:00,script-k6-run-60fe74c7bcc4,117.63%,61.23MiB / 15.4GiB,0.39%,25.9MB / 3.75MB,0B / 0B,26
2026-06-21T16:02:15+08:00,script-k6-run-60fe74c7bcc4,126.32%,100.5MiB / 15.4GiB,0.64%,57.8MB / 8.35MB,0B / 0B,26
2026-06-21T16:02:15+08:00,RPA-app,195.64%,32.62MiB / 2GiB,1.59%,4.54GB / 6.12GB,7.14MB / 274kB,21
2026-06-21T16:02:15+08:00,RPA-pgdb,359.47%,153.3MiB / 15.4GiB,0.97%,520MB / 3.62GB,33.2MB / 680MB,43
2026-06-21T16:02:15+08:00,RPA-redis,0.17%,3.523MiB / 15.4GiB,0.02%,993kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T16:02:15+08:00,RPA-grafana,0.20%,104.6MiB / 15.4GiB,0.66%,23.6MB / 274kB,503MB / 132MB,25
2026-06-21T16:02:15+08:00,RPA-alloy,43.19%,205.3MiB / 15.4GiB,1.30%,809kB / 195MB,631MB / 60.1MB,26
2026-06-21T16:02:15+08:00,RPA-loki,8.33%,469.2MiB / 15.4GiB,2.98%,195MB / 76.5MB,455MB / 1.24GB,26
2026-06-21T16:02:15+08:00,rmqbroker,5.30%,1.243GiB / 15.4GiB,8.07%,1.63MB / 2.91MB,131MB / 379MB,259
2026-06-21T16:02:15+08:00,rmqdashboard,0.08%,481.4MiB / 15.4GiB,3.05%,1.79MB / 967kB,205MB / 240MB,66
2026-06-21T16:02:15+08:00,RPA-prometheus,0.11%,291.8MiB / 15.4GiB,1.85%,297MB / 4.07MB,291MB / 116MB,26
2026-06-21T16:02:15+08:00,RPA-minio,0.03%,303.4MiB / 15.4GiB,1.92%,87.1MB / 8.02MB,222MB / 220MB,45
2026-06-21T16:02:15+08:00,rmqnamesrv,0.14%,190.8MiB / 15.4GiB,1.21%,2.73MB / 2.06MB,215MB / 343MB,81
2026-06-21T16:02:15+08:00,RPA-cadvisor,54.42%,299.7MiB / 15.4GiB,1.90%,4.09MB / 296MB,162MB / 20.2MB,28
2026-06-21T16:02:18+08:00,script-k6-run-60fe74c7bcc4,122.37%,82.54MiB / 15.4GiB,0.52%,90.9MB / 13.1MB,0B / 0B,26
2026-06-21T16:02:18+08:00,RPA-app,190.27%,33.04MiB / 2GiB,1.61%,4.57GB / 6.16GB,7.14MB / 274kB,21
2026-06-21T16:02:18+08:00,RPA-pgdb,374.26%,157.6MiB / 15.4GiB,1.00%,524MB / 3.64GB,33.2MB / 680MB,47
2026-06-21T16:02:18+08:00,RPA-redis,0.65%,3.273MiB / 15.4GiB,0.02%,993kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T16:02:18+08:00,RPA-grafana,0.23%,104.6MiB / 15.4GiB,0.66%,23.6MB / 274kB,503MB / 132MB,25
2026-06-21T16:02:18+08:00,RPA-alloy,1.78%,206MiB / 15.4GiB,1.31%,817kB / 198MB,631MB / 60.1MB,26
2026-06-21T16:02:18+08:00,RPA-loki,13.74%,475.7MiB / 15.4GiB,3.02%,198MB / 76.5MB,455MB / 1.24GB,26
2026-06-21T16:02:18+08:00,rmqbroker,5.09%,1.243GiB / 15.4GiB,8.07%,1.63MB / 2.91MB,131MB / 379MB,259
2026-06-21T16:02:18+08:00,rmqdashboard,0.19%,481.4MiB / 15.4GiB,3.05%,1.79MB / 967kB,205MB / 240MB,66
2026-06-21T16:02:18+08:00,RPA-prometheus,0.00%,291.3MiB / 15.4GiB,1.85%,297MB / 4.07MB,291MB / 116MB,26
2026-06-21T16:02:18+08:00,RPA-minio,0.00%,303.4MiB / 15.4GiB,1.92%,87.1MB / 8.02MB,222MB / 220MB,45
2026-06-21T16:02:18+08:00,rmqnamesrv,0.13%,191MiB / 15.4GiB,1.21%,2.73MB / 2.06MB,215MB / 343MB,81
2026-06-21T16:02:18+08:00,RPA-cadvisor,2.83%,300MiB / 15.4GiB,1.90%,4.09MB / 296MB,162MB / 20.2MB,28
2026-06-21T16:02:21+08:00,script-k6-run-60fe74c7bcc4,122.61%,89.12MiB / 15.4GiB,0.57%,111MB / 16MB,0B / 0B,26
2026-06-21T16:02:21+08:00,RPA-app,195.11%,33.68MiB / 2GiB,1.64%,4.59GB / 6.2GB,7.14MB / 274kB,21
2026-06-21T16:02:21+08:00,RPA-pgdb,380.00%,145.3MiB / 15.4GiB,0.92%,528MB / 3.66GB,33.2MB / 680MB,42
2026-06-21T16:02:21+08:00,RPA-redis,0.18%,3.773MiB / 15.4GiB,0.02%,993kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T16:02:21+08:00,RPA-grafana,0.16%,104.6MiB / 15.4GiB,0.66%,23.6MB / 274kB,503MB / 132MB,25
2026-06-21T16:02:21+08:00,RPA-alloy,12.22%,206.9MiB / 15.4GiB,1.31%,822kB / 200MB,631MB / 60.1MB,26
2026-06-21T16:02:21+08:00,RPA-loki,12.40%,473.3MiB / 15.4GiB,3.00%,201MB / 76.5MB,455MB / 1.24GB,26
2026-06-21T16:02:21+08:00,rmqbroker,5.79%,1.243GiB / 15.4GiB,8.07%,1.63MB / 2.91MB,131MB / 379MB,259
2026-06-21T16:02:21+08:00,rmqdashboard,0.07%,481.4MiB / 15.4GiB,3.05%,1.79MB / 967kB,205MB / 240MB,66
2026-06-21T16:02:21+08:00,RPA-prometheus,0.00%,291.3MiB / 15.4GiB,1.85%,297MB / 4.07MB,291MB / 116MB,26
2026-06-21T16:02:21+08:00,RPA-minio,0.03%,303.3MiB / 15.4GiB,1.92%,87.1MB / 8.02MB,222MB / 220MB,45
2026-06-21T16:02:21+08:00,rmqnamesrv,0.15%,191.2MiB / 15.4GiB,1.21%,2.73MB / 2.07MB,215MB / 343MB,81
2026-06-21T16:02:21+08:00,RPA-cadvisor,2.73%,308.5MiB / 15.4GiB,1.96%,4.09MB / 296MB,162MB / 20.2MB,28
2026-06-21T16:02:24+08:00,script-k6-run-60fe74c7bcc4,119.92%,101.6MiB / 15.4GiB,0.64%,153MB / 22.1MB,0B / 0B,26
2026-06-21T16:02:24+08:00,RPA-app,189.93%,33.98MiB / 2GiB,1.66%,4.62GB / 6.23GB,7.14MB / 274kB,21
2026-06-21T16:02:24+08:00,RPA-pgdb,397.37%,159.9MiB / 15.4GiB,1.01%,533MB / 3.68GB,33.2MB / 681MB,47
2026-06-21T16:02:24+08:00,RPA-redis,0.16%,3.773MiB / 15.4GiB,0.02%,993kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T16:02:24+08:00,RPA-grafana,3.14%,104.7MiB / 15.4GiB,0.66%,23.6MB / 274kB,503MB / 132MB,25
2026-06-21T16:02:24+08:00,RPA-alloy,46.82%,207.8MiB / 15.4GiB,1.32%,827kB / 202MB,634MB / 60.1MB,26
2026-06-21T16:02:24+08:00,RPA-loki,7.73%,472.8MiB / 15.4GiB,3.00%,203MB / 76.5MB,455MB / 1.24GB,26
2026-06-21T16:02:24+08:00,rmqbroker,5.02%,1.242GiB / 15.4GiB,8.07%,1.63MB / 2.91MB,131MB / 379MB,259
2026-06-21T16:02:24+08:00,rmqdashboard,0.07%,481.4MiB / 15.4GiB,3.05%,1.79MB / 967kB,205MB / 240MB,66
2026-06-21T16:02:24+08:00,RPA-prometheus,0.00%,291.3MiB / 15.4GiB,1.85%,297MB / 4.07MB,291MB / 116MB,26
2026-06-21T16:02:24+08:00,RPA-minio,0.00%,303.3MiB / 15.4GiB,1.92%,87.1MB / 8.02MB,222MB / 220MB,45
2026-06-21T16:02:24+08:00,rmqnamesrv,0.17%,191.5MiB / 15.4GiB,1.21%,2.73MB / 2.07MB,215MB / 343MB,81
2026-06-21T16:02:24+08:00,RPA-cadvisor,2.57%,313.9MiB / 15.4GiB,1.99%,4.09MB / 296MB,162MB / 20.2MB,28
2026-06-21T16:02:27+08:00,script-k6-run-60fe74c7bcc4,167.97%,100.3MiB / 15.4GiB,0.64%,188MB / 27.1MB,0B / 0B,26
2026-06-21T16:02:27+08:00,RPA-app,185.72%,33.93MiB / 2GiB,1.66%,4.65GB / 6.27GB,7.14MB / 274kB,21
