timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:59:32+08:00,RPA-app,26.27%,31.98MiB / 2GiB,1.56%,945MB / 936MB,5.97MB / 0B,21
2026-06-21T15:59:32+08:00,RPA-pgdb,50.42%,148.4MiB / 15.4GiB,0.94%,76.5MB / 169MB,32.6MB / 146MB,58
2026-06-21T15:59:32+08:00,RPA-redis,0.53%,3.531MiB / 15.4GiB,0.02%,990kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T15:59:32+08:00,RPA-grafana,0.16%,88.57MiB / 15.4GiB,0.56%,23.6MB / 274kB,486MB / 132MB,25
2026-06-21T15:59:32+08:00,RPA-alloy,6.15%,200MiB / 15.4GiB,1.27%,495kB / 69MB,629MB / 59.6MB,26
2026-06-21T15:59:32+08:00,RPA-loki,9.73%,333.1MiB / 15.4GiB,2.11%,69.4MB / 15.7MB,436MB / 469MB,26
2026-06-21T15:59:32+08:00,rmqbroker,3.65%,1.243GiB / 15.4GiB,8.07%,1.6MB / 2.87MB,131MB / 375MB,259
2026-06-21T15:59:32+08:00,rmqdashboard,0.06%,484.5MiB / 15.4GiB,3.07%,1.76MB / 956kB,198MB / 229MB,66
2026-06-21T15:59:32+08:00,RPA-prometheus,0.00%,312.4MiB / 15.4GiB,1.98%,293MB / 4.01MB,287MB / 111MB,26
2026-06-21T15:59:32+08:00,RPA-minio,40.54%,196.9MiB / 15.4GiB,1.25%,17.7MB / 1.85MB,212MB / 120MB,45
2026-06-21T15:59:32+08:00,rmqnamesrv,0.10%,207MiB / 15.4GiB,1.31%,2.69MB / 2.04MB,214MB / 326MB,81
2026-06-21T15:59:32+08:00,RPA-cadvisor,2.00%,296.9MiB / 15.4GiB,1.88%,4.03MB / 293MB,161MB / 20.2MB,28
2026-06-21T15:59:32+08:00,script-k6-run-78128545fb4f,8.83%,31.59MiB / 15.4GiB,0.20%,237kB / 241kB,0B / 0B,25
2026-06-21T15:59:35+08:00,script-k6-run-78128545fb4f,9.11%,32.73MiB / 15.4GiB,0.21%,960kB / 858kB,0B / 0B,25
2026-06-21T15:59:35+08:00,RPA-app,26.24%,32.98MiB / 2GiB,1.61%,947MB / 939MB,5.97MB / 0B,21
2026-06-21T15:59:35+08:00,RPA-pgdb,44.05%,149.5MiB / 15.4GiB,0.95%,77.2MB / 170MB,32.6MB / 154MB,58
2026-06-21T15:59:35+08:00,RPA-redis,0.11%,3.531MiB / 15.4GiB,0.02%,990kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T15:59:35+08:00,RPA-grafana,0.14%,88.57MiB / 15.4GiB,0.56%,23.6MB / 274kB,486MB / 132MB,25
2026-06-21T15:59:35+08:00,RPA-alloy,25.62%,213MiB / 15.4GiB,1.35%,502kB / 71.6MB,629MB / 59.6MB,26
2026-06-21T15:59:35+08:00,RPA-loki,11.55%,332.5MiB / 15.4GiB,2.11%,72MB / 15.7MB,436MB / 469MB,26
2026-06-21T15:59:35+08:00,rmqbroker,3.49%,1.243GiB / 15.4GiB,8.07%,1.6MB / 2.87MB,131MB / 375MB,259
2026-06-21T15:59:35+08:00,rmqdashboard,0.06%,484.5MiB / 15.4GiB,3.07%,1.76MB / 956kB,198MB / 229MB,66
2026-06-21T15:59:35+08:00,RPA-prometheus,0.02%,312.8MiB / 15.4GiB,1.98%,293MB / 4.01MB,287MB / 111MB,26
2026-06-21T15:59:35+08:00,RPA-minio,39.90%,292.6MiB / 15.4GiB,1.86%,19.2MB / 2.89MB,216MB / 124MB,45
2026-06-21T15:59:35+08:00,rmqnamesrv,0.16%,207.1MiB / 15.4GiB,1.31%,2.69MB / 2.04MB,214MB / 326MB,81
2026-06-21T15:59:35+08:00,RPA-cadvisor,2.26%,303.2MiB / 15.4GiB,1.92%,4.03MB / 293MB,161MB / 20.2MB,28
2026-06-21T15:59:39+08:00,script-k6-run-78128545fb4f,8.08%,36.46MiB / 15.4GiB,0.23%,1.68MB / 1.48MB,0B / 0B,26
2026-06-21T15:59:39+08:00,RPA-app,26.76%,32.71MiB / 2GiB,1.60%,950MB / 942MB,6.09MB / 0B,21
2026-06-21T15:59:39+08:00,RPA-pgdb,44.30%,148.9MiB / 15.4GiB,0.94%,78MB / 171MB,32.6MB / 162MB,58
2026-06-21T15:59:39+08:00,RPA-redis,0.11%,3.281MiB / 15.4GiB,0.02%,990kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T15:59:39+08:00,RPA-grafana,0.15%,88.61MiB / 15.4GiB,0.56%,23.6MB / 274kB,486MB / 132MB,25
2026-06-21T15:59:39+08:00,RPA-alloy,59.73%,215.1MiB / 15.4GiB,1.36%,506kB / 73.5MB,629MB / 59.6MB,26
2026-06-21T15:59:39+08:00,RPA-loki,9.59%,341.5MiB / 15.4GiB,2.17%,73.9MB / 15.7MB,436MB / 469MB,26
2026-06-21T15:59:39+08:00,rmqbroker,3.80%,1.242GiB / 15.4GiB,8.07%,1.6MB / 2.88MB,131MB / 376MB,259
2026-06-21T15:59:39+08:00,rmqdashboard,0.11%,484.7MiB / 15.4GiB,3.07%,1.76MB / 957kB,198MB / 229MB,66
2026-06-21T15:59:39+08:00,RPA-prometheus,0.00%,313.1MiB / 15.4GiB,1.99%,293MB / 4.01MB,287MB / 111MB,26
2026-06-21T15:59:39+08:00,RPA-minio,40.23%,323MiB / 15.4GiB,2.05%,20.7MB / 3.92MB,218MB / 128MB,45
2026-06-21T15:59:39+08:00,rmqnamesrv,0.41%,207.5MiB / 15.4GiB,1.32%,2.7MB / 2.04MB,214MB / 326MB,81
2026-06-21T15:59:39+08:00,RPA-cadvisor,2.06%,309.2MiB / 15.4GiB,1.96%,4.03MB / 293MB,161MB / 20.2MB,28
2026-06-21T15:59:42+08:00,script-k6-run-78128545fb4f,8.87%,36.87MiB / 15.4GiB,0.23%,2.14MB / 1.87MB,0B / 0B,26
2026-06-21T15:59:42+08:00,RPA-app,26.04%,32.71MiB / 2GiB,1.60%,952MB / 945MB,6.19MB / 57.3kB,21
2026-06-21T15:59:42+08:00,RPA-pgdb,44.20%,150.1MiB / 15.4GiB,0.95%,78.8MB / 171MB,32.6MB / 169MB,58
2026-06-21T15:59:42+08:00,RPA-redis,0.48%,5.336MiB / 15.4GiB,0.03%,990kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T15:59:42+08:00,RPA-grafana,0.13%,88.98MiB / 15.4GiB,0.56%,23.6MB / 274kB,486MB / 132MB,25
2026-06-21T15:59:42+08:00,RPA-alloy,25.27%,200MiB / 15.4GiB,1.27%,514kB / 76.2MB,629MB / 59.6MB,26
2026-06-21T15:59:42+08:00,RPA-loki,9.06%,326.2MiB / 15.4GiB,2.07%,76.6MB / 26.4MB,436MB / 469MB,26
2026-06-21T15:59:42+08:00,rmqbroker,3.81%,1.242GiB / 15.4GiB,8.07%,1.6MB / 2.88MB,131MB / 376MB,259
2026-06-21T15:59:42+08:00,rmqdashboard,0.06%,484.5MiB / 15.4GiB,3.07%,1.76MB / 957kB,198MB / 229MB,66
2026-06-21T15:59:42+08:00,RPA-prometheus,0.05%,313.3MiB / 15.4GiB,1.99%,293MB / 4.01MB,287MB / 111MB,26
2026-06-21T15:59:42+08:00,RPA-minio,40.02%,328.1MiB / 15.4GiB,2.08%,32.9MB / 4.94MB,218MB / 143MB,45
2026-06-21T15:59:42+08:00,rmqnamesrv,0.11%,207.2MiB / 15.4GiB,1.31%,2.7MB / 2.04MB,214MB / 326MB,81
2026-06-21T15:59:42+08:00,RPA-cadvisor,1.53%,309.1MiB / 15.4GiB,1.96%,4.03MB / 293MB,161MB / 20.2MB,28
2026-06-21T15:59:45+08:00,script-k6-run-78128545fb4f,7.92%,38.11MiB / 15.4GiB,0.24%,3.02MB / 2.63MB,0B / 0B,26
2026-06-21T15:59:45+08:00,RPA-app,26.17%,32.96MiB / 2GiB,1.61%,955MB / 947MB,6.19MB / 131kB,21
2026-06-21T15:59:45+08:00,RPA-pgdb,42.53%,152.1MiB / 15.4GiB,0.96%,79.5MB / 172MB,32.6MB / 177MB,59
2026-06-21T15:59:45+08:00,RPA-redis,0.11%,3.531MiB / 15.4GiB,0.02%,990kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T15:59:45+08:00,RPA-grafana,0.13%,88.98MiB / 15.4GiB,0.56%,23.6MB / 274kB,486MB / 132MB,25
2026-06-21T15:59:45+08:00,RPA-alloy,61.19%,196.6MiB / 15.4GiB,1.25%,519kB / 78.5MB,629MB / 59.6MB,26
2026-06-21T15:59:45+08:00,RPA-loki,11.89%,317.7MiB / 15.4GiB,2.02%,79MB / 26.5MB,436MB / 469MB,26
2026-06-21T15:59:45+08:00,rmqbroker,3.38%,1.242GiB / 15.4GiB,8.07%,1.61MB / 2.88MB,131MB / 376MB,259
2026-06-21T15:59:45+08:00,rmqdashboard,0.06%,484.5MiB / 15.4GiB,3.07%,1.76MB / 957kB,198MB / 229MB,66
2026-06-21T15:59:45+08:00,RPA-prometheus,0.00%,297.3MiB / 15.4GiB,1.89%,294MB / 4.02MB,288MB / 111MB,26
2026-06-21T15:59:45+08:00,RPA-minio,40.63%,330.6MiB / 15.4GiB,2.10%,34.3MB / 5.88MB,218MB / 147MB,45
2026-06-21T15:59:45+08:00,rmqnamesrv,0.10%,207.5MiB / 15.4GiB,1.32%,2.7MB / 2.04MB,214MB / 326MB,81
2026-06-21T15:59:45+08:00,RPA-cadvisor,38.80%,297.4MiB / 15.4GiB,1.89%,4.03MB / 293MB,161MB / 20.2MB,28
2026-06-21T15:59:48+08:00,script-k6-run-78128545fb4f,7.44%,37.46MiB / 15.4GiB,0.24%,3.71MB / 3.22MB,0B / 0B,26
2026-06-21T15:59:48+08:00,RPA-app,25.34%,34.58MiB / 2GiB,1.69%,956MB / 949MB,6.23MB / 184kB,21
2026-06-21T15:59:48+08:00,RPA-pgdb,42.81%,152.5MiB / 15.4GiB,0.97%,80.2MB / 173MB,32.6MB / 184MB,59
2026-06-21T15:59:48+08:00,RPA-redis,0.14%,3.777MiB / 15.4GiB,0.02%,990kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T15:59:48+08:00,RPA-grafana,0.16%,88.98MiB / 15.4GiB,0.56%,23.6MB / 274kB,486MB / 132MB,25
2026-06-21T15:59:48+08:00,RPA-alloy,1.15%,197.5MiB / 15.4GiB,1.25%,524kB / 80.6MB,629MB / 59.6MB,26
2026-06-21T15:59:48+08:00,RPA-loki,7.68%,323.2MiB / 15.4GiB,2.05%,81MB / 26.5MB,436MB / 469MB,26
2026-06-21T15:59:48+08:00,rmqbroker,3.79%,1.242GiB / 15.4GiB,8.07%,1.61MB / 2.88MB,131MB / 376MB,259
2026-06-21T15:59:48+08:00,rmqdashboard,0.33%,484.7MiB / 15.4GiB,3.07%,1.76MB / 957kB,198MB / 229MB,66
2026-06-21T15:59:48+08:00,RPA-prometheus,0.00%,297.6MiB / 15.4GiB,1.89%,294MB / 4.02MB,288MB / 111MB,26
2026-06-21T15:59:48+08:00,RPA-minio,39.15%,332.8MiB / 15.4GiB,2.11%,35.7MB / 6.86MB,218MB / 151MB,45
2026-06-21T15:59:48+08:00,rmqnamesrv,0.09%,207.3MiB / 15.4GiB,1.31%,2.7MB / 2.04MB,214MB / 326MB,81
