timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:58:47+08:00,RPA-app,111.39%,22.32MiB / 2GiB,1.09%,764MB / 710MB,5.86MB / 0B,8
2026-06-21T15:58:47+08:00,RPA-pgdb,369.15%,91.02MiB / 15.4GiB,0.58%,9.55MB / 29.5MB,28.8MB / 62.2MB,49
2026-06-21T15:58:47+08:00,RPA-redis,0.73%,3.281MiB / 15.4GiB,0.02%,989kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T15:58:47+08:00,RPA-grafana,0.16%,88.12MiB / 15.4GiB,0.56%,23.6MB / 274kB,486MB / 132MB,25
2026-06-21T15:58:47+08:00,RPA-alloy,1.35%,208.1MiB / 15.4GiB,1.32%,407kB / 34.8MB,621MB / 59.4MB,26
2026-06-21T15:58:47+08:00,RPA-loki,12.25%,234.7MiB / 15.4GiB,1.49%,35.2MB / 6.18MB,404MB / 249MB,25
2026-06-21T15:58:47+08:00,rmqbroker,4.66%,1.242GiB / 15.4GiB,8.07%,1.6MB / 2.86MB,131MB / 374MB,259
2026-06-21T15:58:47+08:00,rmqdashboard,0.08%,484.6MiB / 15.4GiB,3.07%,1.75MB / 953kB,198MB / 229MB,66
2026-06-21T15:58:47+08:00,RPA-prometheus,0.00%,302.9MiB / 15.4GiB,1.92%,292MB / 3.99MB,284MB / 110MB,26
2026-06-21T15:58:47+08:00,RPA-minio,0.02%,119.4MiB / 15.4GiB,0.76%,7.66MB / 1.44MB,195MB / 106MB,25
2026-06-21T15:58:47+08:00,rmqnamesrv,0.14%,206.6MiB / 15.4GiB,1.31%,2.69MB / 2.03MB,214MB / 326MB,81
2026-06-21T15:58:47+08:00,RPA-cadvisor,7.82%,303.6MiB / 15.4GiB,1.93%,4.01MB / 292MB,159MB / 20.2MB,28
2026-06-21T15:58:47+08:00,script-k6-run-45575d0d2e84,154.76%,63.46MiB / 15.4GiB,0.40%,11.6MB / 2.89MB,20.5kB / 0B,26
2026-06-21T15:58:51+08:00,script-k6-run-45575d0d2e84,159.93%,123.5MiB / 15.4GiB,0.78%,36MB / 8.89MB,20.5kB / 0B,26
2026-06-21T15:58:51+08:00,RPA-app,177.99%,24.44MiB / 2GiB,1.19%,799MB / 754MB,5.86MB / 0B,8
2026-06-21T15:58:51+08:00,RPA-pgdb,581.60%,97.14MiB / 15.4GiB,0.62%,21.7MB / 56.2MB,28.8MB / 62.2MB,48
2026-06-21T15:58:51+08:00,RPA-redis,0.16%,3.531MiB / 15.4GiB,0.02%,989kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T15:58:51+08:00,RPA-grafana,0.20%,88.13MiB / 15.4GiB,0.56%,23.6MB / 274kB,486MB / 132MB,25
2026-06-21T15:58:51+08:00,RPA-alloy,69.30%,208.1MiB / 15.4GiB,1.32%,415kB / 37.8MB,625MB / 59.5MB,26
2026-06-21T15:58:51+08:00,RPA-loki,18.04%,243MiB / 15.4GiB,1.54%,38.2MB / 6.19MB,405MB / 249MB,25
2026-06-21T15:58:51+08:00,rmqbroker,5.57%,1.242GiB / 15.4GiB,8.07%,1.6MB / 2.87MB,131MB / 375MB,259
2026-06-21T15:58:51+08:00,rmqdashboard,0.08%,484.6MiB / 15.4GiB,3.07%,1.75MB / 953kB,198MB / 229MB,66
2026-06-21T15:58:51+08:00,RPA-prometheus,0.02%,303.2MiB / 15.4GiB,1.92%,292MB / 3.99MB,284MB / 110MB,26
2026-06-21T15:58:51+08:00,RPA-minio,0.00%,119.4MiB / 15.4GiB,0.76%,7.66MB / 1.44MB,195MB / 106MB,25
2026-06-21T15:58:51+08:00,rmqnamesrv,0.13%,206.6MiB / 15.4GiB,1.31%,2.69MB / 2.03MB,214MB / 326MB,81
2026-06-21T15:58:51+08:00,RPA-cadvisor,3.68%,304MiB / 15.4GiB,1.93%,4.01MB / 292MB,159MB / 20.2MB,28
2026-06-21T15:58:54+08:00,script-k6-run-45575d0d2e84,160.02%,116.9MiB / 15.4GiB,0.74%,61.2MB / 15.1MB,20.5kB / 0B,26
2026-06-21T15:58:54+08:00,RPA-app,180.38%,24.25MiB / 2GiB,1.18%,817MB / 777MB,5.86MB / 0B,8
2026-06-21T15:58:54+08:00,RPA-pgdb,590.74%,102.3MiB / 15.4GiB,0.65%,31.1MB / 77.3MB,28.8MB / 62.2MB,50
2026-06-21T15:58:54+08:00,RPA-redis,0.16%,4.031MiB / 15.4GiB,0.03%,989kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T15:58:54+08:00,RPA-grafana,0.16%,88.13MiB / 15.4GiB,0.56%,23.6MB / 274kB,486MB / 132MB,25
2026-06-21T15:58:54+08:00,RPA-alloy,66.55%,208.4MiB / 15.4GiB,1.32%,420kB / 39.8MB,625MB / 59.5MB,26
2026-06-21T15:58:54+08:00,RPA-loki,13.74%,244.7MiB / 15.4GiB,1.55%,40.3MB / 6.2MB,405MB / 249MB,25
2026-06-21T15:58:54+08:00,rmqbroker,6.60%,1.242GiB / 15.4GiB,8.07%,1.6MB / 2.87MB,131MB / 375MB,259
2026-06-21T15:58:54+08:00,rmqdashboard,0.07%,484.6MiB / 15.4GiB,3.07%,1.76MB / 953kB,198MB / 229MB,66
2026-06-21T15:58:54+08:00,RPA-prometheus,0.00%,303.4MiB / 15.4GiB,1.92%,292MB / 3.99MB,284MB / 110MB,26
2026-06-21T15:58:54+08:00,RPA-minio,0.03%,119.4MiB / 15.4GiB,0.76%,7.66MB / 1.44MB,195MB / 106MB,25
2026-06-21T15:58:54+08:00,rmqnamesrv,0.19%,206.6MiB / 15.4GiB,1.31%,2.69MB / 2.03MB,214MB / 326MB,81
2026-06-21T15:58:54+08:00,RPA-cadvisor,6.11%,260MiB / 15.4GiB,1.65%,4.01MB / 292MB,159MB / 20.2MB,28
2026-06-21T15:58:57+08:00,script-k6-run-45575d0d2e84,159.14%,100.3MiB / 15.4GiB,0.64%,85.6MB / 21.2MB,20.5kB / 0B,26
2026-06-21T15:58:57+08:00,RPA-app,181.60%,24.58MiB / 2GiB,1.20%,853MB / 822MB,5.86MB / 0B,8
2026-06-21T15:58:57+08:00,RPA-pgdb,596.27%,102.2MiB / 15.4GiB,0.65%,40.5MB / 97.9MB,28.8MB / 62.2MB,46
2026-06-21T15:58:57+08:00,RPA-redis,0.63%,4.27MiB / 15.4GiB,0.03%,989kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T15:58:57+08:00,RPA-grafana,0.17%,88.13MiB / 15.4GiB,0.56%,23.6MB / 274kB,486MB / 132MB,25
2026-06-21T15:58:57+08:00,RPA-alloy,64.94%,205.7MiB / 15.4GiB,1.30%,426kB / 42.2MB,625MB / 59.5MB,26
2026-06-21T15:58:57+08:00,RPA-loki,1.82%,250.9MiB / 15.4GiB,1.59%,42.4MB / 6.2MB,405MB / 249MB,25
2026-06-21T15:58:57+08:00,rmqbroker,5.01%,1.242GiB / 15.4GiB,8.07%,1.6MB / 2.87MB,131MB / 375MB,259
2026-06-21T15:58:57+08:00,rmqdashboard,0.06%,484.4MiB / 15.4GiB,3.07%,1.76MB / 953kB,198MB / 229MB,66
2026-06-21T15:58:57+08:00,RPA-prometheus,0.08%,303.6MiB / 15.4GiB,1.93%,292MB / 3.99MB,284MB / 110MB,26
2026-06-21T15:58:57+08:00,RPA-minio,0.03%,119.4MiB / 15.4GiB,0.76%,7.66MB / 1.44MB,195MB / 106MB,25
2026-06-21T15:58:57+08:00,rmqnamesrv,0.13%,206.6MiB / 15.4GiB,1.31%,2.69MB / 2.03MB,214MB / 326MB,81
2026-06-21T15:58:57+08:00,RPA-cadvisor,4.53%,260.8MiB / 15.4GiB,1.65%,4.01MB / 292MB,159MB / 20.2MB,28
2026-06-21T15:59:00+08:00,script-k6-run-45575d0d2e84,153.64%,147.1MiB / 15.4GiB,0.93%,110MB / 27.2MB,20.5kB / 0B,26
2026-06-21T15:59:00+08:00,RPA-app,182.45%,25.71MiB / 2GiB,1.26%,879MB / 856MB,5.86MB / 0B,8
2026-06-21T15:59:00+08:00,RPA-pgdb,601.17%,106.7MiB / 15.4GiB,0.68%,49.9MB / 119MB,28.8MB / 62.2MB,49
2026-06-21T15:59:00+08:00,RPA-redis,0.14%,3.531MiB / 15.4GiB,0.02%,989kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T15:59:00+08:00,RPA-grafana,0.11%,88.13MiB / 15.4GiB,0.56%,23.6MB / 274kB,486MB / 132MB,25
2026-06-21T15:59:00+08:00,RPA-alloy,3.97%,205MiB / 15.4GiB,1.30%,432kB / 44.6MB,625MB / 59.5MB,26
2026-06-21T15:59:00+08:00,RPA-loki,12.33%,255.8MiB / 15.4GiB,1.62%,45MB / 6.21MB,411MB / 249MB,25
2026-06-21T15:59:00+08:00,rmqbroker,5.69%,1.243GiB / 15.4GiB,8.07%,1.6MB / 2.87MB,131MB / 375MB,259
2026-06-21T15:59:00+08:00,rmqdashboard,0.07%,484.4MiB / 15.4GiB,3.07%,1.76MB / 954kB,198MB / 229MB,66
2026-06-21T15:59:00+08:00,RPA-prometheus,0.00%,308.1MiB / 15.4GiB,1.95%,293MB / 4MB,287MB / 110MB,26
2026-06-21T15:59:00+08:00,RPA-minio,0.02%,119.4MiB / 15.4GiB,0.76%,7.66MB / 1.44MB,195MB / 106MB,25
2026-06-21T15:59:00+08:00,rmqnamesrv,0.13%,206.7MiB / 15.4GiB,1.31%,2.69MB / 2.04MB,214MB / 326MB,81
2026-06-21T15:59:00+08:00,RPA-cadvisor,12.69%,303.6MiB / 15.4GiB,1.93%,4.02MB / 292MB,159MB / 20.2MB,28
2026-06-21T15:59:03+08:00,script-k6-run-45575d0d2e84,166.29%,121.6MiB / 15.4GiB,0.77%,126MB / 31.2MB,20.5kB / 0B,26
2026-06-21T15:59:03+08:00,RPA-app,183.01%,26.94MiB / 2GiB,1.32%,907MB / 891MB,5.86MB / 0B,8
2026-06-21T15:59:03+08:00,RPA-pgdb,610.37%,95.56MiB / 15.4GiB,0.61%,59.6MB / 140MB,28.8MB / 62.3MB,47
2026-06-21T15:59:03+08:00,RPA-redis,0.17%,3.781MiB / 15.4GiB,0.02%,989kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T15:59:03+08:00,RPA-grafana,0.17%,88.13MiB / 15.4GiB,0.56%,23.6MB / 274kB,486MB / 132MB,25
2026-06-21T15:59:03+08:00,RPA-alloy,2.69%,206.2MiB / 15.4GiB,1.31%,439kB / 47.1MB,625MB / 59.5MB,26
2026-06-21T15:59:03+08:00,RPA-loki,15.14%,258.2MiB / 15.4GiB,1.64%,47.5MB / 6.22MB,411MB / 249MB,25
2026-06-21T15:59:03+08:00,rmqbroker,4.78%,1.242GiB / 15.4GiB,8.07%,1.6MB / 2.87MB,131MB / 375MB,259
2026-06-21T15:59:03+08:00,rmqdashboard,0.17%,484.4MiB / 15.4GiB,3.07%,1.76MB / 954kB,198MB / 229MB,66
2026-06-21T15:59:03+08:00,RPA-prometheus,0.00%,308.3MiB / 15.4GiB,1.96%,293MB / 4MB,287MB / 110MB,26
