timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:59:09+08:00,RPA-app,14.53%,28.43MiB / 2GiB,1.39%,933MB / 924MB,5.86MB / 0B,21
2026-06-21T15:59:09+08:00,RPA-pgdb,68.90%,149.4MiB / 15.4GiB,0.95%,68.9MB / 160MB,32.6MB / 66.7MB,59
2026-06-21T15:59:09+08:00,RPA-redis,0.10%,3.531MiB / 15.4GiB,0.02%,990kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T15:59:09+08:00,RPA-grafana,1.28%,90.05MiB / 15.4GiB,0.57%,23.6MB / 274kB,486MB / 132MB,25
2026-06-21T15:59:09+08:00,RPA-alloy,2.18%,202.3MiB / 15.4GiB,1.28%,451kB / 51.8MB,625MB / 59.5MB,26
2026-06-21T15:59:09+08:00,RPA-loki,13.48%,289.3MiB / 15.4GiB,1.84%,52.3MB / 15.6MB,433MB / 356MB,25
2026-06-21T15:59:09+08:00,rmqbroker,3.90%,1.242GiB / 15.4GiB,8.07%,1.6MB / 2.87MB,131MB / 375MB,259
2026-06-21T15:59:09+08:00,rmqdashboard,0.06%,484.4MiB / 15.4GiB,3.07%,1.76MB / 954kB,198MB / 229MB,66
2026-06-21T15:59:09+08:00,RPA-prometheus,0.00%,309.1MiB / 15.4GiB,1.96%,293MB / 4MB,287MB / 111MB,26
2026-06-21T15:59:09+08:00,RPA-minio,0.02%,119.9MiB / 15.4GiB,0.76%,17.1MB / 1.45MB,195MB / 117MB,25
2026-06-21T15:59:09+08:00,rmqnamesrv,0.23%,207.3MiB / 15.4GiB,1.31%,2.69MB / 2.04MB,214MB / 326MB,81
2026-06-21T15:59:09+08:00,RPA-cadvisor,2.02%,259.9MiB / 15.4GiB,1.65%,4.02MB / 292MB,159MB / 20.2MB,28
2026-06-21T15:59:09+08:00,script-k6-run-926de72e735c,11.17%,31.77MiB / 15.4GiB,0.20%,221kB / 177kB,0B / 0B,26
2026-06-21T15:59:12+08:00,script-k6-run-926de72e735c,10.87%,34.25MiB / 15.4GiB,0.22%,833kB / 610kB,0B / 0B,26
2026-06-21T15:59:12+08:00,RPA-app,14.43%,30.31MiB / 2GiB,1.48%,935MB / 925MB,5.86MB / 0B,21
2026-06-21T15:59:12+08:00,RPA-pgdb,71.62%,151MiB / 15.4GiB,0.96%,70.1MB / 162MB,32.6MB / 79MB,59
2026-06-21T15:59:12+08:00,RPA-redis,0.46%,3.781MiB / 15.4GiB,0.02%,990kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T15:59:12+08:00,RPA-grafana,0.15%,88.56MiB / 15.4GiB,0.56%,23.6MB / 274kB,486MB / 132MB,25
2026-06-21T15:59:12+08:00,RPA-alloy,1.01%,202.7MiB / 15.4GiB,1.29%,456kB / 53.9MB,625MB / 59.5MB,26
