timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:58:01+08:00,RPA-app,104.63%,402.1MiB / 2GiB,19.63%,8.79MB / 7.44MB,2.63MB / 0B,8
2026-06-21T15:58:01+08:00,RPA-pgdb,2.17%,43.63MiB / 15.4GiB,0.28%,7.52MB / 25.3MB,25.4MB / 60.6MB,14
2026-06-21T15:58:01+08:00,RPA-redis,0.14%,17.64MiB / 15.4GiB,0.11%,958kB / 328kB,18.3MB / 836kB,7
2026-06-21T15:58:01+08:00,RPA-grafana,0.12%,124.2MiB / 15.4GiB,0.79%,23.6MB / 274kB,470MB / 111MB,25
2026-06-21T15:58:01+08:00,RPA-alloy,0.15%,205.9MiB / 15.4GiB,1.31%,316kB / 2.19MB,592MB / 56.5MB,26
2026-06-21T15:58:01+08:00,RPA-loki,0.37%,122.5MiB / 15.4GiB,0.78%,2.6MB / 719kB,349MB / 40.4MB,25
2026-06-21T15:58:01+08:00,rmqbroker,3.80%,1.256GiB / 15.4GiB,8.16%,1.59MB / 2.86MB,131MB / 358MB,259
2026-06-21T15:58:01+08:00,rmqdashboard,0.07%,518.1MiB / 15.4GiB,3.29%,1.75MB / 950kB,197MB / 199MB,66
2026-06-21T15:58:01+08:00,RPA-prometheus,0.02%,312.3MiB / 15.4GiB,1.98%,291MB / 3.97MB,268MB / 110MB,26
2026-06-21T15:58:01+08:00,RPA-minio,0.00%,144.5MiB / 15.4GiB,0.92%,2.28MB / 1.44MB,185MB / 96.7MB,25
2026-06-21T15:58:01+08:00,rmqnamesrv,0.11%,249MiB / 15.4GiB,1.58%,2.67MB / 2.03MB,214MB / 287MB,81
2026-06-21T15:58:01+08:00,RPA-cadvisor,10.49%,277.2MiB / 15.4GiB,1.76%,3.99MB / 291MB,158MB / 20.2MB,28
2026-06-21T15:58:01+08:00,script-k6-run-d7bbc32f1145,633.55%,213.3MiB / 15.4GiB,1.35%,24.1MB / 28.5MB,0B / 0B,26
2026-06-21T15:58:05+08:00,script-k6-run-d7bbc32f1145,643.15%,566.9MiB / 15.4GiB,3.60%,77.8MB / 92.4MB,0B / 0B,26
2026-06-21T15:58:05+08:00,RPA-app,180.37%,53.64MiB / 2GiB,2.62%,92.3MB / 77.8MB,5.23MB / 0B,8
2026-06-21T15:58:05+08:00,RPA-pgdb,0.40%,44.2MiB / 15.4GiB,0.28%,7.55MB / 25.3MB,25.4MB / 60.9MB,14
2026-06-21T15:58:05+08:00,RPA-redis,0.18%,17.64MiB / 15.4GiB,0.11%,958kB / 328kB,18.3MB / 836kB,7
2026-06-21T15:58:05+08:00,RPA-grafana,0.12%,124.6MiB / 15.4GiB,0.79%,23.6MB / 274kB,470MB / 111MB,25
2026-06-21T15:58:05+08:00,RPA-alloy,118.71%,138.3MiB / 15.4GiB,0.88%,322kB / 3.62MB,617MB / 59.3MB,26
2026-06-21T15:58:05+08:00,RPA-loki,32.87%,239.8MiB / 15.4GiB,1.52%,4.17MB / 725kB,386MB / 40.8MB,25
2026-06-21T15:58:05+08:00,rmqbroker,4.48%,1.256GiB / 15.4GiB,8.16%,1.59MB / 2.86MB,131MB / 358MB,259
2026-06-21T15:58:05+08:00,rmqdashboard,0.07%,500.3MiB / 15.4GiB,3.17%,1.75MB / 950kB,197MB / 212MB,66
2026-06-21T15:58:05+08:00,RPA-prometheus,0.49%,312.6MiB / 15.4GiB,1.98%,291MB / 3.97MB,268MB / 110MB,26
2026-06-21T15:58:05+08:00,RPA-minio,0.00%,104.1MiB / 15.4GiB,0.66%,2.28MB / 1.44MB,185MB / 97.7MB,25
2026-06-21T15:58:05+08:00,rmqnamesrv,0.13%,239.7MiB / 15.4GiB,1.52%,2.67MB / 2.03MB,214MB / 295MB,81
2026-06-21T15:58:05+08:00,RPA-cadvisor,2.89%,275.6MiB / 15.4GiB,1.75%,3.99MB / 291MB,158MB / 20.2MB,28
