timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:01:49+08:00,RPA-app,83.95%,31.52MiB / 2GiB,1.54%,4.35GB / 5.9GB,7.14MB / 274kB,21
2026-06-21T16:01:49+08:00,RPA-pgdb,255.61%,165.5MiB / 15.4GiB,1.05%,429MB / 3.46GB,33.2MB / 680MB,47
2026-06-21T16:01:49+08:00,RPA-redis,0.13%,3.273MiB / 15.4GiB,0.02%,993kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T16:01:49+08:00,RPA-grafana,0.20%,103.6MiB / 15.4GiB,0.66%,23.6MB / 274kB,502MB / 132MB,25
2026-06-21T16:01:49+08:00,RPA-alloy,6.68%,215.5MiB / 15.4GiB,1.37%,758kB / 174MB,631MB / 60MB,26
2026-06-21T16:01:49+08:00,RPA-loki,11.22%,444.3MiB / 15.4GiB,2.82%,175MB / 67MB,454MB / 1.13GB,26
2026-06-21T16:01:49+08:00,rmqbroker,4.19%,1.242GiB / 15.4GiB,8.07%,1.62MB / 2.9MB,131MB / 378MB,259
2026-06-21T16:01:49+08:00,rmqdashboard,0.15%,483.2MiB / 15.4GiB,3.06%,1.78MB / 965kB,205MB / 239MB,66
2026-06-21T16:01:49+08:00,RPA-prometheus,0.00%,291.3MiB / 15.4GiB,1.85%,296MB / 4.06MB,291MB / 115MB,26
2026-06-21T16:01:49+08:00,RPA-minio,0.00%,331.3MiB / 15.4GiB,2.10%,77.7MB / 8.01MB,222MB / 209MB,45
2026-06-21T16:01:49+08:00,rmqnamesrv,0.17%,196.1MiB / 15.4GiB,1.24%,2.72MB / 2.06MB,215MB / 339MB,81
2026-06-21T16:01:49+08:00,RPA-cadvisor,3.11%,309.8MiB / 15.4GiB,1.96%,4.08MB / 296MB,162MB / 20.2MB,28
2026-06-21T16:01:49+08:00,script-k6-run-9cdf6005957c,156.45%,59.15MiB / 15.4GiB,0.38%,7.46MB / 2.61MB,4.1kB / 0B,25
2026-06-21T16:01:52+08:00,script-k6-run-9cdf6005957c,152.92%,115.8MiB / 15.4GiB,0.73%,22.9MB / 7.96MB,414kB / 0B,25
2026-06-21T16:01:52+08:00,RPA-app,180.91%,32.44MiB / 2GiB,1.58%,4.38GB / 5.93GB,7.14MB / 274kB,21
