timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:01:27+08:00,RPA-app,187.28%,32.79MiB / 2GiB,1.60%,3.98GB / 5.24GB,7.14MB / 274kB,21
2026-06-21T16:01:27+08:00,RPA-pgdb,424.46%,169.3MiB / 15.4GiB,1.07%,330MB / 3.12GB,33.2MB / 680MB,49
2026-06-21T16:01:27+08:00,RPA-redis,0.15%,3.523MiB / 15.4GiB,0.02%,992kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T16:01:27+08:00,RPA-grafana,0.14%,97.09MiB / 15.4GiB,0.62%,23.6MB / 274kB,495MB / 132MB,25
2026-06-21T16:01:27+08:00,RPA-alloy,67.87%,204.4MiB / 15.4GiB,1.30%,716kB / 157MB,631MB / 59.9MB,26
2026-06-21T16:01:27+08:00,RPA-loki,12.86%,431.2MiB / 15.4GiB,2.74%,157MB / 57.6MB,454MB / 1.02GB,26
2026-06-21T16:01:27+08:00,rmqbroker,4.50%,1.243GiB / 15.4GiB,8.07%,1.62MB / 2.9MB,131MB / 378MB,259
2026-06-21T16:01:27+08:00,rmqdashboard,0.06%,489.9MiB / 15.4GiB,3.11%,1.78MB / 963kB,205MB / 232MB,66
2026-06-21T16:01:27+08:00,RPA-prometheus,0.00%,315.8MiB / 15.4GiB,2.00%,296MB / 4.05MB,289MB / 115MB,26
2026-06-21T16:01:27+08:00,RPA-minio,0.02%,329.4MiB / 15.4GiB,2.09%,68.3MB / 8MB,222MB / 198MB,45
2026-06-21T16:01:27+08:00,rmqnamesrv,0.11%,203.1MiB / 15.4GiB,1.29%,2.72MB / 2.06MB,214MB / 331MB,81
2026-06-21T16:01:27+08:00,RPA-cadvisor,2.16%,263.7MiB / 15.4GiB,1.67%,4.06MB / 295MB,162MB / 20.2MB,28
2026-06-21T16:01:27+08:00,script-k6-run-1e0967e5741b,123.26%,47.27MiB / 15.4GiB,0.30%,29.8MB / 1.8MB,0B / 0B,25
2026-06-21T16:01:30+08:00,script-k6-run-1e0967e5741b,120.51%,91.19MiB / 15.4GiB,0.58%,121MB / 7.3MB,0B / 0B,25
2026-06-21T16:01:30+08:00,RPA-app,186.80%,31.62MiB / 2GiB,1.54%,4.04GB / 5.35GB,7.14MB / 274kB,21
2026-06-21T16:01:30+08:00,RPA-pgdb,368.70%,171.1MiB / 15.4GiB,1.09%,346MB / 3.18GB,33.2MB / 680MB,54
2026-06-21T16:01:30+08:00,RPA-redis,0.13%,3.523MiB / 15.4GiB,0.02%,992kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T16:01:30+08:00,RPA-grafana,0.13%,97.09MiB / 15.4GiB,0.62%,23.6MB / 274kB,495MB / 132MB,25
2026-06-21T16:01:30+08:00,RPA-alloy,53.95%,206MiB / 15.4GiB,1.31%,723kB / 160MB,631MB / 59.9MB,26
2026-06-21T16:01:30+08:00,RPA-loki,11.22%,433.1MiB / 15.4GiB,2.75%,160MB / 57.6MB,454MB / 1.02GB,26
2026-06-21T16:01:30+08:00,rmqbroker,4.18%,1.243GiB / 15.4GiB,8.07%,1.62MB / 2.9MB,131MB / 378MB,259
2026-06-21T16:01:30+08:00,rmqdashboard,0.06%,490.1MiB / 15.4GiB,3.11%,1.78MB / 965kB,205MB / 232MB,66
2026-06-21T16:01:30+08:00,RPA-prometheus,0.00%,315.8MiB / 15.4GiB,2.00%,296MB / 4.06MB,289MB / 115MB,26
2026-06-21T16:01:30+08:00,RPA-minio,0.02%,329.4MiB / 15.4GiB,2.09%,68.3MB / 8MB,222MB / 198MB,45
2026-06-21T16:01:30+08:00,rmqnamesrv,0.11%,203.2MiB / 15.4GiB,1.29%,2.72MB / 2.06MB,214MB / 331MB,81
2026-06-21T16:01:30+08:00,RPA-cadvisor,47.18%,290.7MiB / 15.4GiB,1.84%,4.07MB / 295MB,162MB / 20.2MB,28
2026-06-21T16:01:33+08:00,script-k6-run-1e0967e5741b,117.50%,78.82MiB / 15.4GiB,0.50%,212MB / 12.7MB,0B / 0B,25
2026-06-21T16:01:33+08:00,RPA-app,186.55%,32.38MiB / 2GiB,1.58%,4.1GB / 5.45GB,7.14MB / 274kB,21
2026-06-21T16:01:33+08:00,RPA-pgdb,381.26%,175MiB / 15.4GiB,1.11%,362MB / 3.23GB,33.2MB / 680MB,53
2026-06-21T16:01:33+08:00,RPA-redis,0.54%,3.523MiB / 15.4GiB,0.02%,992kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T16:01:33+08:00,RPA-grafana,0.16%,97.09MiB / 15.4GiB,0.62%,23.6MB / 274kB,495MB / 132MB,25
2026-06-21T16:01:33+08:00,RPA-alloy,1.23%,206.7MiB / 15.4GiB,1.31%,727kB / 162MB,631MB / 59.9MB,26
2026-06-21T16:01:33+08:00,RPA-loki,11.99%,445.9MiB / 15.4GiB,2.83%,163MB / 57.6MB,454MB / 1.02GB,26
