timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:04:49+08:00,RPA-app,177.21%,44.3MiB / 2GiB,2.16%,5.84GB / 7.87GB,10MB / 18.6MB,38
2026-06-21T16:04:49+08:00,RPA-pgdb,1.39%,142.3MiB / 15.4GiB,0.90%,571MB / 3.75GB,33.4MB / 839MB,19
2026-06-21T16:04:49+08:00,RPA-redis,0.68%,5.078MiB / 15.4GiB,0.03%,6.31MB / 2.37MB,26.3MB / 10.1MB,7
2026-06-21T16:04:49+08:00,RPA-grafana,0.14%,79.63MiB / 15.4GiB,0.51%,23.6MB / 274kB,507MB / 136MB,25
2026-06-21T16:04:49+08:00,RPA-alloy,53.45%,182MiB / 15.4GiB,1.15%,1.1MB / 303MB,648MB / 63MB,26
2026-06-21T16:04:49+08:00,RPA-loki,10.86%,528.3MiB / 15.4GiB,3.35%,303MB / 116MB,455MB / 2GB,26
2026-06-21T16:04:49+08:00,rmqbroker,5.18%,1.216GiB / 15.4GiB,7.90%,1.65MB / 2.94MB,132MB / 411MB,259
2026-06-21T16:04:49+08:00,rmqdashboard,0.06%,482.9MiB / 15.4GiB,3.06%,1.81MB / 978kB,207MB / 241MB,66
2026-06-21T16:04:49+08:00,RPA-prometheus,0.00%,291.6MiB / 15.4GiB,1.85%,301MB / 4.13MB,291MB / 116MB,26
2026-06-21T16:04:49+08:00,RPA-minio,0.09%,347.9MiB / 15.4GiB,2.21%,141MB / 17.1MB,230MB / 424MB,53
2026-06-21T16:04:49+08:00,rmqnamesrv,0.16%,192.6MiB / 15.4GiB,1.22%,2.76MB / 2.09MB,215MB / 343MB,81
2026-06-21T16:04:49+08:00,RPA-cadvisor,3.14%,255.2MiB / 15.4GiB,1.62%,4.14MB / 300MB,164MB / 20.4MB,28
2026-06-21T16:04:49+08:00,script-k6-run-c5db40d8008a,689.93%,326MiB / 15.4GiB,2.07%,43.7MB / 33.1MB,0B / 0B,26
2026-06-21T16:04:53+08:00,script-k6-run-c5db40d8008a,728.93%,630.6MiB / 15.4GiB,4.00%,87.7MB / 66.5MB,0B / 0B,26
2026-06-21T16:04:53+08:00,RPA-app,180.52%,43.55MiB / 2GiB,2.13%,5.89GB / 7.93GB,10MB / 18.6MB,38
2026-06-21T16:04:53+08:00,RPA-pgdb,0.25%,141.2MiB / 15.4GiB,0.90%,571MB / 3.75GB,33.4MB / 840MB,19
2026-06-21T16:04:53+08:00,RPA-redis,0.19%,4.613MiB / 15.4GiB,0.03%,6.31MB / 2.37MB,26.3MB / 10.1MB,7
2026-06-21T16:04:53+08:00,RPA-grafana,0.18%,79.63MiB / 15.4GiB,0.51%,23.6MB / 274kB,507MB / 136MB,25
2026-06-21T16:04:53+08:00,RPA-alloy,11.00%,175.9MiB / 15.4GiB,1.12%,1.1MB / 305MB,648MB / 63MB,26
2026-06-21T16:04:53+08:00,RPA-loki,11.51%,528.4MiB / 15.4GiB,3.35%,306MB / 116MB,455MB / 2GB,26
2026-06-21T16:04:53+08:00,rmqbroker,6.58%,1.216GiB / 15.4GiB,7.90%,1.65MB / 2.94MB,132MB / 411MB,259
2026-06-21T16:04:53+08:00,rmqdashboard,0.18%,483.2MiB / 15.4GiB,3.06%,1.81MB / 978kB,207MB / 241MB,66
2026-06-21T16:04:53+08:00,RPA-prometheus,0.00%,291.6MiB / 15.4GiB,1.85%,301MB / 4.13MB,291MB / 116MB,26
2026-06-21T16:04:53+08:00,RPA-minio,0.04%,347.9MiB / 15.4GiB,2.21%,141MB / 17.1MB,230MB / 424MB,53
2026-06-21T16:04:53+08:00,rmqnamesrv,0.15%,192.6MiB / 15.4GiB,1.22%,2.76MB / 2.09MB,215MB / 343MB,81
2026-06-21T16:04:53+08:00,RPA-cadvisor,3.95%,266.7MiB / 15.4GiB,1.69%,4.14MB / 300MB,164MB / 20.4MB,28
2026-06-21T16:04:56+08:00,script-k6-run-c5db40d8008a,685.90%,453.4MiB / 15.4GiB,2.88%,131MB / 99MB,0B / 0B,26
2026-06-21T16:04:56+08:00,RPA-app,183.92%,44.32MiB / 2GiB,2.16%,5.92GB / 7.97GB,10MB / 18.6MB,38
2026-06-21T16:04:56+08:00,RPA-pgdb,0.28%,141.7MiB / 15.4GiB,0.90%,571MB / 3.75GB,33.4MB / 840MB,19
2026-06-21T16:04:56+08:00,RPA-redis,0.21%,3.871MiB / 15.4GiB,0.02%,6.31MB / 2.37MB,26.3MB / 10.1MB,7
2026-06-21T16:04:56+08:00,RPA-grafana,0.35%,83.25MiB / 15.4GiB,0.53%,23.6MB / 274kB,511MB / 136MB,25
2026-06-21T16:04:56+08:00,RPA-alloy,1.86%,175.5MiB / 15.4GiB,1.11%,1.11MB / 307MB,648MB / 63MB,26
2026-06-21T16:04:56+08:00,RPA-loki,15.10%,534.1MiB / 15.4GiB,3.39%,308MB / 116MB,455MB / 2GB,26
2026-06-21T16:04:56+08:00,rmqbroker,5.68%,1.215GiB / 15.4GiB,7.89%,1.65MB / 2.94MB,132MB / 411MB,259
2026-06-21T16:04:56+08:00,rmqdashboard,0.08%,482.9MiB / 15.4GiB,3.06%,1.81MB / 978kB,207MB / 241MB,66
2026-06-21T16:04:56+08:00,RPA-prometheus,0.01%,291.6MiB / 15.4GiB,1.85%,301MB / 4.13MB,291MB / 116MB,26
2026-06-21T16:04:56+08:00,RPA-minio,11.34%,352.6MiB / 15.4GiB,2.24%,141MB / 17.1MB,230MB / 424MB,53
2026-06-21T16:04:56+08:00,rmqnamesrv,0.19%,193.1MiB / 15.4GiB,1.22%,2.76MB / 2.09MB,215MB / 343MB,81
2026-06-21T16:04:56+08:00,RPA-cadvisor,4.67%,272.8MiB / 15.4GiB,1.73%,4.14MB / 300MB,164MB / 20.4MB,28
2026-06-21T16:04:59+08:00,script-k6-run-c5db40d8008a,690.04%,363.9MiB / 15.4GiB,2.31%,172MB / 130MB,0B / 0B,27
2026-06-21T16:04:59+08:00,RPA-app,180.79%,43.94MiB / 2GiB,2.15%,5.95GB / 8.02GB,10MB / 18.6MB,38
2026-06-21T16:04:59+08:00,RPA-pgdb,0.29%,141.3MiB / 15.4GiB,0.90%,571MB / 3.75GB,33.4MB / 841MB,19
2026-06-21T16:04:59+08:00,RPA-redis,0.75%,4.328MiB / 15.4GiB,0.03%,6.31MB / 2.37MB,26.3MB / 10.1MB,7
2026-06-21T16:04:59+08:00,RPA-grafana,0.18%,83.25MiB / 15.4GiB,0.53%,23.6MB / 274kB,511MB / 136MB,25
2026-06-21T16:04:59+08:00,RPA-alloy,2.60%,175.8MiB / 15.4GiB,1.12%,1.12MB / 309MB,648MB / 63.1MB,26
2026-06-21T16:04:59+08:00,RPA-loki,13.85%,536.7MiB / 15.4GiB,3.40%,310MB / 124MB,455MB / 2GB,26
2026-06-21T16:04:59+08:00,rmqbroker,9.23%,1.216GiB / 15.4GiB,7.90%,1.65MB / 2.95MB,132MB / 411MB,259
2026-06-21T16:04:59+08:00,rmqdashboard,0.25%,482.9MiB / 15.4GiB,3.06%,1.81MB / 979kB,207MB / 241MB,66
2026-06-21T16:04:59+08:00,RPA-prometheus,6.47%,291.7MiB / 15.4GiB,1.85%,301MB / 4.14MB,291MB / 116MB,26
2026-06-21T16:04:59+08:00,RPA-minio,10.68%,352.2MiB / 15.4GiB,2.23%,149MB / 17.1MB,231MB / 432MB,53
2026-06-21T16:04:59+08:00,rmqnamesrv,0.26%,193.2MiB / 15.4GiB,1.23%,2.76MB / 2.09MB,215MB / 343MB,81
2026-06-21T16:04:59+08:00,RPA-cadvisor,73.82%,253.3MiB / 15.4GiB,1.61%,4.14MB / 300MB,164MB / 20.4MB,28
2026-06-21T16:05:02+08:00,script-k6-run-c5db40d8008a,711.18%,615.1MiB / 15.4GiB,3.90%,216MB / 164MB,0B / 0B,27
2026-06-21T16:05:02+08:00,RPA-app,180.27%,44.25MiB / 2GiB,2.16%,5.99GB / 8.06GB,10MB / 18.6MB,38
2026-06-21T16:05:02+08:00,RPA-pgdb,36.15%,141.7MiB / 15.4GiB,0.90%,571MB / 3.75GB,34.1MB / 842MB,19
2026-06-21T16:05:02+08:00,RPA-redis,0.18%,4.078MiB / 15.4GiB,0.03%,6.31MB / 2.37MB,26.3MB / 10.1MB,7
2026-06-21T16:05:02+08:00,RPA-grafana,0.19%,83.25MiB / 15.4GiB,0.53%,23.6MB / 274kB,511MB / 136MB,25
2026-06-21T16:05:02+08:00,RPA-alloy,1.51%,182.9MiB / 15.4GiB,1.16%,1.12MB / 311MB,648MB / 63.1MB,26
2026-06-21T16:05:02+08:00,RPA-loki,15.47%,536.9MiB / 15.4GiB,3.41%,312MB / 124MB,455MB / 2GB,26
2026-06-21T16:05:02+08:00,rmqbroker,6.30%,1.216GiB / 15.4GiB,7.90%,1.65MB / 2.95MB,132MB / 411MB,259
2026-06-21T16:05:02+08:00,rmqdashboard,0.09%,482.9MiB / 15.4GiB,3.06%,1.81MB / 979kB,207MB / 241MB,66
2026-06-21T16:05:02+08:00,RPA-prometheus,0.00%,291.6MiB / 15.4GiB,1.85%,301MB / 4.14MB,291MB / 116MB,26
2026-06-21T16:05:02+08:00,RPA-minio,10.31%,352.6MiB / 15.4GiB,2.24%,149MB / 17.1MB,231MB / 432MB,53
