timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:05:12+08:00,RPA-app,110.94%,43.41MiB / 2GiB,2.12%,6.06GB / 8.15GB,10MB / 18.6MB,38
2026-06-21T16:05:12+08:00,RPA-pgdb,5.51%,142.5MiB / 15.4GiB,0.90%,571MB / 3.75GB,34.1MB / 844MB,19
2026-06-21T16:05:12+08:00,RPA-redis,0.32%,4.324MiB / 15.4GiB,0.03%,6.32MB / 2.37MB,26.3MB / 10.1MB,7
2026-06-21T16:05:12+08:00,RPA-grafana,0.18%,84.45MiB / 15.4GiB,0.54%,23.6MB / 274kB,512MB / 136MB,25
2026-06-21T16:05:12+08:00,RPA-alloy,39.47%,177.5MiB / 15.4GiB,1.13%,1.14MB / 317MB,648MB / 63.1MB,26
2026-06-21T16:05:12+08:00,RPA-loki,10.07%,534.5MiB / 15.4GiB,3.39%,318MB / 124MB,455MB / 2.1GB,26
2026-06-21T16:05:12+08:00,rmqbroker,8.21%,1.218GiB / 15.4GiB,7.91%,1.65MB / 2.95MB,135MB / 411MB,259
2026-06-21T16:05:12+08:00,rmqdashboard,0.07%,482.9MiB / 15.4GiB,3.06%,1.81MB / 979kB,207MB / 241MB,66
2026-06-21T16:05:12+08:00,RPA-prometheus,0.00%,292.3MiB / 15.4GiB,1.85%,301MB / 4.14MB,291MB / 116MB,26
2026-06-21T16:05:12+08:00,RPA-minio,7.05%,352.6MiB / 15.4GiB,2.24%,149MB / 17.1MB,231MB / 434MB,53
2026-06-21T16:05:12+08:00,rmqnamesrv,0.12%,192.8MiB / 15.4GiB,1.22%,2.77MB / 2.09MB,215MB / 343MB,81
2026-06-21T16:05:12+08:00,RPA-cadvisor,2.95%,221MiB / 15.4GiB,1.40%,4.14MB / 300MB,164MB / 20.4MB,28
2026-06-21T16:05:12+08:00,script-k6-run-f3363a2606de,713.56%,259.9MiB / 15.4GiB,1.65%,34.7MB / 27.3MB,4.1kB / 0B,26
2026-06-21T16:05:16+08:00,script-k6-run-f3363a2606de,776.97%,619.4MiB / 15.4GiB,3.93%,84.6MB / 66.6MB,4.1kB / 0B,26
2026-06-21T16:05:16+08:00,RPA-app,180.78%,44.2MiB / 2GiB,2.16%,6.11GB / 8.22GB,10MB / 18.6MB,38
2026-06-21T16:05:16+08:00,RPA-pgdb,0.43%,142MiB / 15.4GiB,0.90%,571MB / 3.75GB,34.1MB / 845MB,19
2026-06-21T16:05:16+08:00,RPA-redis,0.30%,4.074MiB / 15.4GiB,0.03%,6.33MB / 2.37MB,26.3MB / 10.1MB,7
2026-06-21T16:05:16+08:00,RPA-grafana,0.20%,84.45MiB / 15.4GiB,0.54%,23.6MB / 274kB,512MB / 136MB,25
2026-06-21T16:05:16+08:00,RPA-alloy,35.28%,176.5MiB / 15.4GiB,1.12%,1.15MB / 320MB,648MB / 63.1MB,26
2026-06-21T16:05:16+08:00,RPA-loki,10.36%,535.8MiB / 15.4GiB,3.40%,320MB / 124MB,455MB / 2.1GB,26
2026-06-21T16:05:16+08:00,rmqbroker,6.05%,1.218GiB / 15.4GiB,7.91%,1.65MB / 2.95MB,135MB / 411MB,259
2026-06-21T16:05:16+08:00,rmqdashboard,0.09%,482.9MiB / 15.4GiB,3.06%,1.81MB / 980kB,207MB / 241MB,66
2026-06-21T16:05:16+08:00,RPA-prometheus,0.04%,292.3MiB / 15.4GiB,1.85%,301MB / 4.14MB,291MB / 116MB,26
2026-06-21T16:05:16+08:00,RPA-minio,11.00%,353.1MiB / 15.4GiB,2.24%,149MB / 17.1MB,232MB / 434MB,53
2026-06-21T16:05:16+08:00,rmqnamesrv,0.14%,192.8MiB / 15.4GiB,1.22%,2.77MB / 2.09MB,215MB / 343MB,81
2026-06-21T16:05:16+08:00,RPA-cadvisor,3.76%,252.6MiB / 15.4GiB,1.60%,4.15MB / 300MB,164MB / 20.4MB,28
2026-06-21T16:05:19+08:00,script-k6-run-f3363a2606de,689.52%,410.2MiB / 15.4GiB,2.60%,126MB / 98.8MB,4.1kB / 0B,27
2026-06-21T16:05:19+08:00,RPA-app,177.94%,43.22MiB / 2GiB,2.11%,6.14GB / 8.25GB,10MB / 18.6MB,38
2026-06-21T16:05:19+08:00,RPA-pgdb,0.47%,142.2MiB / 15.4GiB,0.90%,571MB / 3.75GB,34.1MB / 846MB,19
2026-06-21T16:05:19+08:00,RPA-redis,0.96%,5.898MiB / 15.4GiB,0.04%,6.34MB / 2.38MB,26.3MB / 10.1MB,7
2026-06-21T16:05:19+08:00,RPA-grafana,0.23%,84.45MiB / 15.4GiB,0.54%,23.6MB / 274kB,512MB / 136MB,25
2026-06-21T16:05:19+08:00,RPA-alloy,86.14%,176.7MiB / 15.4GiB,1.12%,1.15MB / 322MB,648MB / 63.1MB,26
2026-06-21T16:05:19+08:00,RPA-loki,10.51%,534.8MiB / 15.4GiB,3.39%,322MB / 124MB,455MB / 2.1GB,26
2026-06-21T16:05:19+08:00,rmqbroker,7.57%,1.219GiB / 15.4GiB,7.91%,1.65MB / 2.95MB,135MB / 411MB,259
2026-06-21T16:05:19+08:00,rmqdashboard,0.17%,482.9MiB / 15.4GiB,3.06%,1.81MB / 980kB,207MB / 241MB,66
2026-06-21T16:05:19+08:00,RPA-prometheus,0.00%,292.3MiB / 15.4GiB,1.85%,301MB / 4.14MB,291MB / 116MB,26
2026-06-21T16:05:19+08:00,RPA-minio,11.24%,352.8MiB / 15.4GiB,2.24%,149MB / 17.1MB,232MB / 434MB,53
2026-06-21T16:05:19+08:00,rmqnamesrv,0.32%,192.9MiB / 15.4GiB,1.22%,2.77MB / 2.09MB,215MB / 343MB,81
2026-06-21T16:05:19+08:00,RPA-cadvisor,5.57%,254.4MiB / 15.4GiB,1.61%,4.15MB / 300MB,164MB / 20.4MB,28
2026-06-21T16:05:22+08:00,script-k6-run-f3363a2606de,765.14%,616.8MiB / 15.4GiB,3.91%,168MB / 132MB,4.1kB / 0B,27
2026-06-21T16:05:22+08:00,RPA-app,174.55%,44.03MiB / 2GiB,2.15%,6.18GB / 8.31GB,10MB / 18.6MB,38
2026-06-21T16:05:22+08:00,RPA-pgdb,4.32%,141.4MiB / 15.4GiB,0.90%,571MB / 3.75GB,34.1MB / 847MB,19
2026-06-21T16:05:22+08:00,RPA-redis,0.28%,4.574MiB / 15.4GiB,0.03%,6.34MB / 2.38MB,26.3MB / 10.1MB,7
2026-06-21T16:05:22+08:00,RPA-grafana,0.20%,84.45MiB / 15.4GiB,0.54%,23.6MB / 274kB,512MB / 136MB,25
2026-06-21T16:05:22+08:00,RPA-alloy,88.33%,178.4MiB / 15.4GiB,1.13%,1.16MB / 324MB,648MB / 63.1MB,26
2026-06-21T16:05:22+08:00,RPA-loki,23.01%,536.5MiB / 15.4GiB,3.40%,325MB / 124MB,455MB / 2.1GB,26
2026-06-21T16:05:22+08:00,rmqbroker,6.89%,1.218GiB / 15.4GiB,7.91%,1.65MB / 2.95MB,135MB / 411MB,259
2026-06-21T16:05:22+08:00,rmqdashboard,0.09%,482.9MiB / 15.4GiB,3.06%,1.81MB / 980kB,207MB / 241MB,66
2026-06-21T16:05:22+08:00,RPA-prometheus,0.11%,292.3MiB / 15.4GiB,1.85%,301MB / 4.14MB,291MB / 116MB,26
2026-06-21T16:05:22+08:00,RPA-minio,11.39%,352.5MiB / 15.4GiB,2.24%,149MB / 17.1MB,232MB / 434MB,53
2026-06-21T16:05:22+08:00,rmqnamesrv,0.16%,192.9MiB / 15.4GiB,1.22%,2.77MB / 2.09MB,215MB / 343MB,81
2026-06-21T16:05:22+08:00,RPA-cadvisor,3.95%,265.1MiB / 15.4GiB,1.68%,4.15MB / 300MB,164MB / 20.4MB,28
2026-06-21T16:05:25+08:00,script-k6-run-f3363a2606de,686.62%,587.2MiB / 15.4GiB,3.72%,212MB / 167MB,4.1kB / 0B,27
2026-06-21T16:05:25+08:00,RPA-app,178.52%,44.05MiB / 2GiB,2.15%,6.21GB / 8.35GB,10MB / 18.6MB,38
