timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:04:27+08:00,RPA-app,59.35%,41.02MiB / 2GiB,2.00%,5.77GB / 7.79GB,10MB / 274kB,21
2026-06-21T16:04:27+08:00,RPA-pgdb,205.98%,168.1MiB / 15.4GiB,1.07%,542MB / 3.72GB,33.3MB / 709MB,47
2026-06-21T16:04:27+08:00,RPA-redis,3.19%,5.406MiB / 15.4GiB,0.03%,1.25MB / 481kB,26MB / 3.51MB,7
2026-06-21T16:04:27+08:00,RPA-grafana,0.12%,79.63MiB / 15.4GiB,0.51%,23.6MB / 274kB,507MB / 135MB,25
2026-06-21T16:04:27+08:00,RPA-alloy,43.98%,173MiB / 15.4GiB,1.10%,1.05MB / 288MB,642MB / 62.9MB,26
2026-06-21T16:04:27+08:00,RPA-loki,13.60%,539.7MiB / 15.4GiB,3.42%,289MB / 109MB,455MB / 1.89GB,26
2026-06-21T16:04:27+08:00,rmqbroker,3.94%,1.215GiB / 15.4GiB,7.89%,1.64MB / 2.94MB,132MB / 410MB,259
2026-06-21T16:04:27+08:00,rmqdashboard,0.06%,482.5MiB / 15.4GiB,3.06%,1.8MB / 976kB,206MB / 241MB,66
2026-06-21T16:04:27+08:00,RPA-prometheus,0.01%,291.6MiB / 15.4GiB,1.85%,300MB / 4.12MB,291MB / 116MB,26
2026-06-21T16:04:27+08:00,RPA-minio,47.30%,164MiB / 15.4GiB,1.04%,120MB / 8.34MB,223MB / 263MB,45
2026-06-21T16:04:27+08:00,rmqnamesrv,0.13%,192.3MiB / 15.4GiB,1.22%,2.76MB / 2.08MB,215MB / 343MB,81
2026-06-21T16:04:27+08:00,RPA-cadvisor,2.90%,221.9MiB / 15.4GiB,1.41%,4.13MB / 299MB,164MB / 20.4MB,28
2026-06-21T16:04:27+08:00,script-k6-run-68a0405a3620,49.55%,38.6MiB / 15.4GiB,0.24%,689kB / 2.28MB,4.1kB / 0B,26
2026-06-21T16:04:30+08:00,script-k6-run-68a0405a3620,28.84%,44.75MiB / 15.4GiB,0.28%,1.83MB / 5.75MB,4.1kB / 0B,26
2026-06-21T16:04:30+08:00,RPA-app,112.31%,41.8MiB / 2GiB,2.04%,5.79GB / 7.81GB,10MB / 1.18MB,25
2026-06-21T16:04:30+08:00,RPA-pgdb,493.66%,186.9MiB / 15.4GiB,1.19%,551MB / 3.73GB,33.3MB / 747MB,47
2026-06-21T16:04:30+08:00,RPA-redis,5.94%,6.18MiB / 15.4GiB,0.04%,2.85MB / 1.1MB,26.2MB / 4.59MB,7
2026-06-21T16:04:30+08:00,RPA-grafana,0.19%,79.63MiB / 15.4GiB,0.51%,23.6MB / 274kB,507MB / 135MB,25
2026-06-21T16:04:30+08:00,RPA-alloy,43.15%,158.4MiB / 15.4GiB,1.00%,1.06MB / 291MB,642MB / 63MB,26
2026-06-21T16:04:30+08:00,RPA-loki,9.24%,554.4MiB / 15.4GiB,3.52%,291MB / 116MB,455MB / 1.89GB,26
