timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:05:35+08:00,RPA-app,18.36%,45.41MiB / 2GiB,2.22%,6.28GB / 8.43GB,10MB / 18.6MB,38
2026-06-21T16:05:35+08:00,RPA-pgdb,71.65%,240MiB / 15.4GiB,1.52%,572MB / 3.75GB,34.1MB / 853MB,59
2026-06-21T16:05:35+08:00,RPA-redis,0.58%,4.066MiB / 15.4GiB,0.03%,6.37MB / 2.38MB,26.4MB / 10.2MB,7
2026-06-21T16:05:35+08:00,RPA-grafana,0.12%,84.45MiB / 15.4GiB,0.54%,23.6MB / 274kB,512MB / 136MB,25
2026-06-21T16:05:35+08:00,RPA-alloy,1.49%,186.6MiB / 15.4GiB,1.18%,1.18MB / 332MB,648MB / 63.2MB,26
2026-06-21T16:05:35+08:00,RPA-loki,7.38%,513.9MiB / 15.4GiB,3.26%,332MB / 131MB,455MB / 2.21GB,26
2026-06-21T16:05:35+08:00,rmqbroker,3.65%,1.218GiB / 15.4GiB,7.91%,1.65MB / 2.95MB,135MB / 412MB,259
2026-06-21T16:05:35+08:00,rmqdashboard,0.07%,482.9MiB / 15.4GiB,3.06%,1.82MB / 982kB,207MB / 241MB,66
2026-06-21T16:05:35+08:00,RPA-prometheus,0.00%,292.3MiB / 15.4GiB,1.85%,302MB / 4.15MB,291MB / 116MB,26
2026-06-21T16:05:35+08:00,RPA-minio,5.63%,352.8MiB / 15.4GiB,2.24%,156MB / 17.2MB,233MB / 442MB,53
2026-06-21T16:05:35+08:00,rmqnamesrv,0.10%,196.2MiB / 15.4GiB,1.24%,2.77MB / 2.1MB,217MB / 343MB,81
2026-06-21T16:05:35+08:00,RPA-cadvisor,3.11%,254.7MiB / 15.4GiB,1.62%,4.15MB / 301MB,164MB / 20.4MB,28
2026-06-21T16:05:35+08:00,script-k6-run-021481b34ab9,10.97%,32.86MiB / 15.4GiB,0.21%,779kB / 320kB,0B / 0B,25
2026-06-21T16:05:38+08:00,script-k6-run-021481b34ab9,11.51%,36.32MiB / 15.4GiB,0.23%,2.15MB / 831kB,0B / 0B,25
2026-06-21T16:05:38+08:00,RPA-app,20.66%,46.81MiB / 2GiB,2.29%,6.28GB / 8.44GB,10MB / 18.6MB,38
2026-06-21T16:05:38+08:00,RPA-pgdb,78.54%,243.2MiB / 15.4GiB,1.54%,573MB / 3.76GB,34.1MB / 871MB,60
2026-06-21T16:05:38+08:00,RPA-redis,0.11%,4.078MiB / 15.4GiB,0.03%,6.37MB / 2.38MB,26.4MB / 10.2MB,7
2026-06-21T16:05:38+08:00,RPA-grafana,0.17%,84.45MiB / 15.4GiB,0.54%,23.6MB / 274kB,512MB / 136MB,25
2026-06-21T16:05:38+08:00,RPA-alloy,46.05%,171.1MiB / 15.4GiB,1.09%,1.19MB / 335MB,648MB / 63.2MB,26
2026-06-21T16:05:38+08:00,RPA-loki,9.49%,514.1MiB / 15.4GiB,3.26%,335MB / 131MB,455MB / 2.21GB,26
2026-06-21T16:05:38+08:00,rmqbroker,3.64%,1.218GiB / 15.4GiB,7.91%,1.65MB / 2.95MB,135MB / 412MB,259
2026-06-21T16:05:38+08:00,rmqdashboard,0.14%,482.9MiB / 15.4GiB,3.06%,1.82MB / 982kB,207MB / 241MB,66
2026-06-21T16:05:38+08:00,RPA-prometheus,0.00%,292.3MiB / 15.4GiB,1.85%,302MB / 4.15MB,291MB / 116MB,26
2026-06-21T16:05:38+08:00,RPA-minio,5.69%,353.1MiB / 15.4GiB,2.24%,156MB / 17.2MB,233MB / 442MB,53
2026-06-21T16:05:38+08:00,rmqnamesrv,0.29%,196.1MiB / 15.4GiB,1.24%,2.78MB / 2.1MB,217MB / 343MB,81
2026-06-21T16:05:38+08:00,RPA-cadvisor,2.52%,263.3MiB / 15.4GiB,1.67%,4.15MB / 301MB,164MB / 20.4MB,28
