timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:02:33+08:00,RPA-app,51.84%,32.38MiB / 2GiB,1.58%,4.67GB / 6.31GB,7.14MB / 274kB,21
2026-06-21T16:02:33+08:00,RPA-pgdb,3.62%,110.7MiB / 15.4GiB,0.70%,541MB / 3.72GB,33.2MB / 683MB,19
2026-06-21T16:02:33+08:00,RPA-redis,0.14%,4.023MiB / 15.4GiB,0.03%,994kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T16:02:33+08:00,RPA-grafana,0.14%,104.9MiB / 15.4GiB,0.67%,23.6MB / 274kB,503MB / 132MB,25
2026-06-21T16:02:33+08:00,RPA-alloy,39.76%,202.4MiB / 15.4GiB,1.28%,838kB / 207MB,638MB / 60.1MB,26
2026-06-21T16:02:33+08:00,RPA-loki,16.98%,480.5MiB / 15.4GiB,3.05%,207MB / 76.5MB,455MB / 1.33GB,26
2026-06-21T16:02:33+08:00,rmqbroker,3.62%,1.242GiB / 15.4GiB,8.07%,1.63MB / 2.91MB,131MB / 379MB,259
2026-06-21T16:02:33+08:00,rmqdashboard,0.16%,481.9MiB / 15.4GiB,3.06%,1.79MB / 969kB,205MB / 240MB,66
2026-06-21T16:02:33+08:00,RPA-prometheus,0.00%,291.3MiB / 15.4GiB,1.85%,297MB / 4.08MB,291MB / 116MB,26
2026-06-21T16:02:33+08:00,RPA-minio,0.01%,303.3MiB / 15.4GiB,1.92%,87.1MB / 8.02MB,222MB / 221MB,45
2026-06-21T16:02:33+08:00,rmqnamesrv,0.12%,191.1MiB / 15.4GiB,1.21%,2.73MB / 2.07MB,215MB / 343MB,81
2026-06-21T16:02:33+08:00,RPA-cadvisor,2.72%,296.8MiB / 15.4GiB,1.88%,4.09MB / 297MB,162MB / 20.2MB,28
2026-06-21T16:02:33+08:00,script-k6-run-7190981b4589,650.95%,204.7MiB / 15.4GiB,1.30%,24.7MB / 17.3MB,0B / 0B,25
2026-06-21T16:02:37+08:00,script-k6-run-7190981b4589,716.85%,551.8MiB / 15.4GiB,3.50%,78.2MB / 54.8MB,0B / 0B,26
2026-06-21T16:02:37+08:00,RPA-app,175.20%,31.51MiB / 2GiB,1.54%,4.72GB / 6.38GB,7.14MB / 274kB,21
2026-06-21T16:02:37+08:00,RPA-pgdb,0.57%,110.2MiB / 15.4GiB,0.70%,541MB / 3.72GB,33.2MB / 684MB,19
2026-06-21T16:02:37+08:00,RPA-redis,0.23%,3.523MiB / 15.4GiB,0.02%,994kB / 340kB,25.9MB / 3.51MB,7
