timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:02:58+08:00,RPA-app,134.45%,30.55MiB / 2GiB,1.49%,4.89GB / 6.62GB,7.14MB / 274kB,21
2026-06-21T16:02:58+08:00,RPA-pgdb,2.41%,112MiB / 15.4GiB,0.71%,541MB / 3.72GB,33.2MB / 688MB,19
2026-06-21T16:02:58+08:00,RPA-redis,0.17%,3.773MiB / 15.4GiB,0.02%,994kB / 340kB,25.9MB / 3.51MB,7
2026-06-21T16:02:58+08:00,RPA-grafana,0.15%,105.1MiB / 15.4GiB,0.67%,23.6MB / 274kB,503MB / 132MB,25
2026-06-21T16:02:58+08:00,RPA-alloy,1.08%,205MiB / 15.4GiB,1.30%,885kB / 225MB,638MB / 60.2MB,26
2026-06-21T16:02:58+08:00,RPA-loki,8.72%,486.1MiB / 15.4GiB,3.08%,225MB / 83.3MB,455MB / 1.45GB,26
2026-06-21T16:02:58+08:00,rmqbroker,4.37%,1.243GiB / 15.4GiB,8.07%,1.63MB / 2.92MB,131MB / 379MB,259
2026-06-21T16:02:58+08:00,rmqdashboard,0.07%,481.4MiB / 15.4GiB,3.05%,1.79MB / 970kB,205MB / 240MB,66
2026-06-21T16:02:58+08:00,RPA-prometheus,0.00%,291.3MiB / 15.4GiB,1.85%,298MB / 4.09MB,291MB / 116MB,26
2026-06-21T16:02:58+08:00,RPA-minio,0.04%,304MiB / 15.4GiB,1.93%,93.9MB / 8.02MB,222MB / 230MB,45
2026-06-21T16:02:58+08:00,rmqnamesrv,0.10%,191.6MiB / 15.4GiB,1.22%,2.74MB / 2.07MB,215MB / 343MB,81
2026-06-21T16:02:58+08:00,RPA-cadvisor,3.37%,317.8MiB / 15.4GiB,2.02%,4.1MB / 297MB,162MB / 20.2MB,28
2026-06-21T16:02:58+08:00,script-k6-run-22e0015cbaa7,639.96%,284MiB / 15.4GiB,1.80%,37.4MB / 30.8MB,0B / 0B,27
2026-06-21T16:03:01+08:00,script-k6-run-22e0015cbaa7,679.72%,677.3MiB / 15.4GiB,4.30%,95MB / 78.4MB,0B / 0B,27
2026-06-21T16:03:01+08:00,RPA-app,180.13%,29.53MiB / 2GiB,1.44%,4.95GB / 6.68GB,7.14MB / 274kB,21
2026-06-21T16:03:01+08:00,RPA-pgdb,1.50%,111.5MiB / 15.4GiB,0.71%,541MB / 3.72GB,33.2MB / 689MB,19
2026-06-21T16:03:01+08:00,RPA-redis,0.18%,3.523MiB / 15.4GiB,0.02%,995kB / 341kB,25.9MB / 3.51MB,7
2026-06-21T16:03:01+08:00,RPA-grafana,0.19%,104.9MiB / 15.4GiB,0.67%,23.6MB / 274kB,503MB / 132MB,25
2026-06-21T16:03:01+08:00,RPA-alloy,1.39%,209.4MiB / 15.4GiB,1.33%,893kB / 228MB,638MB / 60.2MB,26
2026-06-21T16:03:01+08:00,RPA-loki,19.00%,503MiB / 15.4GiB,3.19%,229MB / 83.3MB,455MB / 1.45GB,26
2026-06-21T16:03:01+08:00,rmqbroker,5.67%,1.242GiB / 15.4GiB,8.07%,1.63MB / 2.92MB,131MB / 379MB,259
2026-06-21T16:03:01+08:00,rmqdashboard,0.07%,481.5MiB / 15.4GiB,3.05%,1.79MB / 971kB,205MB / 240MB,66
2026-06-21T16:03:01+08:00,RPA-prometheus,0.00%,291.3MiB / 15.4GiB,1.85%,298MB / 4.09MB,291MB / 116MB,26
2026-06-21T16:03:01+08:00,RPA-minio,0.03%,303.9MiB / 15.4GiB,1.93%,93.9MB / 8.02MB,222MB / 230MB,45
2026-06-21T16:03:01+08:00,rmqnamesrv,0.14%,191.4MiB / 15.4GiB,1.21%,2.74MB / 2.07MB,215MB / 343MB,81
2026-06-21T16:03:01+08:00,RPA-cadvisor,4.26%,302MiB / 15.4GiB,1.92%,4.1MB / 297MB,162MB / 20.3MB,28
2026-06-21T16:03:04+08:00,script-k6-run-22e0015cbaa7,674.05%,449MiB / 15.4GiB,2.85%,138MB / 114MB,0B / 0B,27
2026-06-21T16:03:04+08:00,RPA-app,182.26%,29.21MiB / 2GiB,1.43%,4.99GB / 6.74GB,7.14MB / 274kB,21
2026-06-21T16:03:04+08:00,RPA-pgdb,0.99%,111.7MiB / 15.4GiB,0.71%,541MB / 3.72GB,33.2MB / 690MB,19
2026-06-21T16:03:04+08:00,RPA-redis,0.19%,3.523MiB / 15.4GiB,0.02%,995kB / 341kB,25.9MB / 3.51MB,7
2026-06-21T16:03:04+08:00,RPA-grafana,0.17%,104.7MiB / 15.4GiB,0.66%,23.6MB / 274kB,503MB / 132MB,25
2026-06-21T16:03:04+08:00,RPA-alloy,2.36%,210.4MiB / 15.4GiB,1.33%,899kB / 230MB,638MB / 60.2MB,26
2026-06-21T16:03:04+08:00,RPA-loki,16.42%,503.1MiB / 15.4GiB,3.19%,231MB / 86MB,455MB / 1.45GB,26
2026-06-21T16:03:04+08:00,rmqbroker,5.59%,1.242GiB / 15.4GiB,8.07%,1.63MB / 2.92MB,131MB / 380MB,259
2026-06-21T16:03:04+08:00,rmqdashboard,0.08%,481.5MiB / 15.4GiB,3.05%,1.79MB / 971kB,205MB / 240MB,66
2026-06-21T16:03:04+08:00,RPA-prometheus,0.69%,292.3MiB / 15.4GiB,1.85%,298MB / 4.09MB,291MB / 116MB,26
2026-06-21T16:03:04+08:00,RPA-minio,1.35%,304.7MiB / 15.4GiB,1.93%,96.5MB / 8.03MB,222MB / 232MB,45
2026-06-21T16:03:04+08:00,rmqnamesrv,0.19%,191.7MiB / 15.4GiB,1.22%,2.74MB / 2.07MB,215MB / 343MB,81
2026-06-21T16:03:04+08:00,RPA-cadvisor,4.68%,307.9MiB / 15.4GiB,1.95%,4.1MB / 297MB,162MB / 20.3MB,28
2026-06-21T16:03:07+08:00,script-k6-run-22e0015cbaa7,711.88%,503.5MiB / 15.4GiB,3.19%,180MB / 148MB,0B / 0B,27
2026-06-21T16:03:07+08:00,RPA-app,181.37%,29.05MiB / 2GiB,1.42%,5.03GB / 6.78GB,7.14MB / 274kB,21
2026-06-21T16:03:07+08:00,RPA-pgdb,1.06%,110.8MiB / 15.4GiB,0.70%,541MB / 3.72GB,33.2MB / 690MB,19
2026-06-21T16:03:07+08:00,RPA-redis,0.19%,4.023MiB / 15.4GiB,0.03%,995kB / 341kB,25.9MB / 3.51MB,7
2026-06-21T16:03:07+08:00,RPA-grafana,0.27%,104.3MiB / 15.4GiB,0.66%,23.6MB / 274kB,503MB / 133MB,25
2026-06-21T16:03:07+08:00,RPA-alloy,28.86%,206.6MiB / 15.4GiB,1.31%,905kB / 233MB,638MB / 60.2MB,26
2026-06-21T16:03:07+08:00,RPA-loki,15.13%,501.3MiB / 15.4GiB,3.18%,233MB / 92.7MB,455MB / 1.45GB,26
2026-06-21T16:03:07+08:00,rmqbroker,6.34%,1.243GiB / 15.4GiB,8.07%,1.63MB / 2.92MB,131MB / 380MB,259
2026-06-21T16:03:07+08:00,rmqdashboard,0.20%,481.7MiB / 15.4GiB,3.06%,1.79MB / 971kB,205MB / 240MB,66
2026-06-21T16:03:07+08:00,RPA-prometheus,0.09%,291.3MiB / 15.4GiB,1.85%,298MB / 4.09MB,291MB / 116MB,26
2026-06-21T16:03:07+08:00,RPA-minio,0.04%,303.9MiB / 15.4GiB,1.93%,103MB / 8.03MB,222MB / 239MB,45
