timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:03:20+08:00,RPA-app,182.14%,27.26MiB / 2GiB,1.33%,5.15GB / 6.93GB,7.14MB / 274kB,21
2026-06-21T16:03:20+08:00,RPA-pgdb,0.25%,110.9MiB / 15.4GiB,0.70%,541MB / 3.72GB,33.2MB / 693MB,19
2026-06-21T16:03:20+08:00,RPA-redis,0.19%,4.043MiB / 15.4GiB,0.03%,1MB / 347kB,25.9MB / 3.51MB,7
2026-06-21T16:03:20+08:00,RPA-grafana,0.10%,102.6MiB / 15.4GiB,0.65%,23.6MB / 274kB,503MB / 135MB,25
2026-06-21T16:03:20+08:00,RPA-alloy,26.63%,223.2MiB / 15.4GiB,1.42%,928kB / 242MB,638MB / 60.4MB,26
2026-06-21T16:03:20+08:00,RPA-loki,9.11%,500.1MiB / 15.4GiB,3.17%,242MB / 92.7MB,455MB / 1.56GB,26
2026-06-21T16:03:20+08:00,rmqbroker,4.28%,1.238GiB / 15.4GiB,8.04%,1.63MB / 2.92MB,132MB / 385MB,259
2026-06-21T16:03:20+08:00,rmqdashboard,0.06%,481.5MiB / 15.4GiB,3.05%,1.79MB / 971kB,205MB / 241MB,66
2026-06-21T16:03:20+08:00,RPA-prometheus,0.53%,291.2MiB / 15.4GiB,1.85%,298MB / 4.1MB,291MB / 116MB,26
2026-06-21T16:03:20+08:00,RPA-minio,0.02%,303.8MiB / 15.4GiB,1.93%,103MB / 8.03MB,222MB / 240MB,45
2026-06-21T16:03:20+08:00,rmqnamesrv,0.12%,191.6MiB / 15.4GiB,1.22%,2.74MB / 2.07MB,215MB / 343MB,81
2026-06-21T16:03:20+08:00,RPA-cadvisor,2.97%,257.2MiB / 15.4GiB,1.63%,4.11MB / 298MB,162MB / 20.4MB,28
2026-06-21T16:03:20+08:00,script-k6-run-a8968206bab6,677.31%,206.7MiB / 15.4GiB,1.31%,24.2MB / 17.3MB,0B / 0B,26
2026-06-21T16:03:23+08:00,script-k6-run-a8968206bab6,705.32%,437.2MiB / 15.4GiB,2.77%,59.3MB / 42.6MB,0B / 0B,26
2026-06-21T16:03:23+08:00,RPA-app,178.27%,28.78MiB / 2GiB,1.41%,5.18GB / 6.97GB,7.14MB / 274kB,21
