timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:03:42+08:00,RPA-app,100.30%,27.1MiB / 2GiB,1.32%,5.35GB / 7.21GB,7.14MB / 274kB,21
2026-06-21T16:03:42+08:00,RPA-pgdb,0.69%,110MiB / 15.4GiB,0.70%,541MB / 3.72GB,33.2MB / 698MB,19
2026-06-21T16:03:42+08:00,RPA-redis,0.21%,3.852MiB / 15.4GiB,0.02%,1.03MB / 369kB,25.9MB / 3.51MB,7
2026-06-21T16:03:42+08:00,RPA-grafana,0.16%,101.8MiB / 15.4GiB,0.65%,23.6MB / 274kB,503MB / 135MB,25
2026-06-21T16:03:42+08:00,RPA-alloy,58.41%,175.7MiB / 15.4GiB,1.11%,969kB / 258MB,638MB / 62.8MB,26
2026-06-21T16:03:42+08:00,RPA-loki,10.73%,548MiB / 15.4GiB,3.48%,258MB / 98.2MB,455MB / 1.67GB,26
2026-06-21T16:03:42+08:00,rmqbroker,5.00%,1.22GiB / 15.4GiB,7.93%,1.64MB / 2.93MB,132MB / 405MB,259
2026-06-21T16:03:42+08:00,rmqdashboard,0.07%,481.6MiB / 15.4GiB,3.05%,1.8MB / 974kB,205MB / 241MB,66
2026-06-21T16:03:42+08:00,RPA-prometheus,0.00%,293.9MiB / 15.4GiB,1.86%,299MB / 4.1MB,291MB / 116MB,26
2026-06-21T16:03:42+08:00,RPA-minio,0.03%,255.3MiB / 15.4GiB,1.62%,109MB / 8.03MB,222MB / 247MB,45
2026-06-21T16:03:42+08:00,rmqnamesrv,0.13%,191.9MiB / 15.4GiB,1.22%,2.75MB / 2.08MB,215MB / 343MB,81
2026-06-21T16:03:42+08:00,RPA-cadvisor,3.16%,267MiB / 15.4GiB,1.69%,4.11MB / 298MB,164MB / 20.4MB,28
2026-06-21T16:03:42+08:00,script-k6-run-41bd5d40a836,686.69%,262.2MiB / 15.4GiB,1.66%,33.8MB / 24.4MB,0B / 0B,26
2026-06-21T16:03:46+08:00,script-k6-run-41bd5d40a836,680.85%,546.5MiB / 15.4GiB,3.47%,79.5MB / 57.4MB,0B / 0B,26
2026-06-21T16:03:46+08:00,RPA-app,180.64%,26.96MiB / 2GiB,1.32%,5.4GB / 7.28GB,7.14MB / 274kB,21
2026-06-21T16:03:46+08:00,RPA-pgdb,2.69%,110.4MiB / 15.4GiB,0.70%,541MB / 3.72GB,33.2MB / 698MB,19
2026-06-21T16:03:46+08:00,RPA-redis,0.29%,3.816MiB / 15.4GiB,0.02%,1.03MB / 373kB,25.9MB / 3.51MB,7
2026-06-21T16:03:46+08:00,RPA-grafana,0.16%,101.8MiB / 15.4GiB,0.65%,23.6MB / 274kB,503MB / 135MB,25
2026-06-21T16:03:46+08:00,RPA-alloy,2.03%,181.3MiB / 15.4GiB,1.15%,977kB / 261MB,638MB / 62.8MB,26
2026-06-21T16:03:46+08:00,RPA-loki,18.49%,535.1MiB / 15.4GiB,3.39%,262MB / 98.2MB,455MB / 1.67GB,26
2026-06-21T16:03:46+08:00,rmqbroker,5.56%,1.22GiB / 15.4GiB,7.93%,1.64MB / 2.93MB,132MB / 405MB,259
2026-06-21T16:03:46+08:00,rmqdashboard,0.08%,481.6MiB / 15.4GiB,3.05%,1.8MB / 974kB,205MB / 241MB,66
2026-06-21T16:03:46+08:00,RPA-prometheus,0.04%,291.6MiB / 15.4GiB,1.85%,299MB / 4.11MB,291MB / 116MB,26
2026-06-21T16:03:46+08:00,RPA-minio,0.06%,255.3MiB / 15.4GiB,1.62%,109MB / 8.03MB,222MB / 247MB,45
2026-06-21T16:03:46+08:00,rmqnamesrv,0.13%,191.9MiB / 15.4GiB,1.22%,2.75MB / 2.08MB,215MB / 343MB,81
2026-06-21T16:03:46+08:00,RPA-cadvisor,4.01%,258.5MiB / 15.4GiB,1.64%,4.12MB / 298MB,164MB / 20.4MB,28
2026-06-21T16:03:49+08:00,script-k6-run-41bd5d40a836,615.45%,407.7MiB / 15.4GiB,2.59%,122MB / 88.1MB,0B / 0B,26
2026-06-21T16:03:49+08:00,RPA-app,179.96%,27.29MiB / 2GiB,1.33%,5.43GB / 7.32GB,7.14MB / 274kB,21
2026-06-21T16:03:49+08:00,RPA-pgdb,0.29%,110.2MiB / 15.4GiB,0.70%,541MB / 3.72GB,33.2MB / 699MB,19
2026-06-21T16:03:49+08:00,RPA-redis,0.78%,4.82MiB / 15.4GiB,0.03%,1.04MB / 376kB,25.9MB / 3.51MB,7
2026-06-21T16:03:49+08:00,RPA-grafana,0.18%,75.51MiB / 15.4GiB,0.48%,23.6MB / 274kB,503MB / 135MB,25
2026-06-21T16:03:49+08:00,RPA-alloy,2.29%,181.1MiB / 15.4GiB,1.15%,982kB / 263MB,638MB / 62.8MB,26
2026-06-21T16:03:49+08:00,RPA-loki,11.07%,538.7MiB / 15.4GiB,3.42%,264MB / 98.2MB,455MB / 1.67GB,26
2026-06-21T16:03:49+08:00,rmqbroker,5.30%,1.218GiB / 15.4GiB,7.91%,1.64MB / 2.93MB,132MB / 408MB,259
2026-06-21T16:03:49+08:00,rmqdashboard,0.07%,481.6MiB / 15.4GiB,3.05%,1.8MB / 974kB,205MB / 241MB,66
2026-06-21T16:03:49+08:00,RPA-prometheus,0.00%,291.6MiB / 15.4GiB,1.85%,299MB / 4.11MB,291MB / 116MB,26
2026-06-21T16:03:49+08:00,RPA-minio,0.00%,255.3MiB / 15.4GiB,1.62%,109MB / 8.03MB,222MB / 248MB,45
2026-06-21T16:03:49+08:00,rmqnamesrv,0.20%,192MiB / 15.4GiB,1.22%,2.75MB / 2.08MB,215MB / 343MB,81
2026-06-21T16:03:49+08:00,RPA-cadvisor,3.49%,262.3MiB / 15.4GiB,1.66%,4.12MB / 298MB,164MB / 20.4MB,28
2026-06-21T16:03:52+08:00,script-k6-run-41bd5d40a836,708.67%,522.3MiB / 15.4GiB,3.31%,164MB / 119MB,0B / 0B,26
2026-06-21T16:03:52+08:00,RPA-app,181.63%,26.4MiB / 2GiB,1.29%,5.46GB / 7.36GB,7.14MB / 274kB,21
2026-06-21T16:03:52+08:00,RPA-pgdb,0.27%,109.9MiB / 15.4GiB,0.70%,541MB / 3.72GB,33.2MB / 700MB,19
