timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:57:58+08:00,RPA-pgdb,0.62%,35.85MiB / 15.4GiB,0.23%,7.5MB / 25.3MB,25.4MB / 60.5MB,10
2026-06-21T15:57:58+08:00,RPA-redis,0.15%,17.64MiB / 15.4GiB,0.11%,958kB / 328kB,18.3MB / 836kB,7
2026-06-21T15:57:58+08:00,RPA-grafana,0.16%,123.1MiB / 15.4GiB,0.78%,23.6MB / 274kB,470MB / 111MB,25
2026-06-21T15:57:58+08:00,RPA-alloy,0.18%,208.7MiB / 15.4GiB,1.32%,316kB / 2.19MB,592MB / 54.4MB,26
2026-06-21T15:57:58+08:00,RPA-loki,0.49%,122.1MiB / 15.4GiB,0.77%,2.6MB / 719kB,349MB / 40.4MB,25
2026-06-21T15:57:58+08:00,rmqbroker,4.61%,1.257GiB / 15.4GiB,8.16%,1.59MB / 2.86MB,131MB / 358MB,259
2026-06-21T15:57:58+08:00,rmqdashboard,0.24%,523.4MiB / 15.4GiB,3.32%,1.75MB / 949kB,197MB / 193MB,66
2026-06-21T15:57:58+08:00,RPA-prometheus,6.35%,310.8MiB / 15.4GiB,1.97%,291MB / 3.97MB,268MB / 110MB,26
2026-06-21T15:57:58+08:00,RPA-minio,0.14%,144.9MiB / 15.4GiB,0.92%,2.28MB / 1.44MB,185MB / 95.9MB,25
2026-06-21T15:57:58+08:00,rmqnamesrv,0.35%,261.7MiB / 15.4GiB,1.66%,2.67MB / 2.03MB,214MB / 275MB,81
2026-06-21T15:57:58+08:00,RPA-cadvisor,2.15%,235.3MiB / 15.4GiB,1.49%,3.99MB / 290MB,158MB / 20.2MB,28
2026-06-21T15:57:58+08:00,RPA-app,0.04%,71.09MiB / 2GiB,3.47%,13.9kB / 12.8kB,0B / 0B,8
